# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.325
metadata : {}


# id : NWRW1800000056.325.1.1
[유레카] 이완용과 국정교과서

[유레카]	[/SS+유레카/NNG+]/SS
이완용과	이완용/NNP+과/JC
국정교과서	국정/NNG+교과서/NNG


# id : NWRW1800000056.325.2.1
세종대왕이 조선의 공법(토지세법)을 만들 때 대규모 여론조사를 한 일은 잘 알려져 있다.

세종대왕이	세종/NNP+대왕/NNG+이/JKS
조선의	조선/NNP+의/JKG
공법(토지세법)을	공법/NNG+(/SS+토지세/NNG+법/NNG+)/SS+을/JKO
만들	만들/VV+ㄹ/ETM
때	때/NNG
대규모	대/XPN+규모/NNG
여론조사를	여론/NNG+조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
일은	일/NNG+은/JX
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.325.2.2
호조에서 5개월에 걸쳐 전·현직 정부 관리와 지방관, 일반 백성 등 모두 17만2806명을 대상으로 찬반을 물었다.

호조에서	호조/NNG+에서/JKB
5개월에	5/SN+개월/NNB+에/JKB
걸쳐	걸치/VV+어/EC
전·현직	전·현직/NNG
정부	정부/NNG
관리와	관리/NNG+와/JC
지방관,	지방관/NNG+,/SP
일반	일반/NNG
백성	백성/NNG
등	등/NNB
모두	모두/MAG
17만2806명을	17/SN+만/NR+2806/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
찬반을	찬반/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.325.2.3
당시 남정(양인인 성인 남자)의 수가 69만2475명이었으니, 전체의 4분의 1이 참여했다.

당시	당시/NNG
남정(양인인	남정/NNG+(/SS+양인/NNG+이/VCP+ㄴ/ETM
성인	성인/NNG
남자)의	남자/NNG+)/SS+의/JKG
수가	수/NNG+가/JKS
69만2475명이었으니,	69/SN+만/NR+2475/SN+명/NNB+이/VCP+었/EP+으니/EC+,/SP
전체의	전체/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1이	1/SN+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.325.2.4
거의 국민투표에 가까웠다.

거의	거의/MAG
국민투표에	국민/NNG+투표/NNG+에/JKB
가까웠다.	가깝/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.325.2.5
찬성이 57.1%로 반대 42.9%보다 많았지만, 세종은 법을 곧바로 시행하지는 않았다.

찬성이	찬성/NNG+이/JKS
57.1%로	57/SN+./SP+1/SN+%/SW+로/JKB
반대	반대/NNG
42.9%보다	42/SN+./SP+9/SN+%/SW+보다/JKB
많았지만,	많/VA+았/EP+지만/EC+,/SP
세종은	세종/NNP+은/JX
법을	법/NNG+을/JKO
곧바로	곧바로/MAG
시행하지는	시행/NNG+하/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.325.2.6
정부 관리들 사이에선 반대가 많았고, 땅이 척박한 평안도, 함길도 등에서도 반대가 강했기 때문이다.

정부	정부/NNG
관리들	관리/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
반대가	반대/NNG+가/JKS
많았고,	많/VA+았/EP+고/EC+,/SP
땅이	땅/NNG+이/JKS
척박한	척박하/VA+ㄴ/ETM
평안도,	평안도/NNP+,/SP
함길도	함길도/NNP
등에서도	등/NNB+에서/JKB+도/JX
강했기	강하/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.325.3.1
광해군은 영창대군의 생모 인목대비를 서궁에 유폐한 뒤, 폐위시킬 것인지 폭넓게 의견을 물었다.

광해군은	광해군/NNP+은/JX
영창대군의	영창/NNP+대군/NNG+의/JKG
생모	생모/NNG
인목대비를	인목/NNP+대비/NNG+를/JKO
서궁에	서궁/NNG+에/JKB
유폐한	유폐/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
폐위시킬	폐위/NNG+시키/XSV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
폭넓게	폭넓/VA+게/EC
의견을	의견/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.325.3.2
전·현직 관리 970명, 종실 170명과 도성에 사는 백성에게 의견을 물었다고 한다.

전·현직	전·현직/NNG
관리	관리/NNG
970명,	970/SN+명/NNB+,/SP
종실	종실/NNG
170명과	170/SN+명/NNB+과/JC
도성에	도성/NNG+에/JKB
사는	살/VV+는/ETM
백성에게	백성/NNG+에게/JKB
의견을	의견/NNG+을/JKO
물었다고	묻/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.325.3.3
의견수렴이라는 뜻을 가진 수의(收議)를 시행한 것인데, 대상이 폭넓었다.

의견수렴이라는	의견/NNG+수렴/NNG+이/VCP+라는/ETM
뜻을	뜻/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
수의(收議)를	수의/NNG+(/SS+收議/SH+)/SS+를/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
대상이	대상/NNG+이/JKS
폭넓었다.	폭넓/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.325.3.4
극소수 조정 관리만 폐모에 반대 의견을 냈고, 대부분 찬성했다.

극소수	극소수/NNG
조정	조정/NNG
관리만	관리/NNG+만/JX
폐모에	폐모/NNG+에/JKB
반대	반대/NNG
의견을	의견/NNG+을/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
대부분	대/XPN+부분/NNG
찬성했다.	찬성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.325.3.5
그런데 가장 먼저 반대 의견을 낸 전 영의정 이항복이 귀양 간 것에서 보듯 광해군의 수의는 위력으로 사람을 줄세우는 여론조작에 가까웠다.

그런데	그런데/MAJ
가장	가장/MAG
먼저	먼저/MAG
반대	반대/NNG
의견을	의견/NNG+을/JKO
낸	내/VV+ㄴ/ETM
전	전/MMD
영의정	영의정/NNG
이항복이	이항복/NNP+이/JKS
귀양	귀양/NNG
간	가/VV+ㄴ/ETM
것에서	것/NNB+에서/JKB
보듯	보/VV+듯/EC
광해군의	광해군/NNP+의/JKG
수의는	수의/NNG+는/JX
위력으로	위력/NNG+으로/JKB
사람을	사람/NNG+을/JKO
