# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.266
metadata : {}


# id : NWRW1800000041.266.1.1
만만찮은 한국전력 “삼성화재도 만만해”

만만찮은	만만찮/VA+은/ETM
한국전력	한국전력/NNP
“삼성화재도	“/SS+삼성화재/NNP+도/JX
만만해”	만만하/VA+아/EF+”/SS


# id : NWRW1800000041.266.2.1
전광인 26득점… 풀세트 역전극 천적에 20개월만의 승리 환호성

전광인	전광인/NNP
26득점…	26/SN+득점/NNG+…/SE
풀세트	풀/NNG+세트/NNG
역전극	역전극/NNG
천적에	천적/NNG+에/JKB
20개월만의	20/SN+개월/NNB+만/NNB+의/JKG
승리	승리/NNG
환호성	환호성/NNG


# id : NWRW1800000041.266.3.1
프로배구 남자부 한국전력과 삼성화재의 2014∼2015시즌 첫 대결이 열린 2일 수원체육관.

프로배구	프로/NNG+배구/NNG
남자부	남자부/NNG
한국전력과	한국전력/NNP+과/JC
삼성화재의	삼성화재/NNP+의/JKG
2014∼2015시즌	2014/SN+∼/SO+2015/SN+시즌/NNG
첫	첫/MMN
대결이	대결/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
2일	2/SN+일/NNB
수원체육관.	수원체육관/NNP+./SF


# id : NWRW1800000041.266.3.2
한국전력이 3-2(23-25, 27-25, 23-25, 25-20, 15-8)로 짜릿한 역전승을 거뒀다.

한국전력이	한국전력/NNP+이/JKS
3-2(23-25,	3/SN+-/SO+2/SN+(/SS+23/SN+-/SO+25/SN+,/SP
27-25,	27/SN+-/SO+25/SN+,/SP
23-25,	23/SN+-/SO+25/SN+,/SP
25-20,	25/SN+-/SO+20/SN+,/SP
15-8)로	15/SN+-/SO+8/SN+)/SS+로/JKB
짜릿한	짜릿하/VA+ㄴ/ETM
역전승을	역전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.266.3.3
홈 개막전을 맞아 경기장을 가득 메운 올 시즌 최다 5015명의 만원 관중은 홈 팀 한국전력이 ‘천적’ 삼성화재를 20개월 만에 꺾는 현장을 지켜보며 열광했다.

홈	홈/NNG
개막전을	개막전/NNG+을/JKO
맞아	맞/VV+아/EC
경기장을	경기장/NNG+을/JKO
가득	가득/MAG
메운	메우/VV+ㄴ/ETM
올	올/NNG
시즌	시즌/NNG
최다	최다/NNG
5015명의	5015/SN+명/NNB+의/JKG
만원	만원/NNG
관중은	관중/NNG+은/JX
팀	팀/NNG
한국전력이	한국전력/NNP+이/JKS
‘천적’	‘/SS+천적/NNG+’/SS
삼성화재를	삼성화재/NNP+를/JKO
20개월	20/SN+개월/NNB
만에	만/NNB+에/JKB
꺾는	꺾/VV+는/ETM
현장을	현장/NNG+을/JKO
지켜보며	지켜보/VV+며/EC
열광했다.	열광/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.266.4.1
한국전력이 삼성화재를 이긴 것은 2013년 3월 10일이 마지막이다.

한국전력이	한국전력/NNP+이/JKS
삼성화재를	삼성화재/NNP+를/JKO
이긴	이기/VV+ㄴ/ETM
것은	것/NNB+은/JX
2013년	2013/SN+년/NNB
3월	3/SN+월/NNB
10일이	10/SN+일/NNB+이/JKS
마지막이다.	마지막/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.266.4.2
하지만 당시 정규시즌 우승을 확정한 삼성화재는 1세트부터 국내 주전 선수들을 기용하지 않았고 2세트부터는 레오도 출전시키지 않았다.

하지만	하지만/MAJ
당시	당시/NNG
정규시즌	정규/NNG+시즌/NNG
우승을	우승/NNG+을/JKO
확정한	확정/NNG+하/XSV+ㄴ/ETM
삼성화재는	삼성화재/NNP+는/JX
1세트부터	1/SN+세트/NNG+부터/JX
국내	국내/NNG
주전	주전/NNG
선수들을	선수/NNG+들/XSN+을/JKO
기용하지	기용/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
2세트부터는	2/SN+세트/NNG+부터/JX+는/JX
레오도	레오/NNP+도/JX
출전시키지	출전/NNG+시키/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.266.4.3
주전끼리 맞붙어 한국전력이 삼성화재를 이긴 것은 2011년 1월 17일이 마지막이니 사실상 3년 9개월여 만의 승리다.

주전끼리	주전/NNG+끼리/XSN
맞붙어	맞붙/VV+어/EC
한국전력이	한국전력/NNP+이/JKS
삼성화재를	삼성화재/NNP+를/JKO
이긴	이기/VV+ㄴ/ETM
것은	것/NNB+은/JX
2011년	2011/SN+년/NNB
1월	1/SN+월/NNB
17일이	17/SN+일/NNB+이/JKS
마지막이니	마지막/NNG+이/VCP+니/EC
사실상	사실/NNG+상/XSN
3년	3/SN+년/NNB
9개월여	9/SN+개월/NNB+여/XSN
만의	만/NNB+의/JKG
승리다.	승리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.266.4.4
한국전력은 3승 1패(승점 7점·3위), 삼성화재는 2승 2패(승점 7점·4위)가 됐다.

한국전력은	한국전력/NNP+은/JX
3승	3/SN+승/NNB
1패(승점	1/SN+패/NNB+(/SS+승점/NNG
7점·3위),	7/SN+점/NNB+·/SP+3/SN+위/NNB+)/SS+,/SP
삼성화재는	삼성화재/NNP+는/JX
2승	2/SN+승/NNB
2패(승점	2/SN+패/NNB+(/SS+승점/NNG
7점·4위)가	7/SN+점/NNB+·/SP+4/SN+위/NNB+)/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.266.5.1
이날 한국전력은 국가대표 주포인 전광인이 서브 2점을 포함해 26점(성공률 62.2%)을 올리며 공격을 이끌었고 그리스 출신 외국인 선수 쥬리치가 27득점(성공률 47%)을 기록했다.

이날	이날/NNG
한국전력은	한국전력/NNP+은/JX
국가대표	국가/NNG+대표/NNG
주포인	주포/NNG+이/VCP+ㄴ/ETM
전광인이	전광인/NNP+이/JKS
서브	서브/NNG
2점을	2/SN+점/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
26점(성공률	26/SN+점/NNB+(/SS+성공/NNG+률/XSN
62.2%)을	62/SN+./SP+2/SN+%/SW+)/SS+을/JKO
올리며	올리/VV+며/EC
공격을	공격/NNG+을/JKO
이끌었고	이끌/VV+었/EP+고/EC
그리스	그리스/NNP
출신	출신/NNG
외국인	외국인/NNG
선수	선수/NNG
쥬리치가	쥬리치/NNP+가/JKS
27득점(성공률	27/SN+득점/NNG+(/SS+성공/NNG+률/XSN
47%)을	47/SN+%/SW+)/SS+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.266.5.2
삼성화재는 외국인 선수 레오가 45득점(성공률 50%)으로 분전했지만 주포인 박철우가 7득점에 그친 게 아쉬웠다.

삼성화재는	삼성화재/NNP+는/JX
외국인	외국인/NNG
선수	선수/NNG
레오가	레오/NNP+가/JKS
45득점(성공률	45/SN+득점/NNG+(/SS+성공/NNG+률/XSN
50%)으로	50/SN+%/SW+)/SS+으로/JKB
분전했지만	분전/NNG+하/XSV+았/EP+지만/EC
주포인	주포/NNG+이/VCP+ㄴ/ETM
박철우가	박철우/NNP+가/JKS
7득점에	7/SN+득점/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
게	거/NNB+이/JKS
아쉬웠다.	아쉽/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.266.5.3
전광인은 “분위기가 안 좋을 때 쥬리치가 웃으면서 격려해준 게 도움이 됐다.

전광인은	전광인/NNP+은/JX
“분위기가	“/SS+분위기/NNG+가/JKS
안	안/MAG
좋을	좋/VA+을/ETM
때	때/NNG
쥬리치가	쥬리치/NNP+가/JKS
웃으면서	웃/VV+으면서/EC
격려해준	격려/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
게	거/NNB+이/JKS
도움이	도움/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.266.5.4
성균관대 후배인 리베로 오재성의 수비도 대단했다”고 말했다.

성균관대	성균관대/NNP
후배인	후배/NNG+이/VCP+ㄴ/ETM
리베로	리베로/NNG
오재성의	오재성/NNP+의/JKG
수비도	수비/NNG+도/JX
대단했다”고	대단하/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.266.6.1
한편 여자부 KGC인삼공사는 현대건설을 3-1(14-25, 25-18, 25-21, 29-27)로 꺾었다.

한편	한편/NNG
여자부	여자부/NNG
KGC인삼공사는	KGC인삼공사/NNP+는/JX
현대건설을	현대건설/NNP+을/JKO
3-1(14-25,	3/SN+-/SO+1/SN+(/SS+14/SN+-/SO+25/SN+,/SP
25-18,	25/SN+-/SO+18/SN+,/SP
25-21,	25/SN+-/SO+21/SN+,/SP
29-27)로	29/SN+-/SO+27/SN+)/SS+로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


