# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.154
metadata : {}


# id : NWRW1800000041.154.1.1
편곡-가창력은 甲이지만…

편곡-가창력은	편곡/NNG+-/SO+가창력/NNG+은/JX
甲이지만…	甲/SH+이/VCP+지만/EC+…/SE


# id : NWRW1800000041.154.2.1
싱어송라이터 김동률 6년만의 6집 ‘동행’ 들어보니 수록곡 ‘그게 나야’ 각 음원 차트 1, 2위 전문가들 “주제-멜로디 등 예전만 못해”

싱어송라이터	싱어송라이터/NNG
김동률	김동률/NNP
6년만의	6/SN+년/NNB+만/NNB+의/JKG
6집	6/SN+집/NNB
‘동행’	‘/SS+동행/NNP+’/SS
들어보니	듣/VV+어/EC+보/VX+니/EC
수록곡	수록곡/NNG
‘그게	‘/SS+그거/NP+이/JKS
나야’	나/NP+야/JX+’/SS
각	각/MMD
음원	음원/NNG
차트	차트/NNG
1,	1/SN+,/SP
2위	2/SN+위/NNB
전문가들	전문가/NNG+들/XSN
“주제-멜로디	“/SS+주제/NNG+-/SO+멜로디/NNG
등	등/NNB
예전만	예전/NNG+만/JX
못해”	못/MAG+하/XSA+아/EF+”/SS


# id : NWRW1800000041.154.3.1
꾸며진 노래, 무용과 연기를 위한 가요가 넘친다.

꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
노래,	노래/NNG+,/SP
무용과	무용/NNG+과/JC
연기를	연기/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
가요가	가요/NNG+가/JKS
넘친다.	넘치/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.154.4.1
어차피 연기(演技)나 연기(煙氣) 같은 대중음악 판에서 그래도 노래의 진심을 믿게 해줄 가수를 찾자면 싱어송라이터 김동률(40)이 먼저 떠오른다.

어차피	어차피/MAG
연기(演技)나	연기/NNG+(/SS+演技/SL+)/SS+나/JC
연기(煙氣)	연기/NNG+(/SS+煙氣/SH+)/SS
같은	같/VA+은/ETM
대중음악	대중음악/NNG
판에서	판/NNG+에서/JKB
그래도	그렇/VA+어도/EC
노래의	노래/NNG+의/JKG
진심을	진심/NNG+을/JKO
믿게	믿/VV+게/EC
해줄	하/VX+아/EC+주/VX+ㄹ/ETM
가수를	가수/NNG+를/JKO
찾자면	찾/VV+자면/EC
싱어송라이터	싱어송라이터/NNG
김동률(40)이	김동률/NNP+(/SS+40/SN+)/SS+이/JKS
먼저	먼저/MAG
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.154.5.1
극장 안에 ‘기억의 습작’(1994년·전람회 1집)이 울릴 때, 노래방에서 ‘취중진담’(1996년·전람회 2집)을 부를 때 가슴이 메는 절절함.

극장	극장/NNG
안에	안/NNG+에/JKB
‘기억의	‘/SS+기억/NNG+의/JKG
습작’(1994년·전람회	습작/NNG+’/SS+(/SS+1994/SN+년/NNB+·/SP+전람회/NNP
1집)이	1/SN+집/NNB+)/SS+이/JKS
울릴	울리/VV+ㄹ/ETM
때,	때/NNG+,/SP
노래방에서	노래방/NNG+에서/JKB
‘취중진담’(1996년·전람회	‘/SS+취중진담/NNP+’/SS+(/SS+1996/SN+년/NNB+·/SP+전람회/NNP
2집)을	2/SN+집/NNB+)/SS+을/JKO
부를	부르/VV+ㄹ/ETM
때	때/NNG
가슴이	가슴/NNG+이/JKS
메는	메/VV+는/ETM
절절함.	절절하/VA+ㅁ/ETN+./SF


# id : NWRW1800000041.154.5.2
‘다시 사랑한다 말할까’(2001년·김동률 3집), ‘다시 시작해보자’(2008년·김동률 5집)는 물론이고 ‘천일동안’(1995년·이승환 4집·작사 이승환)과 ‘거위의 꿈’(1997년·카니발·작사 이적)의 선율도 김동률에게서 나왔다.

‘다시	‘/SS+다시/MAG
사랑한다	사랑/NNG+하/XSV+ㄴ다/EF
말할까’(2001년·김동률	말/NNG+하/XSV+ㄹ까/EF+’/SS+(/SS+2001/SN+년/NNB+·/SP+김동률/NNP
3집),	3/SN+집/NNB+)/SS+,/SP
시작해보자’(2008년·김동률	시작/NNG+하/XSV+아/EC+보/VX+자/EF+’/SS+(/SS+2008/SN+년/NNB+·/SP+김동률/NNP
5집)는	5/SN+집/NNB+)/SS+는/JX
물론이고	물론/NNG+이/VCP+고/EC
‘천일동안’(1995년·이승환	‘/SS+천일동안/NNP+’/SS+(/SS+1995/SN+년/NNB+·/SP+이승환/NNP
4집·작사	4/SN+집/NNB+·/SP+작사/NNG
이승환)과	이승환/NNP+)/SS+과/JC
‘거위의	‘/SS+거위/NNG+의/JKG
꿈’(1997년·카니발·작사	꿈/NNG+’/SS+(/SS+1997/SN+년/NNB+·/SP+카니발/NNP+·/SP+작사/NNG
이적)의	이적/NNP+)/SS+의/JKG
선율도	선율/NNG+도/JX
김동률에게서	김동률/NNP+에게서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.5.3
유명 가수가 옛사랑에게 용서를 구하는 내용을 담은 ‘오래된 노래’(2008년·김동률 5집)가 주는 감흥은 별나다.

유명	유명/NNG
가수가	가수/NNG+가/JKS
옛사랑에게	옛사랑/NNG+에게/JKB
용서를	용서/NNG+를/JKO
구하는	구하/VV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘오래된	‘/SS+오래/MAG+되/XSA+ㄴ/ETM
노래’(2008년·김동률	노래/NNG+’/SS+(/SS+2008/SN+년/NNB+·/SP+김동률/NNP
5집)가	5/SN+집/NNB+)/SS+가/JKS
주는	주/VV+는/ETM
감흥은	감흥/NNG+은/JX
별나다.	별나/VA+다/EF+./SF


# id : NWRW1800000041.154.5.4
김동률은 ‘결정적 장면’을 노래로 인화하는 탁월한 능력을 지녔다.

김동률은	김동률/NNP+은/JX
‘결정적	‘/SS+결정/NNG+적/XSN
장면’을	장면/NNG+’/SS+을/JKO
노래로	노래/NNG+로/JKB
인화하는	인화/NNG+하/XSV+는/ETM
탁월한	탁월하/VA+ㄴ/ETM
능력을	능력/NNG+을/JKO
지녔다.	지니/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.154.6.1
김동률은 1993년 전람회(김동률 서동욱)로 MBC 대학가요제에 출전해 ‘꿈속에서’를 불러 대상을 받으며 데뷔했다.

김동률은	김동률/NNP+은/JX
1993년	1993/SN+년/NNB
전람회(김동률	전람회/NNP+(/SS+김동률/NNP
서동욱)로	서동욱/NNP+)/SS+로/JKB
MBC	MBC/SL
대학가요제에	대학/NNG+가요제/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
‘꿈속에서’를	‘/SS+꿈속에서/NNP+’/SS+를/JKO
불러	부르/VV+어/EC
대상을	대상/NNG+을/JKO
받으며	받/VV+으며/EC
데뷔했다.	데뷔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.6.2
전람회, 카니발(김동률 이적), 베란다 프로젝트(김동률 이상순)를 거친 김동률의 여섯 번째 솔로 앨범 ‘동행’(사진)이 1일 발매된 이후 돌풍을 멈추지 않는다.

전람회,	전람회/NNP+,/SP
카니발(김동률	카니발/NNP+(/SS+김동률/NNP
이적),	이적/NNP+)/SS+,/SP
베란다	베란다/NNP
프로젝트(김동률	프로젝트/NNP+(/SS+김동률/NNP
이상순)를	이상순/NNP+)/SS+를/JKO
거친	거치/VV+ㄴ/ETM
김동률의	김동률/NNP+의/JKG
여섯	여섯/NR
번째	번/NNB+째/XSN
솔로	솔로/NNG
앨범	앨범/NNG
‘동행’(사진)이	‘/SS+동행/NNP+’/SS+(/SS+사진/NNG+)/SS+이/JKS
1일	1/SN+일/NNB
발매된	발매/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
돌풍을	돌풍/NNG+을/JKO
멈추지	멈추/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.154.6.3
대표 수록곡 ‘그게 나야’는 음원 차트 1, 2위에, 대개의 수록곡도 20위권에 머문다.

대표	대표/NNG
수록곡	수록곡/NNG
‘그게	‘/SS+그거/NP+이/JKS
나야’는	나/NP+야/JX+’/SS+는/JX
음원	음원/NNG
차트	차트/NNG
1,	1/SN+,/SP
2위에,	2/SN+위/NNB+에/JKB+,/SP
대개의	대개/NNG+의/JKG
수록곡도	수록곡/NNG+도/JX
20위권에	20/SN+위/NNB+권/XSN+에/JKB
머문다.	머물/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.154.6.4
신작 CD는 나흘 만에 4만 장 주문받았고, 12월에 여는 콘서트 입장권은 예매가 시작되자마자 1만 장 모두 팔렸다고 소속사는 전했다.

신작	신작/NNG
CD는	CD/SL+는/JX
나흘	나흘/NNG
만에	만/NNB+에/JKB
4만	4/SN+만/NR
장	장/NNB
주문받았고,	주문/NNG+받/XSV+았/EP+고/EC+,/SP
12월에	12/SN+월/NNB+에/JKB
여는	열/VV+는/ETM
콘서트	콘서트/NNG
입장권은	입장/NNG+권/XSN+은/JX
예매가	예매/NNG+가/JKS
시작되자마자	시작/NNG+되/XSV+자마자/EC
1만	1/SN+만/NR
모두	모두/MAG
팔렸다고	팔리/VV+었/EP+다고/EC
소속사는	소속사/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.7.1
경력 초기에 그가 준수한 결과물을 너무 많이 쏟아낸 탓일까.

경력	경력/NNG
초기에	초기/NNG+에/JKB
그가	그/NP+가/JKS
준수한	준수하/VA+ㄴ/ETM
결과물을	결과물/NNG+을/JKO
너무	너무/MAG
많이	많이/MAG
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
탓일까.	탓/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000041.154.7.2
전문가들은 대체로 신작이 전작들보다 뒤진다고 봤다.

전문가들은	전문가/NNG+들/XSN+은/JX
대체로	대체로/MAG
신작이	신작/NNG+이/JKS
전작들보다	전작/NNG+들/XSN+보다/JKB
뒤진다고	뒤지/VV+ㄴ다고/EC
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.7.3
김봉현 대중음악 평론가는 “주제와 가사, 멜로디 모두 예전 작품보다 못한 동어반복이다.

김봉현	김봉현/NNP
대중음악	대중음악/NNG
평론가는	평론가/NNG+는/JX
“주제와	“/SS+주제/NNG+와/JC
가사,	가사/NNG+,/SP
멜로디	멜로디/NNG
모두	모두/MAG
예전	예전/NNG
작품보다	작품/NNG+보다/JKB
못한	못/MAG+하/XSA+ㄴ/ETM
동어반복이다.	동어/NNG+반복/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.154.7.4
훌륭했던 이전 노래를 듣는 편이 낫다”고 했다.

훌륭했던	훌륭하/VA+았/EP+던/ETM
이전	이전/NNG
노래를	노래/NNG+를/JKO
듣는	듣/VV+는/ETM
편이	편/NNB+이/JKS
낫다”고	낫/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.7.5
서정민갑 평론가는 “음악의 밀도가 낮고 스스로도 방향을 못 찾는 느낌”이라고 했다.

서정민갑	서정민갑/NNP
평론가는	평론가/NNG+는/JX
“음악의	“/SS+음악/NNG+의/JKG
밀도가	밀도/NNG+가/JKS
낮고	낮/VA+고/EC
스스로도	스스로/NNG+도/JX
방향을	방향/NNG+을/JKO
못	못/MAG
찾는	찾/VV+는/ETM
느낌”이라고	느낌/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.7.6
이경준 평론가는 신작을 “첫 페이지를 넘기면 결말이 예상되는 소설”에 빗대며 “초기의 패기나 3, 4집에서 보여준 앨범으로서의 완성도가 떨어진다”고 평했다.

이경준	이경준/NNP
평론가는	평론가/NNG+는/JX
신작을	신작/NNG+을/JKO
“첫	“/SS+첫/MMN
페이지를	페이지/NNG+를/JKO
넘기면	넘기/VV+면/EC
결말이	결말/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
소설”에	소설/NNG+”/SS+에/JKB
빗대며	빗대/VV+며/EC
“초기의	“/SS+초기/NNG+의/JKG
패기나	패기/NNG+나/JC
3,	3/SN+,/SP
4집에서	4/SN+집/NNB+에서/JKB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
앨범으로서의	앨범/NNG+으로서/JKB+의/JKG
완성도가	완성도/NNG+가/JKS
떨어진다”고	떨어지/VV+ㄴ다/EF+”/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.8.1
김동률의 편곡과 가창 능력은 여전히 높게 평가됐다.

김동률의	김동률/NNP+의/JKG
편곡과	편곡/NNG+과/JC
가창	가창/NNG
능력은	능력/NNG+은/JX
여전히	여전히/MAG
높게	높/VA+게/EC
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.154.8.2
전문가들은 수록곡 ‘고백’ ‘청춘’ ‘동행’에서 보이는 김동률만의 밀도에도 주목했다.

전문가들은	전문가/NNG+들/XSN+은/JX
수록곡	수록곡/NNG
‘고백’	‘/SS+고백/NNP+’/SS
‘청춘’	‘/SS+청춘/NNP+’/SS
‘동행’에서	‘/SS+동행/NNP+’/SS+에서/JKB
보이는	보이/VV+는/ETM
김동률만의	김동률/NNP+만/JX+의/JKG
밀도에도	밀도/NNG+에/JKB+도/JX
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.154.8.3
신작을 반긴 한명륜 평론가는 “20대 김동률이 회고적 시점에 천착했다면, 지금 김동률은 비로소 노래의 시점과 함께 걷는 듯해 호소력이 있다.

신작을	신작/NNG+을/JKO
반긴	반기/VV+ㄴ/ETM
한명륜	한명륜/NNP
평론가는	평론가/NNG+는/JX
“20대	“/SS+20/SN+대/NNB
김동률이	김동률/NNP+이/JKS
회고적	회고/NNG+적/XSN
시점에	시점/NNG+에/JKB
천착했다면,	천착/NNG+하/XSV+았/EP+다면/EC+,/SP
지금	지금/MAG
김동률은	김동률/NNP+은/JX
비로소	비로소/MAG
노래의	노래/NNG+의/JKG
시점과	시점/NNG+과/JKB
함께	함께/MAG
걷는	걷/VV+는/ETM
듯해	듯/NNB+하/XSA+아/EC
호소력이	호소력/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.154.8.4
정갈한 노랫말 쓰기 능력은 높은 경지에 올랐다”고 말했다.

정갈한	정갈하/VA+ㄴ/ETM
노랫말	노랫말/NNG
쓰기	쓰/VV+기/ETN
능력은	능력/NNG+은/JX
높은	높/VA+은/ETM
경지에	경지/NNG+에/JKB
