# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.126
metadata : {}


# id : NWRW1800000025.126.1.1
[대전/충남]당진 주택 공시가격 1년새 4.2% 올라

[대전/충남]당진	[/SS+대전/NNP+//SP+충남/NNP+]/SS+당진/NNP
주택	주택/NNG
공시가격	공시/NNG+가격/NNG
1년새	1/SN+년/NNB+새/NNG
4.2%	4/SN+./SP+2/SN+%/SW
올라	오르/VV+아/EF


# id : NWRW1800000025.126.2.1
올해 대전과 충남지역 집값(주택 공시가격)이 소폭 상승한 것으로 나타났다.

올해	올해/NNG
대전과	대전/NNP+과/JC
충남지역	충남지역/NNP
집값(주택	집값/NNG+(/SS+주택/NNG
공시가격)이	공시/NNG+가격/NNG+)/SS+이/JKS
소폭	소폭/NNG
상승한	상승/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.126.2.2
2일 대전시에 따르면 올해 공시되는 대전지역 개별주택 8만1135채의 가격을 분석한 결과 지난해에 비해 평균 0.61% 올랐다.

2일	2/SN+일/NNB
대전시에	대전시/NNP+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
공시되는	공시/NNG+되/XSV+는/ETM
대전지역	대전지역/NNP
개별주택	개별/NNG+주택/NNG
8만1135채의	8/SN+만/NR+1135/SN+채/NNB+의/JKG
가격을	가격/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
평균	평균/NNG
0.61%	0/SN+./SP+61/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.126.2.3
구별로는 중구가 1.64% 오른 것을 비롯해 유성구 0.81%, 동구 0.31%, 서구 0.28%, 대덕구 0.02% 순으로 상승했다.

구별로는	구별/NNG+로/JKB+는/JX
중구가	중구/NNP+가/JKS
1.64%	1/SN+./SP+64/SN+%/SW
오른	오르/VV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
유성구	유성구/NNP
0.81%,	0/SN+./SP+81/SN+%/SW+,/SP
동구	동구/NNP
0.31%,	0/SN+./SP+31/SN+%/SW+,/SP
서구	서구/NNP
0.28%,	0/SN+./SP+28/SN+%/SW+,/SP
대덕구	대덕구/NNP
0.02%	0/SN+./SP+02/SN+%/SW
순으로	순/NNB+으로/JKB
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.126.2.4
중구의 상승폭이 높은 것은 태평동과 석교동 일대 주택 재개발에 대한 기대감 때문인 것으로 분석된다.

중구의	중구/NNP+의/JKG
상승폭이	상승/NNG+폭/NNG+이/JKS
높은	높/VA+은/ETM
것은	것/NNB+은/JX
태평동과	태평동/NNP+과/JC
석교동	석교동/NNP
일대	일대/NNG
주택	주택/NNG
재개발에	재/XPN+개발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감	기대감/NNG
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.126.3.1
개별주택 가운데 최고 공시가 주택은 대전 동구 대동 소재 주택(8억1900만 원)이다.

개별주택	개별/NNG+주택/NNG
가운데	가운데/NNG
최고	최고/NNG
공시가	공시/NNG+가/XSN
주택은	주택/NNG+은/JX
대전	대전/NNP
동구	동구/NNP
대동	대동/NNP
소재	소재/NNG
주택(8억1900만	주택/NNG+(/SS+8/SN+억/NR+1900/SN+만/NR
원)이다.	원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000025.126.3.2
최저 공시가 주택은 대전 서구 원정동에 있는 265만 원짜리 주택인 것으로 나타났다.

최저	최저/NNG
공시가	공시/NNG+가/XSN
주택은	주택/NNG+은/JX
대전	대전/NNP
서구	서구/NNP
원정동에	원정동/NNP+에/JKB
있는	있/VA+는/ETM
265만	265/SN+만/NR
원짜리	원/NNB+짜리/XSN
주택인	주택/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.126.4.1
충남의 경우 올해 공시된 개별주택 24만7000채의 가격 분석 결과 지난해에 비해 평균 0.5% 올랐다.

충남의	충남/NNP+의/JKG
경우	경우/NNG
올해	올해/NNG
공시된	공시/NNG+되/XSV+ㄴ/ETM
개별주택	개별/NNG+주택/NNG
24만7000채의	24/SN+만/NR+7000/SN+채/NNB+의/JKG
가격	가격/NNG
분석	분석/NNG
결과	결과/NNG
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
평균	평균/NNG
0.5%	0/SN+./SP+5/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.126.4.2
지역별 상승률은 당진 4.2%, 홍성 1.8%, 아산 1.6%, 예산 1.5% 등의 순이었다.

지역별	지역/NNG+별/XSN
상승률은	상승/NNG+률/XSN+은/JX
당진	당진/NNP
4.2%,	4/SN+./SP+2/SN+%/SW+,/SP
홍성	홍성/NNP
1.8%,	1/SN+./SP+8/SN+%/SW+,/SP
아산	아산/NNP
1.6%,	1/SN+./SP+6/SN+%/SW+,/SP
예산	예산/NNP
1.5%	1/SN+./SP+5/SN+%/SW
등의	등/NNB+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.126.4.3
당진은 황해경제자유구역 예정지에 포함돼 상승폭이 컸다.

당진은	당진/NNP+은/JX
황해경제자유구역	황해/NNP+경제/NNG+자유/NNG+구역/NNG
예정지에	예정지/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
상승폭이	상승/NNG+폭/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.126.4.4
홍성과 예산은 충남도청 이전 예정지여서 오른 것으로 분석된다.

홍성과	홍성/NNP+과/JC
예산은	예산/NNP+은/JX
충남도청	충남도청/NNP
이전	이전/NNG
예정지여서	예정지/NNG+이/VCP+어서/EC
오른	오르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.126.4.5
반면 서천과 연기, 논산은 지난해에 비해 각각 1.3%, 1.0%, 0.9% 하락했다.

반면	반면/NNG
서천과	서천/NNP+과/JC
연기,	연기/NNP+,/SP
논산은	논산/NNP+은/JX
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
각각	각각/MAG
1.3%,	1/SN+./SP+3/SN+%/SW+,/SP
1.0%,	1/SN+./SP+0/SN+%/SW+,/SP
0.9%	0/SN+./SP+9/SN+%/SW
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.126.5.1
개별주택 가격은 대전시와 각 구청, 충남도와 각 시군 홈페이지를 통해 공시됐다.

개별주택	개별/NNG+주택/NNG
가격은	가격/NNG+은/JX
대전시와	대전시/NNP+와/JC
각	각/MMD
구청,	구청/NNG+,/SP
충남도와	충남도/NNP+와/JC
시군	시군/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
공시됐다.	공시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.126.5.2
소유자들은 이의가 있을 경우 이달 말까지 관할 시군구에 이의신청을 할 수 있다.

소유자들은	소유자/NNG+들/XSN+은/JX
이의가	이의/NNG+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
이달	이달/NNG
말까지	말/NNB+까지/JX
관할	관할/NNG
시군구에	시군구/NNG+에/JKB
이의신청을	이의/NNG+신청/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


