# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.240
metadata : {}


# id : NWRW1800000046.240.1.1
야구는 김태형이 웃었지만 골프는 류중일이 역전승

야구는	야구/NNG+는/JX
김태형이	김태형/NNP+이/JKS
웃었지만	웃/VV+었/EP+지만/EC
골프는	골프/NNG+는/JX
류중일이	류중일/NNP+이/JKS
역전승	역전승/NNG


# id : NWRW1800000046.240.2.1
여기서 이러시면 안됩니다만… 그린에 간 야구인들, 춘천서 야구인 골프대회

여기서	여기/NP+서/JKB
이러시면	이러/VV+시/EP+면/EC
안됩니다만…	안/MAG+되/XSV+ㅂ니다/EF+만/JX+…/SE
그린에	그린/NNG+에/JKB
간	가/VV+ㄴ/ETM
야구인들,	야구인/NNG+들/XSN+,/SP
춘천서	춘천/NNP+서/JKB
야구인	야구인/NNG
골프대회	골프/NNG+대회/NNG


# id : NWRW1800000046.240.3.1
프로야구 한국시리즈에서 맞붙었던 두산과 삼성이 다시 한 번 대결했다.

프로야구	프로/NNG+야구/NNG
한국시리즈에서	한국/NNP+시리즈/NNG+에서/JKB
맞붙었던	맞붙/VV+었/EP+던/ETM
두산과	두산/NNP+과/JC
삼성이	삼성/NNP+이/JKS
다시	다시/MAG
한	한/MMN
번	번/NNB
대결했다.	대결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.240.3.2
이번엔 야구가 아니라 감독들의 골프 실력으로 승부를 가렸다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
야구가	야구/NNG+가/JKC
아니라	아니/VCN+라/EC
감독들의	감독/NNG+들/XSN+의/JKG
골프	골프/NNG
실력으로	실력/NNG+으로/JKB
승부를	승부/NNG+를/JKO
가렸다.	가리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.240.4.1
제34회 야구인골프대회(스포츠조선·KBO 공동 주최, 두산 베어스 후원)가 30일 강원도 춘천 라데나골프클럽에서 열렸다.

제34회	제/XPN+34/SN+회/NNB
야구인골프대회(스포츠조선·KBO	야구인/NNG+골프/NNG+대회/NNG+(/SS+스포츠조선/NNP+·/SP+KBO/SL
공동	공동/NNG
주최,	주최/NNG+,/SP
두산	두산/NNP
베어스	베어스/NNP
후원)가	후원/NNG+)/SS+가/JKS
30일	30/SN+일/NNB
강원도	강원도/NNP
춘천	춘천/NNP
라데나골프클럽에서	라데나골프클럽/NNP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.240.4.2
프로야구 원년인 1982년부터 시작한 이 대회는 야구인들의 축제로 발전해 왔다.

프로야구	프로/NNG+야구/NNG
원년인	원년/NNG+이/VCP+ㄴ/ETM
1982년부터	1982/SN+년/NNB+부터/JX
시작한	시작/NNG+하/XSV+ㄴ/ETM
이	이/MMD
