# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.152
metadata : {}


# id : NWRW1800000022.152.1.1
관광버스, 승용차 덮쳐 7명 사망;어젯밤 서울 수유동서 브레이크 파열돼 5대 추돌

관광버스,	관광버스/NNG+,/SP
승용차	승용차/NNG
덮쳐	덮치/VV+어/EC
7명	7/SN+명/NNB
사망;어젯밤	사망/NNG+;/SW+어젯밤/NNG
서울	서울/NNP
수유동서	수유동/NNP+서/JKB
브레이크	브레이크/NNG
파열돼	파열/NNG+되/XSV+어/EC
5대	5/SN+대/NNB
추돌	추돌/NNG


# id : NWRW1800000022.152.2.1
23일 오후 10시2분쯤 서울 강북구 수유동 4·19탑 삼거리 부근에서 이모(60)씨가 몰던 관광버스가 박모(여·49)씨가 타고 있던 아반테 승용차를 덮친 뒤 승용차 4대를 잇따라 추돌해 모두 7명이 숨지고 5명이 다치는 사고가 발생했다.

23일	23/SN+일/NNB
오후	오후/NNG
10시2분쯤	10/SN+시/NNB+2/SN+분/NNB+쯤/XSN
서울	서울/NNP
강북구	강북구/NNP
수유동	수유동/NNP
4·19탑	4/SN+·/SP+19/SN+탑/NNG
삼거리	삼거리/NNG
부근에서	부근/NNG+에서/JKB
이모(60)씨가	이/NNP+모/NP+(/SS+60/SN+)/SS+씨/NNB+가/JKS
몰던	몰/VV+던/ETM
관광버스가	관광버스/NNG+가/JKS
박모(여·49)씨가	박/NNP+모/NP+(/SS+여/NNG+·/SP+49/SN+)/SS+씨/NNB+가/JKS
타고	타/VV+고/EC
있던	있/VX+던/ETM
아반테	아반테/NNP
승용차를	승용차/NNG+를/JKO
덮친	덮치/VV+ㄴ/ETM
뒤	뒤/NNG
승용차	승용차/NNG
4대를	4/SN+대/NNB+를/JKO
잇따라	잇따르/VV+아/EC
추돌해	추돌/NNG+하/XSV+아/EC
모두	모두/MAG
7명이	7/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
5명이	5/SN+명/NNB+이/JKS
다치는	다치/VV+는/ETM
사고가	사고/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.152.3.1
박모씨 등 현장에서 사망한 여성 7명은 모두 아반테 승용차 한 대에 타고 있었던 것으로 조사됐으며, 부상자들은 비교적 부상 정도가 경미한 것으로 알려졌다.

박모씨	박/NNP+모/NP+씨/NNB
등	등/NNB
현장에서	현장/NNG+에서/JKB
사망한	사망/NNG+하/XSV+ㄴ/ETM
여성	여성/NNG
7명은	7/SN+명/NNB+은/JX
모두	모두/MAG
아반테	아반테/NNP
승용차	승용차/NNG
한	한/MMN
대에	대/NNB+에/JKB
타고	타/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
조사됐으며,	조사/NNG+되/XSV+었/EP+으며/EC+,/SP
부상자들은	부상자/NNG+들/XSN+은/JX
비교적	비교/NNG+적/XSN
부상	부상/NNG
정도가	정도/NNG+가/JKS
경미한	경미하/VA+ㄴ/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.152.4.1
사망자·부상자들은 인근 한일병원·대한병원 등에 옮겨졌다.

사망자·부상자들은	사망자/NNG+·/SP+부상자/NNG+들/XSN+은/JX
인근	인근/NNG
한일병원·대한병원	한일병원/NNP+·/SP+대한병원/NNP
등에	등/NNB+에/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.152.4.2
소방서 관계자는 "관광버스가 브레이크 파열로 속도를 줄이지 못하는 바람에 아반테 승용차를 깔아 뭉갰고, 이어 앞서 달리던 승용차들을 잇따라 추돌한 것으로 보인다"고 말했다.

소방서	소방서/NNG
관계자는	관계자/NNG+는/JX
"관광버스가	"/SS+관광버스/NNG+가/JKS
브레이크	브레이크/NNG
파열로	파열/NNG+로/JKB
속도를	속도/NNG+를/JKO
줄이지	줄이/VV+지/EC
못하는	못하/VX+는/ETM
바람에	바람/NNB+에/JKB
아반테	아반테/NNP
승용차를	승용차/NNG+를/JKO
깔아	깔/VV+아/EC
뭉갰고,	뭉개/VV+었/EP+고/EC+,/SP
이어	이어/MAG
앞서	앞서/MAG
달리던	달리/VV+던/ETM
승용차들을	승용차/NNG+들/XSN+을/JKO
잇따라	잇따르/VV+아/EC
추돌한	추돌/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


