# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.315
metadata : {}


# id : NWRW1800000026.315.1.1
[스포츠 브리핑] 오세근 국내 첫 '쿼드러플더블' 외

[스포츠	[/SS+스포츠/NNG
브리핑]	브리핑/NNG+]/SS
오세근	오세근/NNP
국내	국내/NNG
첫	첫/MMN
'쿼드러플더블'	'/SS+쿼드러플/NNG+더블/NNG+'/SS
외	외/NNB


# id : NWRW1800000026.315.2.1
오세근 국내 첫 '쿼드러플더블'

오세근	오세근/NNP
국내	국내/NNG
첫	첫/MMN
'쿼드러플더블'	'/SS+쿼드러플/NNG+더블/NNG+'/SS


# id : NWRW1800000026.315.3.1
농구 국가대표인중앙대 센터 오세근(23)이 16일 상명대와의 대학리그 경기에서 14점 18리바운드 13어시스트 10블록슛을 기록했다.

농구	농구/NNG
국가대표인중앙대	국가/NNG+대표/NNG+이/VCP+ㄴ/ETM+중앙대/NNP
센터	센터/NNG
오세근(23)이	오세근/NNP+(/SS+23/SN+)/SS+이/JKS
16일	16/SN+일/NNB
상명대와의	상명대/NNP+와/JKB+의/JKG
대학리그	대학/NNG+리그/NNG
경기에서	경기/NNG+에서/JKB
14점	14/SN+점/NNB
18리바운드	18/SN+리바운드/NNG
13어시스트	13/SN+어시스트/NNG
10블록슛을	10/SN+블록슛/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.315.3.2
오세근은 한 경기에서 득점·리바운드·어시스트·가로채기·블록슛 등 5개 부문 중 4개 부문에서 두 자릿수 이상을 기록하는 '쿼드러플더블'을 달성했다.

오세근은	오세근/NNP+은/JX
한	한/MMN
경기에서	경기/NNG+에서/JKB
득점·리바운드·어시스트·가로채기·블록슛	득점/NNG+·/SP+리바운드/NNG+·/SP+어시스트/NNG+·/SP+가로채기/NNG+·/SP+블록슛/NNG
등	등/NNB
5개	5/SN+개/NNB
부문	부문/NNG
중	중/NNB
4개	4/SN+개/NNB
부문에서	부문/NNG+에서/JKB
두	두/MMN
자릿수	자릿수/NNG
이상을	이상/NNG+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
'쿼드러플더블'을	'/SS+쿼드러플/NNG+더블/NNG+'/SS+을/JKO
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.315.3.3
국내 공식 경기에서 쿼드러플더블이 나온 것은 이번이 처음이다.

국내	국내/NNG
공식	공식/NNG
경기에서	경기/NNG+에서/JKB
쿼드러플더블이	쿼드러플/NNG+더블/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.315.4.1
임창용 시즌 30세이브째

임창용	임창용/NNP
시즌	시즌/NNG
30세이브째	30/SN+세이브/NNG+째/XSN


# id : NWRW1800000026.315.5.1
일본 프로야구 야쿠르트 스왈로스의 임창용(34)이 16일 요미우리 자이언츠와의 홈경기에서 시즌 30번째 세이브를 기록했다.

일본	일본/NNP
프로야구	프로/NNG+야구/NNG
야쿠르트	야쿠르트/NNP
스왈로스의	스왈로스/NNP+의/JKG
임창용(34)이	임창용/NNP+(/SS+34/SN+)/SS+이/JKS
16일	16/SN+일/NNB
요미우리	요미우리/NNP
자이언츠와의	자이언츠/NNP+와/JKB+의/JKG
홈경기에서	홈경기/NNG+에서/JKB
시즌	시즌/NNG
30번째	30/SN+번/NNB+째/XSN
세이브를	세이브/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.315.5.2
임창용은 6―4로 앞서던 9회 초에 팀의 세 번째 투수로 등판해 1이닝 동안 삼진 2개와 투수 앞 땅볼로 세 타자를 마무리했다.

임창용은	임창용/NNP+은/JX
6―4로	6/SN+―/SS+4/SN+로/JKB
앞서던	앞서/VV+던/ETM
9회	9/SN+회/NNB
초에	초/NNB+에/JKB
팀의	팀/NNG+의/JKG
세	세/MMN
번째	번/NNB+째/XSN
투수로	투수/NNG+로/JKB
등판해	등판/NNG+하/XSV+아/EC
1이닝	1/SN+이닝/NNG
동안	동안/NNG
삼진	삼진/NNG
2개와	2/SN+개/NNB+와/JC
투수	투수/NNG
앞	앞/NNG
땅볼로	땅볼/NNG+로/JKB
타자를	타자/NNG+를/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.315.5.3
평균자책점은 1.43이 됐다.

평균자책점은	평균/NNG+자책점/NNG+은/JX
1.43이	1/SN+./SP+43/SN+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


