# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.5
metadata : {}


# id : NWRW1800000056.5.1.1
뛰던 달걀값, 기던 닭고기값 자리 바꿨다

뛰던	뛰/VV+던/ETM
달걀값,	달걀/NNG+값/NNG+,/SP
기던	기/VV+던/ETM
닭고기값	닭고기/NNG+값/NNG
자리	자리/NNG
바꿨다	바꾸/VV+었/EP+다/EF


# id : NWRW1800000056.5.2.1
[한겨레] AI에 떨어졌던 육계값 50여일 만에 150% 뛰어

[한겨레]	[/SS+한겨레/NNP+]/SS
AI에	AI/SL+에/JKB
떨어졌던	떨어지/VV+었/EP+던/ETM
육계값	육계/NNG+값/NNG
50여일	50/SN+여/XSN+일/NNB
만에	만/NNB+에/JKB
150%	150/SN+%/SW
뛰어	뛰/VV+어/EF


# id : NWRW1800000056.5.3.1
달걀값 설 이후 하락세 대형마트값 6000원대 회복

달걀값	달걀/NNG+값/NNG
설	설/NNG
이후	이후/NNG
하락세	하락세/NNG
대형마트값	대형/NNG+마트/NNG+값/NNG
6000원대	6000/SN+원/NNB+대/XSN
회복	회복/NNG


# id : NWRW1800000056.5.4.1
지난해 11월 말 조류인플루엔자(AI) 발생으로 치솟은 달걀 값과 하락세였던 닭고기 값이 자리바꿈을 하는 모양새다.

지난해	지난해/NNG
11월	11/SN+월/NNB
말	말/NNB
조류인플루엔자(AI)	조류/NNG+인플루엔자/NNG+(/SS+AI/SL+)/SS
발생으로	발생/NNG+으로/JKB
치솟은	치솟/VV+은/ETM
달걀	달걀/NNG
값과	값/NNG+과/JC
하락세였던	하락세/NNG+이/VCP+었/EP+던/ETM
닭고기	닭고기/NNG
값이	값/NNG+이/JKS
자리바꿈을	자리바꿈/NNG+을/JKO
하는	하/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.5.5.1
19일 축산물품질평가원이 운영하는 축산유통종합정보센터 자료를 보면, 지난해 12월22일 ㎏당 888원까지 떨어진 다음 오름세와 내림세를 거듭하던 육계(생계) 산지 가격이 설 직후부터 뛰기 시작해 2월14일에는 2200원을 찍었다.

19일	19/SN+일/NNB
축산물품질평가원이	축산물/NNG+품질/NNG+평가원/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
축산유통종합정보센터	축산/NNG+유통/NNG+종합/NNG+정보/NNG+센터/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
지난해	지난해/NNG
12월22일	12/SN+월/NNB+22/SN+일/NNB
㎏당	㎏/SW+당/XSN
888원까지	888/SN+원/NNB+까지/JX
떨어진	떨어지/VV+ㄴ/ETM
다음	다음/NNG
오름세와	오름세/NNG+와/JC
내림세를	내림세/NNG+를/JKO
거듭하던	거듭/MAG+하/XSV+던/ETM
육계(생계)	육계/NNG+(/SS+생계/NNG+)/SS
산지	산지/NNG
가격이	가격/NNG+이/JKS
설	설/NNG
직후부터	직후/NNG+부터/JX
뛰기	뛰/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
2월14일에는	2/SN+월/NNB+14/SN+일/NNB+에/JKB+는/JX
2200원을	2200/SN+원/NNB+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.5.5.2
50여일 만에 150% 가까이 오른 것이다.

50여일	50/SN+여/XSN+일/NNB
만에	만/NNB+에/JKB
150%	150/SN+%/SW
가까이	가까이/MAG
오른	오르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.5.5.3
2월16일에는 2000원으로 다소 진정됐지만 전년 동기(1031원)에 견주면 여전히 갑절 가까운 가격 강세를 보였다.

2월16일에는	2/SN+월/NNB+16/SN+일/NNB+에/JKB+는/JX
2000원으로	2000/SN+원/NNB+으로/JKB
다소	다소/MAG
진정됐지만	진정/NNG+되/XSV+었/EP+지만/EC
전년	전년/NNG
동기(1031원)에	동기/NNG+(/SS+1031/SN+원/NNB+)/SS+에/JKB
견주면	견주/VV+면/EC
여전히	여전히/MAG
갑절	갑절/NNG
가까운	가깝/VA+ㄴ/ETM
가격	가격/NNG
강세를	강세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.5.5.4
조류인플루엔자 발생 직전인 11월15일 시세 1500원과 비교해도 33%가량 상승했다.

조류인플루엔자	조류/NNG+인플루엔자/NNG
발생	발생/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
11월15일	11/SN+월/NNB+15/SN+일/NNB
시세	시세/NNG
1500원과	1500/SN+원/NNB+과/JKB
비교해도	비교/NNG+하/XSV+아도/EC
33%가량	33/SN+%/SW+가량/XSN
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.5.5.5
조류인플루엔자로 닭과 오리가 3300만마리 넘게 도살되면서 산란계뿐 아니라 육계 공급도 줄어든 데다 지난 두 달간 소비심리 위축으로 30~40% 가까이 떨어졌던 닭고기 수요가 회복되면서 수요-공급 불균형이 심화한 탓이다.

조류인플루엔자로	조류/NNG+인플루엔자/NNG+로/JKB
닭과	닭/NNG+과/JC
오리가	오리/NNG+가/JKS
3300만마리	3300/SN+만/NR+마리/NNB
넘게	넘/VV+게/EC
도살되면서	도살/NNG+되/XSV+면서/EC
산란계뿐	산란계/NNG+뿐/JX
아니라	아니/VCN+라/EC
육계	육계/NNG
공급도	공급/NNG+도/JX
줄어든	줄어들/VV+ㄴ/ETM
데다	데/NNB+다/JX
지난	지나/VV+ㄴ/ETM
두	두/MMN
달간	달/NNB+간/XSN
소비심리	소비/NNG+심리/NNG
위축으로	위축/NNG+으로/JKB
30~40%	30/SN+~/SO+40/SN+%/SW
가까이	가까이/MAG
떨어졌던	떨어지/VV+었/EP+던/ETM
닭고기	닭고기/NNG
수요가	수요/NNG+가/JKS
회복되면서	회복/NNG+되/XSV+면서/EC
수요-공급	수요/NNG+-/SO+공급/NNG
불균형이	불/XPN+균형/NNG+이/JKS
심화한	심화/NNG+하/XSV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.5.5.6
최근 육계 도매가가 뛰면서 대형마트 3사는 지난 9일 주요 닭고기 제품을 5~8% 일제히 인상한 바 있다.

최근	최근/MAG
육계	육계/NNG
도매가가	도매/NNG+가/XSN+가/JKS
뛰면서	뛰/VV+면서/EC
대형마트	대형/NNG+마트/NNG
3사는	3사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
주요	주요/NNG
닭고기	닭고기/NNG
제품을	제품/NNG+을/JKO
5~8%	5/SN+~/SO+8/SN+%/SW
일제히	일제히/MAG
인상한	인상/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.5.5.7
한 대형마트 관계자는 “대규모 살처분과 아직 상당 지역에서 풀리지 않은 이동제한조치로 병아리 입식이 지연되면서 닭고기 값이 오르고 있다”며 “만약 소강 상태인 구제역이 확산되면 대체 식품인 닭고기 가격이 폭등할 가능성도 배제할 수 없다”고 전망했다.

한	한/MMN
대형마트	대형/NNG+마트/NNG
관계자는	관계자/NNG+는/JX
“대규모	“/SS+대/XPN+규모/NNG
살처분과	살처분/NNG+과/JC
아직	아직/MAG
상당	상당/NNG
지역에서	지역/NNG+에서/JKB
풀리지	풀리/VV+지/EC
않은	않/VX+은/ETM
이동제한조치로	이동/NNG+제한/NNG+조치/NNG+로/JKB
병아리	병아리/NNG
입식이	입식/NNG+이/JKS
지연되면서	지연/NNG+되/XSV+면서/EC
닭고기	닭고기/NNG
값이	값/NNG+이/JKS
오르고	오르/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“만약	“/SS+만약/MAG
소강	소강/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
구제역이	구제역/NNG+이/JKS
확산되면	확산/NNG+되/XSV+면/EC
대체	대체/MAG
식품인	식품/NNG+이/VCP+ㄴ/ETM
가격이	가격/NNG+이/JKS
폭등할	폭등/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.5.6.1
반면 조류인플루엔자 발생 직후부터 가파르게 오른 달걀 값은 설 연휴를 기점으로 계속 떨어지고 있다.

반면	반면/NNG
조류인플루엔자	조류/NNG+인플루엔자/NNG
발생	발생/NNG
직후부터	직후/NNG+부터/JX
가파르게	가파르/VA+게/EC
오른	오르/VV+ㄴ/ETM
달걀	달걀/NNG
값은	값/NNG+은/JX
설	설/NNG
연휴를	연휴/NNG+를/JKO
기점으로	기점/NNG+으로/JKB
계속	계속/MAG
떨어지고	떨어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.5.6.2
한국농수산식품유통공사(aT) 가격 동향을 보면, 지난달 12일 한 판(특란)에 9543원까지 올랐던 가격이 17일 7667원으로 떨어졌다.

한국농수산식품유통공사(aT)	한국농수산식품유통공사/NNP+(/SS+aT/SL+)/SS
가격	가격/NNG
동향을	동향/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
지난달	지난달/NNG
12일	12/SN+일/NNB
한	한/MMN
판(특란)에	판/NNG+(/SS+특란/NNG+)/SS+에/JKB
9543원까지	9543/SN+원/NNB+까지/JX
올랐던	오르/VV+았/EP+던/ETM
가격이	가격/NNG+이/JKS
17일	17/SN+일/NNB
7667원으로	7667/SN+원/NNB+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


