# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.388
metadata : {}


# id : NWRW1800000021.388.1.1
짓다만 꿈의 인공섬엔 건설자재만 나뒹굴어…

짓다만	짓/VV+다/EC+말/VV+ㄴ/ETM
꿈의	꿈/NNG+의/JKG
인공섬엔	인공/NNG+섬/NNG+에/JKB+ㄴ/JX
건설자재만	건설/NNG+자재/NNG+만/JX
나뒹굴어…	나뒹굴/VV+어/EC+…/SE


# id : NWRW1800000021.388.2.1
28일 오전 11시.

28일	28/SN+일/NNB
오전	오전/NNG
11시.	11/SN+시/NNB+./SF


# id : NWRW1800000021.388.2.2
걸프 만을 매립해 만든 인공 섬 팜주메이라의 외곽 해변에는 나힐사(社)가 호텔로 개발하려던 용지가 황량한 모습을 드러낸 채 방치되어 있었다.

걸프	걸프/NNP
만을	만/NNG+을/JKO
매립해	매립/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
인공	인공/NNG
섬	섬/NNG
팜주메이라의	팜주메이라/NNP+의/JKG
외곽	외곽/NNG
해변에는	해변/NNG+에/JKB+는/JX
나힐사(社)가	나힐사/NNP+(/SS+社/SH+)/SS+가/JKS
호텔로	호텔/NNG+로/JKB
개발하려던	개발/NNG+하/XSV+려던/ETM
용지가	용지/NNG+가/JKS
황량한	황량하/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
채	채/NNB
방치되어	방치/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.388.2.3
안에는 모래언덕과 함께 건설 자재가 여기저기 뒹굴었다.

안에는	안/NNG+에/JKB+는/JX
모래언덕과	모래/NNG+언덕/NNG+과/JKB
함께	함께/MAG
건설	건설/NNG
자재가	자재/NNG+가/JKS
여기저기	여기저기/NNG
뒹굴었다.	뒹굴/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.2.4
“언제 공사가 시작되느냐”고 묻자 공터를 지키던 이 회사 직원은 “나도 모른다”며 손을 내저었다.

“언제	“/SS+언제/MAG
공사가	공사/NNG+가/JKS
시작되느냐”고	시작/NNG+되/XSV+느냐/EF+”/SS+고/JKQ
묻자	묻/VV+자/EC
공터를	공터/NNG+를/JKO
지키던	지키/VV+던/ETM
이	이/MMD
회사	회사/NNG
직원은	직원/NNG+은/JX
“나도	“/SS+나/NP+도/JX
모른다”며	모르/VV+ㄴ다/EF+”/SS+며/EC
손을	손/NNG+을/JKO
내저었다.	내젓/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.3.1
옆에서 짓고 있는 ‘시바의 왕국’ 리조트도 원래 올해 개장 예정이었지만 아직 제대로 외관조차 갖추지 못한 상태였다.

옆에서	옆/NNG+에서/JKB
짓고	짓/VV+고/EC
있는	있/VX+는/ETM
‘시바의	‘/SS+시바/NNP+의/JKG
왕국’	왕국/NNG+’/SS
리조트도	리조트/NNG+도/JX
원래	원래/MAG
올해	올해/NNG
개장	개장/NNG
예정이었지만	예정/NNG+이/VCP+었/EP+지만/EC
아직	아직/MAG
제대로	제대로/MAG
외관조차	외관/NNG+조차/JX
갖추지	갖추/VV+지/EC
못한	못하/VX+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.388.3.2
‘건축 사상 8번째 불가사의’로 불리며 전 세계의 이목을 집중시켰던 세계 최대의 인공 섬 팜주메이라(면적 560만 m²).

‘건축	‘/SS+건축/NNG
사상	사상/NNG
8번째	8/SN+번/NNB+째/XSN
불가사의’로	불가사의/NNG+’/SS+로/JKB
불리며	불리/VV+며/EC
전	전/MMN
세계의	세계/NNG+의/JKG
이목을	이목/NNG+을/JKO
집중시켰던	집중/NNG+시키/XSV+었/EP+던/ETM
세계	세계/NNG
최대의	최대/NNG+의/JKG
인공	인공/NNG
섬	섬/NNG
팜주메이라(면적	팜주메이라/NNP+(/SS+면적/NNG
560만	560/SN+만/NR
m²).	m²/SW+)/SS+./SF


# id : NWRW1800000021.388.3.3
당초 30여 개의 호텔을 세우려고 했지만 현재 운영되는 호텔은 아틀란티스 호텔 하나뿐이다.

당초	당초/NNG
30여	30/SN+여/XSN
개의	개/NNB+의/JKG
호텔을	호텔/NNG+을/JKO
세우려고	세우/VV+려고/EC
했지만	하/VX+았/EP+지만/EC
현재	현재/MAG
운영되는	운영/NNG+되/XSV+는/ETM
호텔은	호텔/NNG+은/JX
아틀란티스	아틀란티스/NNP
호텔	호텔/NNG
하나뿐이다.	하나/NR+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.4.1
그나마 가장 규모가 작은 팜주메이라는 완공돼 사정이 나은 편이었다.

그나마	그나마/MAG
가장	가장/MAG
규모가	규모/NNG+가/JKS
작은	작/VA+은/ETM
팜주메이라는	팜주메이라/NNP+는/JX
완공돼	완공/NNG+되/XSV+어/EC
사정이	사정/NNG+이/JKS
나은	낫/VA+은/ETM
편이었다.	편/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.388.4.2
다른 인공 섬 팜제벨알리(1200만 m²)는 매립만 한 채 공사대금을 제대로 주지 못해 인프라 공사가 중단됐으며 가장 규모가 큰 팜데이라(4635만 m²)는 아직 매립조차 못했다.

다른	다른/MMD
인공	인공/NNG
섬	섬/NNG
팜제벨알리(1200만	팜제벨알리/NNP+(/SS+1200/SN+만/NR
m²)는	m²/SW+)/SS+는/JX
매립만	매립/NNG+만/JX
한	하/VV+ㄴ/ETM
채	채/NNB
공사대금을	공사/NNG+대금/NNG+을/JKO
제대로	제대로/MAG
주지	주/VV+지/EC
못해	못하/VX+아/EC
인프라	인프라/NNG
공사가	공사/NNG+가/JKS
중단됐으며	중단/NNG+되/XSV+었/EP+으며/EC
가장	가장/MAG
규모가	규모/NNG+가/JKS
큰	크/VA+ㄴ/ETM
팜데이라(4635만	팜데이라/NNP+(/SS+4635/SN+만/NR
아직	아직/MAG
매립조차	매립/NNG+조차/JX
못했다.	못/MAG+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.5.1
인공 섬 프로젝트를 추진하던 나힐은 두바이 최대 국영기업인 두바이월드의 자회사.

인공	인공/NNG
섬	섬/NNG
프로젝트를	프로젝트/NNG+를/JKO
추진하던	추진/NNG+하/XSV+던/ETM
나힐은	나힐/NNP+은/JX
두바이	두바이/NNP
최대	최대/NNG
국영기업인	국영/NNG+기업/NNG+이/VCP+ㄴ/ETM
두바이월드의	두바이월드/NNP+의/JKG
자회사.	자회사/NNG+./SF


# id : NWRW1800000021.388.5.2
나힐이 다음 달 14일 만기인 35억 달러의 채권을 갚지 못할 위기에 처하자 두바이 재무부는 지난주 채권단에 6개월의 채무상환 유예를 신청했다.

나힐이	나힐/NNP+이/JKS
다음	다음/NNG
달	달/NNG
14일	14/SN+일/NNB
만기인	만기/NNG+이/VCP+ㄴ/ETM
35억	35/SN+억/NR
달러의	달러/NNB+의/JKG
채권을	채권/NNG+을/JKO
갚지	갚/VV+지/EC
못할	못하/VX+ㄹ/ETM
위기에	위기/NNG+에/JKB
처하자	처하/VV+자/EC
두바이	두바이/NNP
재무부는	재무부/NNG+는/JX
지난주	지난주/NNG
채권단에	채권단/NNG+에/JKB
6개월의	6/SN+개월/NNB+의/JKG
채무상환	채무/NNG+상환/NNG
유예를	유예/NNG+를/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.5.3
채권단은 아부다비 상업은행 등 아랍에미리트 금융회사들이 주축이며 유럽계도 포함돼 있다.

채권단은	채권단/NNG+은/JX
아부다비	아부다비/NNP
상업은행	상업/NNG+은행/NNG
등	등/NNB
아랍에미리트	아랍에미리트/NNP
금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
주축이며	주축/NNG+이/VCP+며/EC
유럽계도	유럽/NNP+계/XSN+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.388.6.1
▶B2면에 관련기사

▶B2면에	▶/SW+B/SL+2/SN+면/NNG+에/JKB
관련기사	관련/NNG+기사/NNG


# id : NWRW1800000021.388.7.1
‘사막 위의 기적’으로 불리며 세계를 놀라게 했던 두바이의 신화가 뿌리째 흔들리고 있음을 기자는 현지 여러 곳에서 목격할 수 있었다.

‘사막	‘/SS+사막/NNG
위의	위/NNG+의/JKG
기적’으로	기적/NNG+’/SS+으로/JKB
불리며	불리/VV+며/EC
세계를	세계/NNG+를/JKO
놀라게	놀라/VV+게/EC
했던	하/VX+았/EP+던/ETM
두바이의	두바이/NNP+의/JKG
신화가	신화/NNG+가/JKS
뿌리째	뿌리/NNG+째/XSN
흔들리고	흔들리/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
기자는	기자/NNG+는/JX
현지	현지/NNG
여러	여러/MMN
곳에서	곳/NNG+에서/JKB
목격할	목격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.388.8.1
‘두바이 쇼크’에 민감하게 반응했던 국제금융시장은 서서히 숨고르기를 하고 있는 모습이지만 여진은 상당 기간 지속될 것이라는 게 일반적인 분석이다.

‘두바이	‘/SS+두바이/NNP
쇼크’에	쇼크/NNG+’/SS+에/JKB
민감하게	민감/NNG+하/XSA+게/EC
반응했던	반응/NNG+하/XSV+았/EP+던/ETM
국제금융시장은	국제/NNG+금융/NNG+시장/NNG+은/JX
서서히	서서히/MAG
숨고르기를	숨/NNG+고르/VV+기/ETN+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
모습이지만	모습/NNG+이/VCP+지만/EC
여진은	여진/NNG+은/JX
상당	상당/NNG
기간	기간/NNG
지속될	지속/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.9.1
이곳 현지 전문가들은 원유생산량이 미미한 두바이가 그동안 ‘세계 최고’라는 타이틀에 몰두하며 지나치게 부동산 사업을 확장한 것이 이번 사태를 불러왔다고 입을 모은다.

이곳	이곳/NP
현지	현지/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
원유생산량이	원유/NNG+생산량/NNG+이/JKS
미미한	미미하/VA+ㄴ/ETM
두바이가	두바이/NNP+가/JKS
그동안	그동안/NNG
‘세계	‘/SS+세계/NNG
최고’라는	최고/NNG+’/SS+이/VCP+라는/ETM
타이틀에	타이틀/NNG+에/JKB
몰두하며	몰두/NNG+하/XSV+며/EC
지나치게	지나치/VA+게/EC
부동산	부동산/NNG
사업을	사업/NNG+을/JKO
확장한	확장/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
이번	이번/NNG
사태를	사태/NNG+를/JKO
불러왔다고	불러오/VV+았/EP+다고/EC
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.388.10.1
대표적인 예가 두바이 최대의 항만 제벨알리를 둘러싼 대형 프로젝트다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예가	예/NNG+가/JKS
두바이	두바이/NNP
최대의	최대/NNG+의/JKG
항만	항만/NNG
제벨알리를	제벨알리/NNP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
대형	대형/NNG
프로젝트다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.10.2
두바이월드의 자회사 나힐은 두바이 서남쪽 제벨알리 항구 인근에 인공 섬 팜제벨알리와 수변공간(워터프런트)을 건설해 2020년까지 현재 두바이 인구보다도 많은 170만 명이 거주하도록 하겠다는 야심 찬 계획을 발표했다.

두바이월드의	두바이월드/NNP+의/JKG
자회사	자회사/NNG
나힐은	나힐/NNP+은/JX
두바이	두바이/NNP
서남쪽	서남쪽/NNG
제벨알리	제벨알리/NNP
항구	항구/NNG
인근에	인근/NNG+에/JKB
인공	인공/NNG
섬	섬/NNG
팜제벨알리와	팜제벨알리/NNP+와/JC
수변공간(워터프런트)을	수변/NNG+공간/NNG+(/SS+워터/NNG+프런트/NNG+)/SS+을/JKO
건설해	건설/NNG+하/XSV+아/EC
2020년까지	2020/SN+년/NNB+까지/JX
현재	현재/MAG
인구보다도	인구/NNG+보다/JKB+도/JX
많은	많/VA+은/ETM
170만	170/SN+만/NR
명이	명/NNB+이/JKS
거주하도록	거주/NNG+하/XSV+도록/EC
하겠다는	하/VX+겠/EP+다는/ETM
야심	야심/NNG
찬	차/VV+ㄴ/ETM
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.11.1
누가 봐도 쉽지 않은 계획이었지만 당시 ‘두바이 효과’에 매료된 세계인들은 찬사를 보냈고 나힐은 실제 매립을 진행했다.

누가	누구/NP+가/JKS
봐도	보/VV+아도/EC
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
계획이었지만	계획/NNG+이/VCP+었/EP+지만/EC
당시	당시/NNG
‘두바이	‘/SS+두바이/NNP
효과’에	효과/NNG+’/SS+에/JKB
매료된	매료/NNG+되/XSV+ㄴ/ETM
세계인들은	세계인/NNG+들/XSN+은/JX
찬사를	찬사/NNG+를/JKO
보냈고	보내/VV+었/EP+고/EC
나힐은	나힐/NNP+은/JX
실제	실제/MAG
매립을	매립/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.11.2
두바이월드의 또 다른 자회사인 리미트리스는 ‘다운타운 제벨알리’ 프로젝트를 통해 300여 개의 빌딩을 짓겠다는 계획도 밝혔다.

두바이월드의	두바이월드/NNP+의/JKG
또	또/MAG
다른	다른/MMD
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
리미트리스는	리미트리스/NNP+는/JX
‘다운타운	‘/SS+다운타운/NNG
제벨알리’	제벨알리/NNP+’/SS
프로젝트를	프로젝트/NNG+를/JKO
통해	통하/VV+아/EC
300여	300/SN+여/XSN
개의	개/NNB+의/JKG
빌딩을	빌딩/NNG+을/JKO
짓겠다는	짓/VV+겠/EP+다는/ETM
계획도	계획/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.12.1
하지만 기자가 제벨알리 지역을 찾았을 때 눈에 들어온 것은 황량한 사막뿐이었다.

하지만	하지만/MAJ
기자가	기자/NNG+가/JKS
제벨알리	제벨알리/NNP
지역을	지역/NNG+을/JKO
찾았을	찾/VV+았/EP+을/ETM
때	때/NNG
눈에	눈/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
것은	것/NNB+은/JX
황량한	황량하/VA+ㄴ/ETM
사막뿐이었다.	사막/NNG+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.388.12.2
두바이 시내로 돌아오는 길에 ‘다음은 무엇(What next?)’이라고 쓰인 나힐의 선전용 깃발만이 나부끼고 있었다.

두바이	두바이/NNP
시내로	시내/NNG+로/JKB
돌아오는	돌아오/VV+는/ETM
길에	길/NNG+에/JKB
‘다음은	‘/SS+다음/NNG+은/JX
무엇(What	무엇/NP+(/SS+What/SL
next?)’이라고	next/SL+?/SF+)/SS+’/SS+이라고/JKQ
쓰인	쓰이/VV+ㄴ/ETM
나힐의	나힐/NNP+의/JKG
선전용	선전/NNG+용/XSN
깃발만이	깃발/NNG+만/JX+이/JKS
나부끼고	나부끼/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.388.13.1
걸프리서치센터의 에커르트 워츠 연구원은 인터뷰에서 “두바이는 구조조정을 거친 후 앞으로도 중요한 무역 허브 역할을 하겠지만 과거로 돌아갈 수는 없고 그래서도 안 된다”며 “정부의 채무상환유예 요청은 지나친 야망의 끝을 알려주는 것”이라고 지적했다.

걸프리서치센터의	걸프리서치센터/NNP+의/JKG
에커르트	에커르트/NNP
워츠	워츠/NNP
연구원은	연구원/NNG+은/JX
인터뷰에서	인터뷰/NNG+에서/JKB
“두바이는	“/SS+두바이/NNP+는/JX
구조조정을	구조/NNG+조정/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
후	후/NNG
앞으로도	앞/NNG+으로/JKB+도/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
무역	무역/NNG
허브	허브/NNG
역할을	역할/NNG+을/JKO
하겠지만	하/VV+겠/EP+지만/EC
과거로	과거/NNG+로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
수는	수/NNB+는/JX
없고	없/VA+고/EC
그래서도	그렇/VA+어서/EC+도/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“정부의	“/SS+정부/NNG+의/JKG
채무상환유예	채무/NNG+상환/NNG+유예/NNG
요청은	요청/NNG+은/JX
지나친	지나치/VA+ㄴ/ETM
야망의	야망/NNG+의/JKG
끝을	끝/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.14.1
A3면으로 이어집니다 →

A3면으로	A/SL+3/SN+면/NNG+으로/JKB
이어집니다	이어지/VV+ㅂ니다/EF
→	→/SW


# id : NWRW1800000021.388.15.1
기자가 두바이를 찾은 28일과 29일 시내는 예상외로 조용했다.

기자가	기자/NNG+가/JKS
두바이를	두바이/NNP+를/JKO
찾은	찾/VV+은/ETM
28일과	28/SN+일/NNB+과/JC
29일	29/SN+일/NNB
시내는	시내/NNG+는/JX
예상외로	예상외/NNG+로/JKB
조용했다.	조용하/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.388.15.2
두바이 최대 국영기업인 두바이월드의 채무상환 유예 선언으로 국제금융시장이 한때 패닉 상태까지 갔던 것을 떠올리면 의외로 차분한 모습이었다.

두바이	두바이/NNP
최대	최대/NNG
국영기업인	국영/NNG+기업/NNG+이/VCP+ㄴ/ETM
두바이월드의	두바이월드/NNP+의/JKG
채무상환	채무/NNG+상환/NNG
유예	유예/NNG
선언으로	선언/NNG+으로/JKB
국제금융시장이	국제/NNG+금융/NNG+시장/NNG+이/JKS
한때	한때/MAG
패닉	패닉/NNG
상태까지	상태/NNG+까지/JX
갔던	가/VV+았/EP+던/ETM
것을	것/NNB+을/JKO
떠올리면	떠올리/VV+면/EC
의외로	의외로/MAG
차분한	차분하/VA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.388.15.3
이슬람 축제인 ‘이드 알 아드하(희생제)’와 국경일을 맞아 대부분의 관공서와 공기업은 다음 달 5일까지 문을 닫는다.

이슬람	이슬람/NNG
