# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.84
metadata : {}


# id : NWRW1800000037.84.1.1
[Story]서울역서 1시간만 달리면 서해바다가 눈앞에

[Story]서울역서	[/SS+Story/SL+]/SS+서울역/NNP+서/JKB
1시간만	1/SN+시간/NNB+만/JX
달리면	달리/VV+면/EC
서해바다가	서해/NNP+바다/NNG+가/JKS
눈앞에	눈앞/NNG+에/JKB


# id : NWRW1800000037.84.2.1
코레일공항철도 ‘주말 서해 바다열차’ 토·일요일 용유임시역까지 운행

코레일공항철도	코레일공항철도/NNP
‘주말	‘/SS+주말/NNG
서해	서해/NNP
바다열차’	바다/NNG+열차/NNG+’/SS
토·일요일	토/NNG+·/SP+일요일/NNG
용유임시역까지	용유/NNP+임시/NNG+역/NNG+까지/JX
운행	운행/NNG


# id : NWRW1800000037.84.3.1
코레일공항철도가 하절기를 맞아 주말마다 운행하는 ‘주말 서해 바다열차’가 큰 인기를 끌고 있다.

코레일공항철도가	코레일공항철도/NNP+가/JKS
하절기를	하절기/NNG+를/JKO
맞아	맞/VV+아/EC
주말마다	주말/NNG+마다/JX
운행하는	운행/NNG+하/XSV+는/ETM
‘주말	‘/SS+주말/NNG
서해	서해/NNP
바다열차’가	바다/NNG+열차/NNG+’/SS+가/JKS
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.84.3.2
이 열차는 인천공항역이 종착지인 공항철도 열차가 바닷가 인근 용유임시역까지 연장 운행하는 형식으로 운영된다.

이	이/MMD
열차는	열차/NNG+는/JX
인천공항역이	인천공항역/NNP+이/JKS
종착지인	종착지/NNG+이/VCP+ㄴ/ETM
공항철도	공항철도/NNP
열차가	열차/NNG+가/JKS
바닷가	바닷가/NNG
인근	인근/NNG
용유임시역까지	용유/NNP+임시/NNG+역/NNG+까지/JX
연장	연장/NNG
운행하는	운행/NNG+하/XSV+는/ETM
형식으로	형식/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.84.3.3
서울역에서 서해 바다까지 불과 1시간 만에 갈 수 있다는 것이 가장 큰 매력이다.

서울역에서	서울역/NNP+에서/JKB
서해	서해/NNP
바다까지	바다/NNG+까지/JX
불과	불과/MAG
1시간	1/SN+시간/NNB
만에	만/NNB+에/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
매력이다.	매력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.84.4.1
서해 바다열차는 매주 토요일과 일요일에 이용할 수 있다.

서해	서해/NNP
바다열차는	바다/NNG+열차/NNG+는/JX
매주	매주/MAG
토요일과	토요일/NNG+과/JC
일요일에	일요일/NNG+에/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.84.4.2
운행 횟수는 용유임시역과 서울역 방향으로 각각 하루 11차례이다.

운행	운행/NNG
횟수는	횟수/NNG+는/JX
용유임시역과	용유/NNP+임시/NNG+역/NNG+과/JC
서울역	서울역/NNP
방향으로	방향/NNG+으로/JKB
각각	각각/MAG
하루	하루/NNG
11차례이다.	11/SN+차례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.84.4.3
서울역에서 용유임시역으로 가는 열차는 주말 오전 7시 39분부터 오후 5시 39분까지 1시간 간격으로 매시 39분에 운행한다.

서울역에서	서울역/NNP+에서/JKB
용유임시역으로	용유/NNP+임시/NNG+역/NNG+으로/JKB
가는	가/VV+는/ETM
열차는	열차/NNG+는/JX
주말	주말/NNG
오전	오전/NNG
7시	7/SN+시/NNB
39분부터	39/SN+분/NNB+부터/JX
오후	오후/NNG
5시	5/SN+시/NNB
39분까지	39/SN+분/NNB+까지/JX
1시간	1/SN+시간/NNB
간격으로	간격/NNG+으로/JKB
매시	매시/MAG
39분에	39/SN+분/NNB+에/JKB
운행한다.	운행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.84.4.4
용유임시역에서 서울역으로 가는 열차는 오전 9시 27분부터 오후 7시 27분까지 1시간 간격으로 매시 27분에 출발한다.

용유임시역에서	용유/NNP+임시/NNG+역/NNG+에서/JKB
서울역으로	서울역/NNP+으로/JKB
가는	가/VV+는/ETM
열차는	열차/NNG+는/JX
오전	오전/NNG
9시	9/SN+시/NNB
27분부터	27/SN+분/NNB+부터/JX
오후	오후/NNG
7시	7/SN+시/NNB
27분까지	27/SN+분/NNB+까지/JX
1시간	1/SN+시간/NNB
간격으로	간격/NNG+으로/JKB
매시	매시/MAG
27분에	27/SN+분/NNB+에/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.84.5.1
바다열차를 이용하면 영화로 유명한 실미도와 낙조 명소이자 서해 최대 갯벌인 마시안 해변, 해수욕장으로 인기가 많은 을왕리, 왕산 해변 등으로 쉽게 갈 수 있다.

바다열차를	바다/NNG+열차/NNG+를/JKO
이용하면	이용/NNG+하/XSV+면/EC
영화로	영화/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
실미도와	실미도/NNP+와/JC
낙조	낙조/NNG
명소이자	명소/NNG+이/VCP+자/EC
서해	서해/NNP
최대	최대/NNG
갯벌인	갯벌/NNG+이/VCP+ㄴ/ETM
마시안	마시안/NNP
해변,	해변/NNG+,/SP
해수욕장으로	해수욕장/NNG+으로/JKB
인기가	인기/NNG+가/JKS
많은	많/VA+은/ETM
을왕리,	을왕리/NNP+,/SP
왕산	왕산/NNP
해변	해변/NNG
등으로	등/NNB+으로/JKB
쉽게	쉽/VA+게/EC
갈	가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.84.6.1
용유임시역에서 10분 정도만 걸으면 잠진도 나루터에 닿는다.

용유임시역에서	용유/NNP+임시/NNG+역/NNG+에서/JKB
10분	10/SN+분/NNB
정도만	정도/NNG+만/JX
걸으면	걷/VV+으면/EC
잠진도	잠진도/NNP
나루터에	나루터/NNG+에/JKB
닿는다.	닿/VV+는다/EF+./SF


# id : NWRW1800000037.84.6.2
잠진도에서는 하나개 해변과 섬 산행으로 유명한 무의도행 배를 탈 수 있다.

잠진도에서는	잠진도/NNP+에서/JKB+는/JX
하나개	하나개/NNP
해변과	해변/NNG+과/JC
섬	섬/NNG
산행으로	산행/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
무의도행	무의도행/NNG
배를	배/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.84.6.3
무의도와 육지로 연결된 소무의도에서는 섬을 한 바퀴 둘러보는 2.48km 길이의 무의바다누리길 트레킹 코스를 걸어 볼 만하다.

무의도와	무의도/NNP+와/JKB
육지로	육지/NNG+로/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
소무의도에서는	소무의도/NNP+에서/JKB+는/JX
섬을	섬/NNG+을/JKO
한	한/MMN
바퀴	바퀴/NNB
둘러보는	둘러보/VV+는/ETM
2.48km	2/SN+./SP+48/SN+km/SW
길이의	길이/NNG+의/JKG
무의바다누리길	무의바다누리길/NNP
트레킹	트레킹/NNG
코스를	코스/NNG+를/JKO
걸어	걷/VV+어/EC
볼	보/VX+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000037.84.7.1
