# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.312
metadata : {}


# id : NWRW1800000032.312.1.1
챔스서 만난 남북한, 싸울수록 즐거웠다

챔스서	챔스/NNG+서/JKB
만난	만나/VV+ㄴ/ETM
남북한,	남북한/NNP+,/SP
싸울수록	싸우/VV+ㄹ수록/EC
즐거웠다	즐겁/VA+었/EP+다/EF


# id : NWRW1800000032.312.2.1
맨유 대 바젤전…지성-주호·광룡 ‘스리박’ 대결

맨유	맨유/NNP
대	대/NNB
바젤전…지성-주호·광룡	바젤전/NNG+…/SE+지성/NNP+-/SO+주호/NNP+·/SP+광룡/NNP
‘스리박’	‘/SS+스리/NNG+박/NNP+’/SS
대결	대결/NNG


# id : NWRW1800000032.312.3.1
지성 ‘북 차세대 공격수’ 광룡 막아…3-3 무승부

지성	지성/NNP
‘북	‘/SS+북/NNP
차세대	차세대/NNG
공격수’	공격수/NNG+’/SS
광룡	광룡/NNP
막아…3-3	막/VV+아/EC+…/SE+3/SN+-/SO+3/SN
무승부	무/XPN+승부/NNG


# id : NWRW1800000032.312.4.1
후반 36분 구릿빛 피부에 더벅머리를 한 청년이 올드트래퍼드 잔디를 밟았다.

후반	후반/NNG
36분	36/SN+분/NNB
구릿빛	구릿빛/NNG
피부에	피부/NNG+에/JKB
더벅머리를	더벅머리/NNG+를/JKO
한	하/VV+ㄴ/ETM
청년이	청년/NNG+이/JKS
올드트래퍼드	올드트래퍼드/NNP
잔디를	잔디/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.4.2
교체돼 나오는 선수와 손뼉을 마주치며 환하게 웃어 보일 땐 흰 이빨이 반짝 빛났다.

교체돼	교체/NNG+되/XSV+어/EC
나오는	나오/VV+는/ETM
선수와	선수/NNG+와/JKB
손뼉을	손뼉/NNG+을/JKO
마주치며	마주치/VV+며/EC
환하게	환하/VA+게/EC
웃어	웃/VV+어/EC
보일	보이/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
흰	희/VA+ㄴ/ETM
이빨이	이빨/NNG+이/JKS
반짝	반짝/MAG
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.4.3
‘꿈의 무대’로 불리는 유럽축구연맹(UEFA) 챔피언스리그에서 남북한 선수가 처음으로 한 그라운드에 서는 순간이었다.

‘꿈의	‘/SS+꿈/NNG+의/JKG
무대’로	무대/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그에서	챔피언스리그/NNG+에서/JKB
남북한	남북한/NNP
선수가	선수/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
한	한/MMN
그라운드에	그라운드/NNG+에/JKB
서는	서/VV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.312.5.1
■ ‘남북 3박’의 역사적 만남 28일(한국시각) 영국 맨체스터 유나이티드 홈구장에서 열린 맨유와 FC바젤의 2011~2012 챔피언스리그 C조 조별리그 2차전.

■	■/SW
‘남북	‘/SS+남북/NNP
3박’의	3/SN+박/NNP+’/SS+의/JKG
역사적	역사/NNG+적/XSN
만남	만남/NNG
28일(한국시각)	28/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
영국	영국/NNP
맨체스터	맨체스터/NNP
유나이티드	유나이티드/NNP
홈구장에서	홈구장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
맨유와	맨유/NNP+와/JC
FC바젤의	FC바젤/NNP+의/JKG
2011~2012	2011/SN+~/SO+2012/SN
챔피언스리그	챔피언스리그/NNG
