# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.80
metadata : {}


# id : NWRW1800000033.80.1.1
[2012지구촌 새권력]“재검표도 대비하자”

[2012지구촌	[/SS+2012/SN+지구촌/NNG
새권력]“재검표도	새/MMA+권력/NNG+]/SS+“/SS+재/XPN+검표/NNG+도/JX
대비하자”	대비/NNG+하/XSV+자/EF+”/SS


# id : NWRW1800000033.80.2.1
경합주 투개표 작업 감시… 양측 대규모 변호인단 보내

경합주	경합/NNG+주/NNG
투개표	투개표/NNG
작업	작업/NNG
감시…	감시/NNG+…/SE
양측	양측/NNG
대규모	대/XPN+규모/NNG
변호인단	변호인단/NNG
보내	보내/VV+어/EF


# id : NWRW1800000033.80.3.1
미국 대선이 초접전 양상을 보이면서 버락 오바마 미국 대통령과 밋 롬니 공화당 대통령 후보 진영이 재검표 공방이 벌어졌던 2000년 ‘플로리다 사태’ 재연에 대비하기 위한 법률 검토작업에 돌입했다.

미국	미국/NNP
대선이	대선/NNG+이/JKS
초접전	초/XPN+접전/NNG
양상을	양상/NNG+을/JKO
보이면서	보이/VV+면서/EC
버락	버락/NNP
오바마	오바마/NNP
대통령과	대통령/NNG+과/JC
밋	밋/NNP
롬니	롬니/NNP
공화당	공화당/NNP
대통령	대통령/NNG
후보	후보/NNG
진영이	진영/NNG+이/JKS
재검표	재/XPN+검표/NNG
공방이	공방/NNG+이/JKS
벌어졌던	벌어지/VV+었/EP+던/ETM
2000년	2000/SN+년/NNB
‘플로리다	‘/SS+플로리다/NNP
사태’	사태/NNG+’/SS
재연에	재연/NNG+에/JKB
대비하기	대비/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
법률	법률/NNG
검토작업에	검토/NNG+작업/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.80.4.1
28일 유에스에이투데이와 폴리티코 등에 따르면 양 진영은 투개표 작업을 감시하기 위한 대규모 변호인단을 경합 주에 급파했다.

28일	28/SN+일/NNB
유에스에이투데이와	유에스에이투데이/NNP+와/JC
폴리티코	폴리티코/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
양	양/MMN
진영은	진영/NNG+은/JX
투개표	투개표/NNG
작업을	작업/NNG+을/JKO
감시하기	감시/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
변호인단을	변호인단/NNG+을/JKO
경합	경합/NNG
주에	주/NNG+에/JKB
급파했다.	급파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.80.4.2
오바마 진영은 선거인단 29명이 걸려 있는 최대 경합 주인 플로리다에 자원봉사 변호인단 5000명을 투입했다.

오바마	오바마/NNP
진영은	진영/NNG+은/JX
선거인단	선거인단/NNG
29명이	29/SN+명/NNB+이/JKS
걸려	걸리/VV+어/EC
있는	있/VX+는/ETM
최대	최대/NNG
경합	경합/NNG
주인	주/NNG+이/VCP+ㄴ/ETM
플로리다에	플로리다/NNP+에/JKB
자원봉사	자원봉사/NNG
변호인단	변호인단/NNG
5000명을	5000/SN+명/NNB+을/JKO
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.80.5.1
이번 대선에서 전국 득표수에서는 앞서지만 선거인단 합계에서 뒤질 것으로 예상되는 롬니 진영은 오바마 진영보다 먼저 재검표 공방에 대비한 법률 작업에 돌입했다.

이번	이번/NNG
대선에서	대선/NNG+에서/JKB
전국	전국/NNG
득표수에서는	득표수/NNG+에서/JKB+는/JX
앞서지만	앞서/VV+지만/EC
선거인단	선거인단/NNG
합계에서	합계/NNG+에서/JKB
뒤질	뒤지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
롬니	롬니/NNP
진영은	진영/NNG+은/JX
