# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.194
metadata : {}


# id : NWRW1800000032.194.1.1
나라 안팎 음반·공연 ‘메리 크리스마스!’

나라	나라/NNG
안팎	안팎/NNG
음반·공연	음반/NNG+·/SP+공연/NNG
‘메리	‘/SS+메리/NNG
크리스마스!’	크리스마스/NNG+!/SF+’/SS


# id : NWRW1800000032.194.2.1
토니 베닛·저스틴 비버 앨범부터

토니	토니/NNP
베닛·저스틴	베닛/NNP+·/SP+저스틴/NNP
비버	비버/NNP
앨범부터	앨범/NNG+부터/JX


# id : NWRW1800000032.194.3.1
노브레인·나윤선 공연까지 ‘풍성’

노브레인·나윤선	노브레인/NNP+·/SP+나윤선/NNP
공연까지	공연/NNG+까지/JX
‘풍성’	‘/SS+풍성/NNG+’/SS


# id : NWRW1800000032.194.4.1
크리스마스 음반과 공연이 올해도 어김없이 쏟아져 음악 팬들의 심장 박동수를 높이고 있다.

크리스마스	크리스마스/NNG
음반과	음반/NNG+과/JC
공연이	공연/NNG+이/JKS
올해도	올해/NNG+도/JX
어김없이	어김없이/MAG
쏟아져	쏟아지/VV+어/EC
음악	음악/NNG
팬들의	팬/NNG+들/XSN+의/JKG
심장	심장/NNG
박동수를	박동/NNG+수/NNG+를/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.194.5.1
우선 부드럽고 감미로운 재즈 계열의 캐럴 음반들이 눈에 띈다.

우선	우선/MAG
부드럽고	부드럽/VA+고/EC
감미로운	감미/NNG+롭/XSA+ㄴ/ETM
재즈	재즈/NNG
계열의	계열/NNG+의/JKG
캐럴	캐럴/NNG
음반들이	음반/NNG+들/XSN+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.194.5.2
팝과 재즈를 넘나들며 살아있는 전설 반열에 오른 토니 베닛이 60년 동안 발표한 캐럴 중 대표곡을 엄선한 <더 클래식 크리스마스 앨범>이 발매됐다.

팝과	팝/NNG+과/JC
재즈를	재즈/NNG+를/JKO
넘나들며	넘나들/VV+며/EC
살아있는	살/VV+아/EC+있/VX+는/ETM
전설	전설/NNG
반열에	반열/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
토니	토니/NNP
베닛이	베닛/NNP+이/JKS
60년	60/SN+년/NNB
동안	동안/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
캐럴	캐럴/NNG
중	중/NNB
대표곡을	대표곡/NNG+을/JKO
엄선한	엄선/NNG+하/XSV+ㄴ/ETM
<더	</SS+더/MAG
클래식	클래식/NNG
크리스마스	크리스마스/NNG
앨범>이	앨범/NNG+>/SS+이/JKS
발매됐다.	발매/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.194.5.3
요즘 세계적인 인기를 누리고 있는 캐나다 출신의 팝·재즈 보컬리스트 마이클 부블레(위 사진)도 <크리스마스>를 발표했다.

요즘	요즘/NNG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
인기를	인기/NNG+를/JKO
누리고	누리/VV+고/EC
있는	있/VX+는/ETM
캐나다	캐나다/NNP
출신의	출신/NNG+의/JKG
팝·재즈	팝/NNG+·/SP+재즈/NNG
보컬리스트	보컬리스트/NNG
마이클	마이클/NNP
부블레(위	부블레/NNP+(/SS+위/NNG
사진)도	사진/NNG+)/SS+도/JX
<크리스마스>를	</SS+크리스마스/NNG+>/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.5.4
지금까지도 큰 사랑을 받고 있는 미니앨범 <렛 잇 스노>를 지난 2003년 발표한 뒤 정식 크리스마스 앨범을 내기는 이번이 처음이다.

지금까지도	지금/NNG+까지/JX+도/JX
큰	크/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
미니앨범	미니/NNG+앨범/NNG
<렛	</SS+렛/NNP
잇	잇/NNP
스노>를	스노/NNP+>/SS+를/JKO
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
정식	정식/NNG
크리스마스	크리스마스/NNG
앨범을	앨범/NNG+을/JKO
내기는	내/VV+기/ETN+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.194.5.5
스무드 재즈를 대표하는 색소폰 연주자 데이브 코즈는 감미로운 캐럴 음반 <얼티머트 크리스마스>를 내놓았다.

스무드	스무드/NNG
재즈를	재즈/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
색소폰	색소폰/NNG
연주자	연주자/NNG
데이브	데이브/NNP
코즈는	코즈/NNP+는/JX
감미로운	감미/NNG+롭/XSA+ㄴ/ETM
캐럴	캐럴/NNG
음반	음반/NNG
<얼티머트	</SS+얼티머트/NNP
