# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.396
metadata : {}


# id : NWRW1800000052.396.1.1
한·일간 ‘2·3급 군사비밀’ 교환…유효기간 1년에 자동연장

한·일간	한·일/NNP+간/NNB
‘2·3급	‘/SS+2/SN+·/SP+3/SN+급/NNG
군사비밀’	군사/NNG+비밀/NNG+’/SS
교환…유효기간	교환/NNG+…/SE+유효/NNG+기간/NNG
1년에	1/SN+년/NNB+에/JKB
자동연장	자동/NNG+연장/NNG


# id : NWRW1800000052.396.2.1
한·일 군사비밀정보협정 내용은

한·일	한·일/NNP
군사비밀정보협정	군사/NNG+비밀/NNG+정보/NNG+협정/NNG
내용은	내용/NNG+은/JX


# id : NWRW1800000052.396.3.1
1급 비밀은 교환 대상에서 제외

1급	1/SN+급/NNG
비밀은	비밀/NNG+은/JX
교환	교환/NNG
대상에서	대상/NNG+에서/JKB
제외	제외/NNG


# id : NWRW1800000052.396.4.1
현재 2·3급 비밀은 47만여건 달해

현재	현재/MAG
2·3급	2/SN+·/SP+3/SN+급/NNG
비밀은	비밀/NNG+은/JX
47만여건	47/SN+만/NR+여/XSN+건/NNB
달해	달하/VV+아/EF


# id : NWRW1800000052.396.5.1
종료의사 통보 없으면 자동 연장

종료의사	종료/NNG+의사/NNG
통보	통보/NNG
없으면	없/VA+으면/EC
자동	자동/NNG
연장	연장/NNG


# id : NWRW1800000052.396.6.1
정부가 23일 체결한 한·일 군사비밀정보협정은 양국이 서로 교환하는 비밀 정보를 각기 상응하는 국내법 절차에 맞게 보호하도록 하는 내용들로 이뤄져 있다.

정부가	정부/NNG+가/JKS
23일	23/SN+일/NNB
체결한	체결/NNG+하/XSV+ㄴ/ETM
한·일	한·일/NNP
군사비밀정보협정은	군사/NNG+비밀/NNG+정보/NNG+협정/NNG+은/JX
양국이	양국/NNG+이/JKS
서로	서로/MAG
교환하는	교환/NNG+하/XSV+는/ETM
비밀	비밀/NNG
정보를	정보/NNG+를/JKO
