# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.10
metadata : {}


# id : NWRW1800000029.10.1.1
정부, 대책 내놓은지 한달만에 또 전월세 대책

정부,	정부/NNG+,/SP
대책	대책/NNG
내놓은지	내놓/VV+은/ETM+지/NNB
한달만에	한/MMN+달/NNB+만/NNB+에/JKB
또	또/MAG
전월세	전월세/NNG


# id : NWRW1800000029.10.2.1
전세금 지원 6000만→8000만원 대출금리 4.5→4%

전세금	전세금/NNG
지원	지원/NNG
6000만→8000만원	6000/SN+만/NR+→/SW+8000/SN+만/NR+원/NNB
대출금리	대출/NNG+금리/NNG
4.5→4%	4/SN+./SP+5/SN+→/SW+4/SN+%/SW


# id : NWRW1800000029.10.3.1
무주택 서민과 근로자에 대한 전세자금 대출 지원 한도가 가구당 8000만 원으로 늘어나고 금리도 4.5%에서 4%로 인하된다.

무주택	무/XPN+주택/NNG
서민과	서민/NNG+과/JC
근로자에	근로자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전세자금	전세/NNG+자금/NNG
대출	대출/NNG
지원	지원/NNG
한도가	한도/NNG+가/JKS
가구당	가구/NNG+당/XSN
8000만	8000/SN+만/NR
원으로	원/NNB+으로/JKB
늘어나고	늘어나/VV+고/EC
금리도	금리/NNG+도/JX
4.5%에서	4/SN+./SP+5/SN+%/SW+에서/JKB
4%로	4/SN+%/SW+로/JKB
인하된다.	인하/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.10.3.2
또 서울을 포함한 수도권에서 3채를 5년간 전·월세를 놓거나 준공 후 미분양을 사서 세를 놓을 경우 세제 혜택을 받을 수 있다.

또	또/MAG
서울을	서울/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
수도권에서	수도/NNG+권/XSN+에서/JKB
3채를	3/SN+채/NNB+를/JKO
5년간	5/SN+년/NNB+간/XSN
전·월세를	전·월세/NNG+를/JKO
놓거나	놓/VV+거나/EC
준공	준공/NNG
후	후/NNG
미분양을	미/XPN+분양/NNG+을/JKO
사서	사/VV+아서/EC
세를	세/NNG+를/JKO
놓을	놓/VV+을/ETM
경우	경우/NNG
세제	세제/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.10.4.1
정부는 11일 당정협의를 거쳐 이 같은 내용을 골자로 한 ‘전·월세 시장안정 보완대책’을 발표했다.

정부는	정부/NNG+는/JX
11일	11/SN+일/NNB
당정협의를	당정/NNG+협의/NNG+를/JKO
거쳐	거치/VV+어/EC
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
‘전·월세	‘/SS+전·월세/NNG
시장안정	시장/NNG+안정/NNG
보완대책’을	보완/NNG+대책/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.4.2
“추가대책은 없다”며 1·13 전·월세 대책을 내놓은 지 한 달 만이다.

“추가대책은	“/SS+추가/NNG+대책/NNG+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
1·13	1/SN+·/SP+13/SN
전·월세	전·월세/NNG
대책을	대책/NNG+을/JKO
내놓은	내놓/VV+은/ETM
지	지/NNB
한	한/MMN
달	달/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.10.4.3
“정부와 여당이 손을 놓고 있다”는 비판을 의식해서 당정이 급조해서 내놓은 대책이어서 획기적인 내용은 들어 있지 않다는 것이 전문가들의 평가다.

“정부와	“/SS+정부/NNG+와/JC
여당이	여당/NNG+이/JKS
손을	손/NNG+을/JKO
놓고	놓/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
비판을	비판/NNG+을/JKO
의식해서	의식/NNG+하/XSV+아서/EC
당정이	당정/NNG+이/JKS
급조해서	급조/NNG+하/XSV+아서/EC
내놓은	내놓/VV+은/ETM
대책이어서	대책/NNG+이/VCP+어서/EC
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
내용은	내용/NNG+은/JX
들어	들/VV+어/EC
있지	있/VX+지/EC
않다는	않/VX+다는/ETM
것이	것/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.10.5.1
○ 세입자 부담 완화, 임대주택 공급 초점

○	○/SW
세입자	세입자/NNG
부담	부담/NNG
완화,	완화/NNG+,/SP
임대주택	임대/NNG+주택/NNG
공급	공급/NNG
초점	초점/NNG


# id : NWRW1800000029.10.6.1
정부가 발표한 대책은 세입자에게 전세자금 지원을 확대하고 민간 임대주택 공급 활성화를 위해 세금을 깎아주는 것이 핵심이다.

정부가	정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
