# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.303
metadata : {}


# id : NWRW1800000030.303.1.1
[동남권 신공항 논란] 밀양 공항 지으려면… 산 10개 깎아 시야 확보

[동남권	[/SS+동남/NNG+권/XSN
신공항	신/XPN+공항/NNG
논란]	논란/NNG+]/SS
밀양	밀양/NNP
공항	공항/NNG
지으려면…	짓/VV+으려면/EC+…/SE
산	산/NNG
10개	10/SN+개/NNB
깎아	깎/VV+아/EC
시야	시야/NNG
확보	확보/NNG


# id : NWRW1800000030.303.2.1
•"깎인 산은 산업단지로, 흙은 공항부지에 사용"

•"깎인	•/SW+"/SS+깎이/VV+ㄴ/ETM
산은	산/NNG+은/JX
산업단지로,	산업/NNG+단지/NNG+로/JKB+,/SP
흙은	흙/NNG+은/JX
공항부지에	공항/NNG+부지/NNG+에/JKB
사용"	사용/NNG+"/SS


# id : NWRW1800000030.303.3.1
대구·경북·경남·울산 등 4개 자치단체가 그리는 '밀양신공항'의 미래는 이렇다.

대구·경북·경남·울산	대구/NNP+·/SP+경북/NNP+·/SP+경남/NNP+·/SP+울산/NNP
등	등/NNB
4개	4/SN+개/NNB
자치단체가	자치/NNG+단체/NNG+가/JKS
그리는	그리/VV+는/ETM
'밀양신공항'의	'/SS+밀양신공항/NNP+'/SS+의/JKG
미래는	미래/NNG+는/JX
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000030.303.4.1
'2개의 활주로와 연간 2322만명의 인원과 40만t의 화물을 실어 나르는 명실상부한 순수 민간전용 국제공항.' 총 8조5019억원의 공사비를 들여 1단계와 2단계로 나눠 길이 3800m의 활주로 2개를 만든다.

'2개의	'/SS+2/SN+개/NNB+의/JKG
활주로와	활주로/NNG+와/JC
연간	연간/NNG
2322만명의	2322/SN+만/NR+명/NNB+의/JKG
인원과	인원/NNG+과/JC
40만t의	40/SN+만/NR+t/SW+의/JKG
화물을	화물/NNG+을/JKO
실어	싣/VV+어/EC
나르는	나르/VV+는/ETM
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
순수	순수/NNG
민간전용	민간/NNG+전용/NNG
