# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.33
metadata : {}


# id : NWRW1800000036.33.1.1
장바구니 ‘이마트 지수’ 최악

장바구니	장바구니/NNG
‘이마트	‘/SS+이마트/NNP
지수’	지수/NNG+’/SS
최악	최악/NNG


# id : NWRW1800000036.33.2.1
[한겨레] 의식주 476개 상품군 판매증감 지수 4분기째 내리막

[한겨레]	[/SS+한겨레/NNP+]/SS
의식주	의식주/NNG
476개	476/SN+개/NNB
상품군	상품군/NNG
판매증감	판매/NNG+증감/NNG
지수	지수/NNG
4분기째	4/SN+분기/NNG+째/XSN
내리막	내리막/NNG


# id : NWRW1800000036.33.3.1
불황으로 소비심리가 위축되면서 대형마트의 소비 수준을 가늠하는 지표인 ‘이마트 지수’가 사상 최저 수준으로 떨어졌다.

불황으로	불황/NNG+으로/JKB
소비심리가	소비/NNG+심리/NNG+가/JKS
위축되면서	위축/NNG+되/XSV+면서/EC
대형마트의	대형/NNG+마트/NNG+의/JKG
소비	소비/NNG
수준을	수준/NNG+을/JKO
가늠하는	가늠/NNG+하/XSV+는/ETM
지표인	지표/NNG+이/VCP+ㄴ/ETM
‘이마트	‘/SS+이마트/NNP
지수’가	지수/NNG+’/SS+가/JKS
사상	사상/NNG
최저	최저/NNG
수준으로	수준/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.33.3.2
이마트 지수는 이마트에서 판매하는 476개 상품군의 판매량 증감 수준을 분기별로 지수화한 것으로 100 이상이면 전년 동기보다 소비가 늘었고, 100 미만이면 소비가 줄었다는 뜻이다.

이마트	이마트/NNP
지수는	지수/NNG+는/JX
이마트에서	이마트/NNP+에서/JKB
판매하는	판매/NNG+하/XSV+는/ETM
476개	476/SN+개/NNB
상품군의	상품군/NNG+의/JKG
판매량	판매량/NNG
증감	증감/NNG
수준을	수준/NNG+을/JKO
분기별로	분기/NNG+별/XSN+로/JKB
지수화한	지수/NNG+화/XSN+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
100	100/SN
이상이면	이상/NNG+이/VCP+면/EC
전년	전년/NNG
동기보다	동기/NNG+보다/JKB
소비가	소비/NNG+가/JKS
늘었고,	늘/VV+었/EP+고/EC+,/SP
미만이면	미만/NNG+이/VCP+면/EC
줄었다는	줄/VV+었/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.33.4.1
이마트는 올해 2분기 이마트 지수가 2009년 1분기 지수 산출을 시작한 이래로 가장 낮은 92.0을 기록했다고 17일 밝혔다.

이마트는	이마트/NNP+는/JX
올해	올해/NNG
2분기	2/SN+분기/NNG
이마트	이마트/NNP
지수가	지수/NNG+가/JKS
2009년	2009/SN+년/NNB
1분기	1/SN+분기/NNG
지수	지수/NNG
산출을	산출/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
이래로	이래/NNB+로/JKB
가장	가장/MAG
낮은	낮/VA+은/ETM
92.0을	92/SN+./SP+0/SN+을/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.33.4.2
기존 최저치는 미국발 금융위기로 경제가 급격히 위축됐던 2009년 1분기에 기록한 94.8이었다.

기존	기존/NNG
최저치는	최저/NNG+치/XSN+는/JX
미국발	미국/NNP+발/XSN
금융위기로	금융/NNG+위기/NNG+로/JKB
경제가	경제/NNG+가/JKS
급격히	급격히/MAG
위축됐던	위축/NNG+되/XSV+었/EP+던/ETM
2009년	2009/SN+년/NNB
1분기에	1/SN+분기/NNG+에/JKB
기록한	기록/NNG+하/XSV+ㄴ/ETM
94.8이었다.	94/SN+./SP+8/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.33.4.3
이후 이마트 지수는 2010년 3분기에 108.0까지 치솟았지만, 유럽발 부채위기 등으로 내수침체가 이어지면서 2011년 3분기부터 4분기째 내리막길을 걸었다.

이후	이후/NNG
이마트	이마트/NNP
지수는	지수/NNG+는/JX
2010년	2010/SN+년/NNB
3분기에	3/SN+분기/NNG+에/JKB
108.0까지	108/SN+./SP+0/SN+까지/JX
치솟았지만,	치솟/VV+았/EP+지만/EC+,/SP
유럽발	유럽/NNP+발/XSN
부채위기	부채/NNG+위기/NNG
등으로	등/NNB+으로/JKB
내수침체가	내수/NNG+침체/NNG+가/JKS
이어지면서	이어지/VV+면서/EC
2011년	2011/SN+년/NNB
3분기부터	3/SN+분기/NNG+부터/JX
4분기째	4/SN+분기/NNG+째/XSN
내리막길을	내리막길/NNG+을/JKO
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.33.5.1
세부항목 지수를 보면 의생활(89.4), 식생활(92.0), 주생활(95.9), 문화생활(89.9) 등 네 가지 지수가 모두 100 미만을 기록한 가운데 불황의 여파가 비교적 적게 미치는 식생활 지수마저 사상 최저치로 떨어졌다.

세부항목	세부/NNG+항목/NNG
지수를	지수/NNG+를/JKO
보면	보/VV+면/EC
의생활(89.4),	의생활/NNG+(/SS+89/SN+./SP+4/SN+)/SS+,/SP
식생활(92.0),	식생활/NNG+(/SS+92/SN+./SP+0/SN+)/SS+,/SP
주생활(95.9),	주생활/NNG+(/SS+95/SN+./SP+9/SN+)/SS+,/SP
문화생활(89.9)	문화생활/NNG+(/SS+89/SN+./SP+9/SN+)/SS
등	등/NNB
네	네/MMN
가지	가지/NNB
지수가	지수/NNG+가/JKS
모두	모두/MAG
100	100/SN
미만을	미만/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
불황의	불황/NNG+의/JKG
여파가	여파/NNG+가/JKS
비교적	비교/NNG+적/XSN
적게	적/VA+게/EC
미치는	미치/VV+는/ETM
식생활	식생활/NNG
지수마저	지수/NNG+마저/JX
사상	사상/NNG
최저치로	최저/NNG+치/XSN+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.33.5.2
김민 신세계 유통산업연구소 팀장은 “대형마트 영업규제, 장기적인 경기침체에 의한 소비 위축으로 이마트 지수가 조사 이래 가장 낮았다”며 “불황에도 큰 영향을 받지 않았던 먹을거리 소비마저 줄어들 만큼 내수 경기위축이 심각한 수준”이라고 말했다.

김민	김민/NNP
신세계	신세계/NNP
유통산업연구소	유통/NNG+산업/NNG+연구소/NNG
팀장은	팀장/NNG+은/JX
“대형마트	“/SS+대형/NNG+마트/NNG
영업규제,	영업/NNG+규제/NNG+,/SP
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
경기침체에	경기/NNG+침체/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
소비	소비/NNG
위축으로	위축/NNG+으로/JKB
이마트	이마트/NNP
지수가	지수/NNG+가/JKS
조사	조사/NNG
이래	이래/NNB
가장	가장/MAG
낮았다”며	낮/VA+았/EP+다/EF+”/SS+며/EC
“불황에도	“/SS+불황/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
받지	받/VV+지/EC
않았던	않/VX+았/EP+던/ETM
먹을거리	먹을거리/NNG
소비마저	소비/NNG+마저/JX
줄어들	줄어들/VV+ㄹ/ETM
만큼	만큼/NNB
내수	내수/NNG
경기위축이	경기/NNG+위축/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
수준”이라고	수준/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.33.6.1
