# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.142
metadata : {}


# id : NWRW1800000048.142.1.1
기독교인만 죽이려 하자 무슬림들 “우리도 죽여라”

기독교인만	기독교인/NNG+만/JX
죽이려	죽이/VV+려/EC
하자	하/VX+자/EC
무슬림들	무슬림/NNG+들/XSN
“우리도	“/SS+우리/NP+도/JX
죽여라”	죽이/VV+어라/EF+”/SS


# id : NWRW1800000048.142.2.1
이슬람 극단주의 무장단체의 공격을 받은 케냐의 버스에서 무슬림 승객들이 기독교 등 비무슬림 승객들을 보호해, 자칫 대규모 살인극으로 이어졌을 수 있는 참극을 막았다.

이슬람	이슬람/NNG
극단주의	극단주의/NNG
무장단체의	무장/NNG+단체/NNG+의/JKG
공격을	공격/NNG+을/JKO
받은	받/VV+은/ETM
케냐의	케냐/NNP+의/JKG
버스에서	버스/NNG+에서/JKB
무슬림	무슬림/NNG
승객들이	승객/NNG+들/XSN+이/JKS
기독교	기독교/NNG
등	등/NNB
비무슬림	비/XPN+무슬림/NNG
승객들을	승객/NNG+들/XSN+을/JKO
보호해,	보호/NNG+하/XSV+아/EC+,/SP
자칫	자칫/MAG
대규모	대/XPN+규모/NNG
살인극으로	살인극/NNG+으로/JKB
이어졌을	이어지/VV+었/EP+을/ETM
수	수/NNB
있는	있/VA+는/ETM
참극을	참극/NNG+을/JKO
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.3.1
소말리아 무장단체 ‘알샤밥’

소말리아	소말리아/NNP
무장단체	무장/NNG+단체/NNG
‘알샤밥’	‘/SS+알샤밥/NNP+’/SS


# id : NWRW1800000048.142.4.1
케냐서 60명 태운 버스 공격

케냐서	케냐/NNP+서/JKB
60명	60/SN+명/NNB
태운	태우/VV+ㄴ/ETM
버스	버스/NNG
공격	공격/NNG


# id : NWRW1800000048.142.5.1
무슬림 승객들 종교 넘어 저항

무슬림	무슬림/NNG
승객들	승객/NNG+들/XSN
종교	종교/NNG
넘어	넘/VV+어/EC
저항	저항/NNG


# id : NWRW1800000048.142.6.1
무장단체 총격 포기…참극 막아

무장단체	무장/NNG+단체/NNG
총격	총격/NNG
포기…참극	포기/NNG+…/SE+참극/NNG
막아	막/VV+아/EC


# id : NWRW1800000048.142.7.1
21일 아침 케냐 수도 나이로비에서 60여명을 태우고 북동부 국경 도시 만데라로 향하던 버스를 소말리아 무장단체 알샤밥 대원들이 공격했다.

21일	21/SN+일/NNB
아침	아침/NNG
케냐	케냐/NNP
수도	수도/NNG
나이로비에서	나이로비/NNP+에서/JKB
60여명을	60/SN+여/XSN+명/NNB+을/JKO
태우고	태우/VV+고/EC
북동부	북동부/NNG
국경	국경/NNG
도시	도시/NNG
만데라로	만데라/NNP+로/JKB
향하던	향하/VV+던/ETM
버스를	버스/NNG+를/JKO
소말리아	소말리아/NNP
무장단체	무장/NNG+단체/NNG
알샤밥	알샤밥/NNP
대원들이	대원/NNG+들/XSN+이/JKS
공격했다.	공격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.7.2
만데라까지 150㎞ 남짓 남은 엘와크 인근이었다.

만데라까지	만데라/NNP+까지/JX
150㎞	150/SN+㎞/SW
남짓	남짓/NNB
남은	남/VV+은/ETM
엘와크	엘와크/NNP
인근이었다.	인근/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.142.7.3
<로이터>통신 등 외신들의 보도를 종합하면, 총격을 가해 버스를 멈춰세운 무장괴한들은 승객들에게 하차하라고 명령하며 무슬림과 기독교인으로 갈라서라고 요구했다.

<로이터>통신	</SS+로이터/NNP+>/SS+통신/NNG
등	등/NNB
외신들의	외신/NNG+들/XSN+의/JKG
보도를	보도/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
총격을	총격/NNG+을/JKO
가해	가하/VV+아/EC
버스를	버스/NNG+를/JKO
멈춰세운	멈추/VV+어/EC+세우/VV+ㄴ/ETM
무장괴한들은	무장/NNG+괴한/NNG+들/XSN+은/JX
승객들에게	승객/NNG+들/XSN+에게/JKB
하차하라고	하차/NNG+하/XSV+라고/EC
명령하며	명령/NNG+하/XSV+며/EC
무슬림과	무슬림/NNG+과/JC
기독교인으로	기독교인/NNG+으로/JKB
갈라서라고	갈라서/VV+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.8.1
버스에 타고 있던 무슬림인 압디 모하무드 압디는 10여명의 알샤밥 대원들이 무슬림 승객들에게 기독교인들과 떨어지라고 요구했으나, 승객들이 거부했다고 당시 상황을 설명했다.

버스에	버스/NNG+에/JKB
타고	타/VV+고/EC
있던	있/VX+던/ETM
무슬림인	무슬림인/NNG
압디	압디/NNP
모하무드	모하무드/NNP
압디는	압디/NNP+는/JX
10여명의	10/SN+여/XSN+명/NNB+의/JKG
알샤밥	알샤밥/NNP
대원들이	대원/NNG+들/XSN+이/JKS
무슬림	무슬림/NNG
승객들에게	승객/NNG+들/XSN+에게/JKB
기독교인들과	기독교인/NNG+들/XSN+과/JKB
떨어지라고	떨어지/VV+라고/EC
요구했으나,	요구/NNG+하/XSV+았/EP+으나/EC+,/SP
승객들이	승객/NNG+들/XSN+이/JKS
거부했다고	거부/NNG+하/XSV+았/EP+다고/EC
당시	당시/NNG
상황을	상황/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.8.2
그는 “무장단체 대원들이 총을 쏘겠다고 위협했지만 우리는 계속 거부했고 우리 형제 자매들을 보호했다”고 말했다.

그는	그/NP+는/JX
“무장단체	“/SS+무장/NNG+단체/NNG
대원들이	대원/NNG+들/XSN+이/JKS
총을	총/NNG+을/JKO
쏘겠다고	쏘/VV+겠/EP+다고/EC
위협했지만	위협/NNG+하/XSV+았/EP+지만/EC
우리는	우리/NP+는/JX
계속	계속/MAG
거부했고	거부/NNG+하/XSV+았/EP+고/EC
우리	우리/NP
형제	형제/NNG
자매들을	자매/NNG+들/XSN+을/JKO
보호했다”고	보호/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.8.3
그는 비무슬림들이 쉽게 식별될 수 없도록 버스에서 무슬림들이 일부에게 무슬림식 복장을 건네주기도 했다고 덧붙였다.

그는	그/NP+는/JX
비무슬림들이	비/XPN+무슬림/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
식별될	식별/NNG+되/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
버스에서	버스/NNG+에서/JKB
무슬림들이	무슬림/NNG+들/XSN+이/JKS
일부에게	일부/NNG+에게/JKB
무슬림식	무슬림식/NNG
복장을	복장/NNG+을/JKO
건네주기도	건네주/VV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.142.9.1
만데라 카운티 병원에서 근무하는 또다른 승객 압디라시드 아단은 “(요구에 따라) 모두 내렸으나 한명이 도망치다가 사살됐다”고 전했다.

만데라	만데라/NNP
카운티	카운티/NNG
병원에서	병원/NNG+에서/JKB
근무하는	근무/NNG+하/XSV+는/ETM
또다른	또/MAG+다른/MMD
승객	승객/NNG
압디라시드	압디라시드/NNP
아단은	아단/NNP+은/JX
“(요구에	“/SS+(/SS+요구/NNG+에/JKB
따라)	따르/VV+아/EC+)/SS
모두	모두/MAG
내렸으나	내리/VV+었/EP+으나/EC
한명이	한/MMN+명/NNB+이/JKS
도망치다가	도망치/VV+다가/EC
사살됐다”고	사살/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.9.2
현지 일간 <데일리 네이션>은 알리 로바 만데라 주지사가 인터뷰에서 “(무슬림 승객들이 무장대원들에게) ‘모든 승객을 죽이거나 아니면 떠나라’고 했다”고 말했다고 보도했다.

현지	현지/NNG
일간	일간/NNG
<데일리	</SS+데일리/NNP
네이션>은	네이션/NNP+>/SS+은/JX
알리	알리/NNP
로바	로바/NNP
만데라	만데라/NNP
주지사가	주지사/NNG+가/JKS
인터뷰에서	인터뷰/NNG+에서/JKB
“(무슬림	“/SS+(/SS+무슬림/NNG
승객들이	승객/NNG+들/XSN+이/JKS
무장대원들에게)	무장대원/NNG+들/XSN+에게/JKB+)/SS
‘모든	‘/SS+모든/MMN
승객을	승객/NNG+을/JKO
죽이거나	죽이/VV+거나/EC
아니면	아니/VCN+면/EC
떠나라’고	떠나/VV+라/EF+’/SS+고/JKQ
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.9.3
로바 주지사는 “일부 현지인(무슬림)들이 다친 것은 바로 비무슬림 승객들을 보호하려고 했기 때문”이라고 주장했다.

로바	로바/NNP
주지사는	주지사/NNG+는/JX
“일부	“/SS+일부/NNG
현지인(무슬림)들이	현지인/NNG+(/SS+무슬림/NNG+)/SS+들/XSN+이/JKS
다친	다치/VV+ㄴ/ETM
것은	것/NNB+은/JX
바로	바로/MAG
비무슬림	비/XPN+무슬림/NNG
승객들을	승객/NNG+들/XSN+을/JKO
보호하려고	보호/NNG+하/XSV+려고/EC
했기	하/VX+았/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.10.1
알샤밥 대원들은 다른 차량이 접근하는 소리를 듣고 길가 덤불 뒤로 몸을 숨긴 것으로 전해진다.

알샤밥	알샤밥/NNP
대원들은	대원/NNG+들/XSN+은/JX
다른	다른/MMD
차량이	차량/NNG+이/JKS
접근하는	접근/NNG+하/XSV+는/ETM
소리를	소리/NNG+를/JKO
듣고	듣/VV+고/EC
길가	길가/NNG
덤불	덤불/NNG
뒤로	뒤/NNG+로/JKB
몸을	몸/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.142.10.2
한 승객이 “경찰이 오고 있다”고 외쳤다는 얘기도 있다.

한	한/MMN
승객이	승객/NNG+이/JKS
“경찰이	“/SS+경찰/NNG+이/JKS
오고	오/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
외쳤다는	외치/VV+었/EP+다는/ETM
얘기도	얘기/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.142.10.3
지난해부터 북동부 국경지대를 오가는 버스는 경찰의 호위를 받아왔으나 이번엔 예외였다.

지난해부터	지난해/NNG+부터/JX
북동부	북동부/NNG
국경지대를	국경/NNG+지대/NNG+를/JKO
오가는	오가/VV+는/ETM
버스는	버스/NNG+는/JX
경찰의	경찰/NNG+의/JKG
호위를	호위/NNG+를/JKO
받아왔으나	받/VV+아/EC+오/VX+았/EP+으나/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
예외였다.	예외/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.142.10.4
버스 뒤에 온 것도 트럭이었다.

버스	버스/NNG
뒤에	뒤/NNG+에/JKB
온	오/VV+ㄴ/ETM
것도	것/NNB+도/JX
트럭이었다.	트럭/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.142.10.5
알샤밥 대원들은 트럭 운전사에게 신앙고백을 요구했으나 그가 말하지 못하자 쏴죽인 것으로 알려졌다.

알샤밥	알샤밥/NNP
대원들은	대원/NNG+들/XSN+은/JX
트럭	트럭/NNG
운전사에게	운전사/NNG+에게/JKB
신앙고백을	신앙/NNG+고백/NNG+을/JKO
요구했으나	요구/NNG+하/XSV+았/EP+으나/EC
그가	그/NP+가/JKS
말하지	말/NNG+하/XSV+지/EC
못하자	못하/VX+자/EC
쏴죽인	쏘/VV+아/EC+죽이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.142.10.6
알샤밥은 ‘알라 외에 다른 신은 없으며 무함마드는 알라의 예언자다’는 신앙고백(샤하다)을 하게 해 무슬림과 비무슬림을 구별한 뒤 비무슬림을 살해해 왔다.

알샤밥은	알샤밥/NNP+은/JX
‘알라	‘/SS+알라/NNP
외에	외/NNB+에/JKB
다른	다른/MMD
신은	신/NNG+은/JX
없으며	없/VA+으며/EC
무함마드는	무함마드/NNP+는/JX
알라의	알라/NNP+의/JKG
예언자다’는	예언자/NNG+이/VCP+다/EF+’/SS+는/JX
신앙고백(샤하다)을	신앙/NNG+고백/NNG+(/SS+샤하다/NNG+)/SS+을/JKO
하게	하/VV+게/EC
해	하/VX+아/EC
무슬림과	무슬림/NNG+과/JC
비무슬림을	비/XPN+무슬림/NNG+을/JKO
구별한	구별/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
살해해	살해/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.142.11.1
일부 생존자와 로바 주지사 등은 무슬림 승객들이 협조하지 않자 알샤밥 대원들이 공격을 포기하고 떠났다고 전했다.

일부	일부/NNG
생존자와	생존자/NNG+와/JC
로바	로바/NNP
주지사	주지사/NNG
등은	등/NNB+은/JX
무슬림	무슬림/NNG
승객들이	승객/NNG+들/XSN+이/JKS
협조하지	협조/NNG+하/XSV+지/EC
않자	않/VX+자/EC
알샤밥	알샤밥/NNP
대원들이	대원/NNG+들/XSN+이/JKS
공격을	공격/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
떠났다고	떠나/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.11.2
일부 생존자는 승객들이 버스에 다시 올라타 도망쳤다고 했다.

일부	일부/NNG
생존자는	생존자/NNG+는/JX
승객들이	승객/NNG+들/XSN+이/JKS
버스에	버스/NNG+에/JKB
다시	다시/MAG
올라타	올라타/VV+아/EC
도망쳤다고	도망치/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.11.3
이번 사건으로 2명이 숨지고 적어도 4명이 다쳤다.

이번	이번/NNG
사건으로	사건/NNG+으로/JKB
2명이	2/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
적어도	적어도/MAG
4명이	4/SN+명/NNB+이/JKS
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.142.12.1
알샤밥은 지난해 11월 만데라 인근에서 교사들이 탄 버스를 공격했을 때에도 비무슬림을 가려내 ‘처형식 사살’을 했다.

알샤밥은	알샤밥/NNP+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
만데라	만데라/NNP
인근에서	인근/NNG+에서/JKB
교사들이	교사/NNG+들/XSN+이/JKS
탄	타/VV+ㄴ/ETM
버스를	버스/NNG+를/JKO
공격했을	공격/NNG+하/XSV+았/EP+을/ETM
때에도	때/NNG+에/JKB+도/JX
비무슬림을	비/XPN+무슬림/NNG+을/JKO
가려내	가려내/VV+어/EC
‘처형식	‘/SS+처형식/NNG
사살’을	사살/NNG+’/SS+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.12.2
28명이 숨진 이 사건으로 교사 2000여명과 다른 지역에서 온 의료진들이 만데라를 떠난 것으로 알려졌다.

28명이	28/SN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
이	이/MMD
사건으로	사건/NNG+으로/JKB
교사	교사/NNG
2000여명과	2000/SN+여/XSN+명/NNB+과/JKB
다른	다른/MMD
지역에서	지역/NNG+에서/JKB
온	오/VV+ㄴ/ETM
의료진들이	의료진/NNG+들/XSN+이/JKS
만데라를	만데라/NNP+를/JKO
떠난	떠나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.142.12.3
영국 <비비시>(BBC) 방송은 지역 주민들이 더이상 이같은 고통과 손실을 감당할 수 없다고 느껴 행동에 나섰을 수 있다고 분석했다.

영국	영국/NNP
<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
방송은	방송/NNG+은/JX
지역	지역/NNG
주민들이	주민/NNG+들/XSN+이/JKS
더이상	더/MAG+이상/NNG
이같은	이/NP+같/VA+은/ETM
고통과	고통/NNG+과/JC
손실을	손실/NNG+을/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
느껴	느끼/VV+어/EC
행동에	행동/NNG+에/JKB
나섰을	나서/VV+었/EP+을/ETM
있다고	있/VA+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.13.1
알카에다 연계 조직인 알샤밥은 케냐 군대가 2011년 10월 소말리아 내전에 개입해 자신들에게 타격을 입히기 시작한 뒤부터 케냐를 상대로 보복 공격을 이어오고 있다.

알카에다	알카에다/NNP
연계	연계/NNG
조직인	조직/NNG+이/VCP+ㄴ/ETM
알샤밥은	알샤밥/NNP+은/JX
케냐	케냐/NNP
군대가	군대/NNG+가/JKS
2011년	2011/SN+년/NNB
10월	10/SN+월/NNB
소말리아	소말리아/NNP
내전에	내전/NNG+에/JKB
개입해	개입/NNG+하/XSV+아/EC
자신들에게	자신/NNG+들/XSN+에게/JKB
타격을	타격/NNG+을/JKO
입히기	입히/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤부터	뒤/NNG+부터/JX
