# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.145
metadata : {}


# id : NWRW1800000029.145.1.1
피를 부르는 ‘골드러시’

피를	피/NNG+를/JKO
부르는	부르/VV+는/ETM
‘골드러시’	‘/SS+골드러시/NNG+’/SS


# id : NWRW1800000029.145.2.1
콜롬비아 반군-무장단체 새 돈줄로 ‘금광채굴’ 혈안

콜롬비아	콜롬비아/NNP
반군-무장단체	반군/NNG+-/SO+무장/NNG+단체/NNG
새	새/MMA
돈줄로	돈줄/NNG+로/JKB
‘금광채굴’	‘/SS+금광/NNG+채굴/NNG+’/SS
혈안	혈안/NNG


# id : NWRW1800000029.145.3.1
콜롬비아 카르게로스 지역 금광 채굴꾼 지메네스 씨(30)는 한 달에 1000달러를 벌기도 한다.

콜롬비아	콜롬비아/NNP
카르게로스	카르게로스/NNP
지역	지역/NNG
금광	금광/NNG
채굴꾼	채굴/NNG+꾼/XSN
지메네스	지메네스/NNP
씨(30)는	씨/NNB+(/SS+30/SN+)/SS+는/JX
한	한/MMN
달에	달/NNB+에/JKB
1000달러를	1000/SN+달러/NNB+를/JKO
벌기도	벌/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.145.3.2
콜롬비아 최저 임금의 3배 이상이다.

콜롬비아	콜롬비아/NNP
최저	최저/NNG
임금의	임금/NNG+의/JKG
3배	3/SN+배/NNG
이상이다.	이상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.145.3.3
그러자 농부들까지 밭을 버리고 금광으로 달려가고 있다.

그러자	그러/VV+자/EC
농부들까지	농부/NNG+들/XSN+까지/JX
밭을	밭/NNG+을/JKO
버리고	버리/VV+고/EC
금광으로	금광/NNG+으로/JKB
달려가고	달려가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.145.3.4
‘21세기판 골드러시’인 셈이다.

‘21세기판	‘/SS+21/SN+세기판/NNG
골드러시’인	골드러시/NNG+’/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.145.4.1
금값 상승은 중남미 시골 주민들과 범죄조직의 행태에도 심대한 변화를 가져오고 있다.

금값	금값/NNG
상승은	상승/NNG+은/JX
중남미	중남미/NNP
시골	시골/NNG
주민들과	주민/NNG+들/XSN+과/JC
범죄조직의	범죄/NNG+조직/NNG+의/JKG
