# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.48
metadata : {}


# id : NWRW1800000024.48.1.1
민주노총, 성폭력 은폐 시도 /‘지도부 총사퇴’ 요구 거세

민주노총,	민주노총/NNP+,/SP
성폭력	성폭력/NNG
은폐	은폐/NNG
시도	시도/NNG
/‘지도부	//SP+‘/SS+지도부/NNG
총사퇴’	총사퇴/NNG+’/SS
요구	요구/NNG
거세	거세/VA+어/EF


# id : NWRW1800000024.48.2.1
전국민주노동조합총연맹 지도부가 소속 간부의 여성 조합원 성폭행 미수 사건 처리와 관련해 안팎에서 총사퇴 요구를 받고 있다.

전국민주노동조합총연맹	전국민주노동조합총연맹/NNP
지도부가	지도부/NNG+가/JKS
소속	소속/NNG
간부의	간부/NNG+의/JKG
여성	여성/NNG
조합원	조합원/NNG
성폭행	성폭행/NNG
미수	미수/NNG
사건	사건/NNG
처리와	처리/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
안팎에서	안팎/NNG+에서/JKB
총사퇴	총사퇴/NNG
요구를	요구/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.48.2.2
“일부 핵심 간부가 사건을 입막음하려 피해자를 압박했다”는 주장도 나와, 민주노총은 도덕성에 타격을 입게 됐다.

“일부	“/SS+일부/NNG
핵심	핵심/NNG
간부가	간부/NNG+가/JKS
사건을	사건/NNG+을/JKO
입막음하려	입막음/NNG+하/XSV+려/EC
피해자를	피해자/NNG+를/JKO
압박했다”는	압박/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
주장도	주장/NNG+도/JX
나와,	나오/VV+아/EC+,/SP
민주노총은	민주노총/NNP+은/JX
도덕성에	도덕/NNG+성/XSN+에/JKB
타격을	타격/NNG+을/JKO
입게	입/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.3.1
■ 성폭력 사건=“입막음 시도” 민주노총은 5일 사무총국 소속 한 특위 위원장인 ㄱ씨가 여성 조합원을 성추행한 사건을 조사해 ㄱ씨를 보직 해임했고, 단위노조에 제명할 것을 요청하겠다고 밝혔다.

■	■/SW
성폭력	성폭력/NNG
사건=“입막음	사건/NNG+=/SW+“/SS+입막음/NNG
시도”	시도/NNG+”/SS
민주노총은	민주노총/NNP+은/JX
5일	5/SN+일/NNB
사무총국	사무/NNG+총국/NNG
소속	소속/NNG
한	한/MMN
특위	특위/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
여성	여성/NNG
조합원을	조합원/NNG+을/JKO
성추행한	성추행/NNG+하/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
조사해	조사/NNG+하/XSV+아/EC
ㄱ씨를	ㄱ/NNG+씨/NNB+를/JKO
보직	보직/NNG
해임했고,	해임/NNG+하/XSV+았/EP+고/EC+,/SP
단위노조에	단위/NNG+노조/NNG+에/JKB
제명할	제명/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요청하겠다고	요청/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.3.2
민주노총은 지난달 초 진상조사위원회를 꾸려 사건을 조사해 왔다.

민주노총은	민주노총/NNP+은/JX
지난달	지난달/NNG
초	초/NNB
진상조사위원회를	진상/NNG+조사/NNG+위원회/NNG+를/JKO
꾸려	꾸리/VV+어/EC
사건을	사건/NNG+을/JKO
조사해	조사/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.48.4.1
인권실천시민연대 등이 이날 오후 기자회견을 열어 밝힌 내용을 보면, ㄱ씨는 지난해 12월6일 이석행 위원장 도피를 도운 여성 조합원 ㄴ씨를 만나 경찰 수사 대응 방안 등을 논의하며 술을 마셨다.

인권실천시민연대	인권실천시민연대/NNP
등이	등/NNB+이/JKS
이날	이날/NNG
오후	오후/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
밝힌	밝히/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
지난해	지난해/NNG
12월6일	12/SN+월/NNB+6/SN+일/NNB
이석행	이석행/NNP
위원장	위원장/NNG
도피를	도피/NNG+를/JKO
도운	돕/VV+ㄴ/ETM
여성	여성/NNG
조합원	조합원/NNG
ㄴ씨를	ㄴ/NNG+씨/NNB+를/JKO
만나	만나/VV+아/EC
경찰	경찰/NNG
수사	수사/NNG
대응	대응/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
논의하며	논의/NNG+하/XSV+며/EC
술을	술/NNG+을/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.4.2
이어 ㄴ씨 집에 억지로 따라 들어가 여러 차례 성추행한 데 이어 성폭행하려 했다는 것이다.

이어	잇/VV+어/EC
ㄴ씨	ㄴ/NNG+씨/NNB
집에	집/NNG+에/JKB
억지로	억지로/MAG
따라	따르/VV+아/EC
들어가	들어가/VV+아/EC
여러	여러/MMN
차례	차례/NNG
성추행한	성추행/NNG+하/XSV+ㄴ/ETM
데	데/NNB
성폭행하려	성폭행/NNG+하/XSV+려/EC
했다는	하/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.48.4.3
ㄱ씨는 민주노총 조사 과정에서 “술에 취해 기억나지 않는다”고 말한 것으로 알려졌다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
민주노총	민주노총/NNP
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
“술에	“/SS+술/NNG+에/JKB
취해	취하/VV+아/EC
기억나지	기억나/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.5.1
피해자의 상담을 받고 이 사건에 개입해 온 오창익 인권실천시민연대 사무국장은 “이후 민주노총과 ㄴ씨가 속한 연맹의 간부들이 피해자를 찾아와 ‘이런 사실이 알려지면 조직이 심각한 상처를 받는다’고 회유하고 압박했다”고 말했다.

피해자의	피해자/NNG+의/JKG
상담을	상담/NNG+을/JKO
받고	받/VV+고/EC
이	이/MMD
사건에	사건/NNG+에/JKB
개입해	개입/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
오창익	오창익/NNP
인권실천시민연대	인권실천시민연대/NNP
사무국장은	사무국장/NNG+은/JX
“이후	“/SS+이후/NNG
민주노총과	민주노총/NNP+과/JC
ㄴ씨가	ㄴ/NNG+씨/NNB+가/JKS
속한	속하/VV+ㄴ/ETM
연맹의	연맹/NNG+의/JKG
간부들이	간부/NNG+들/XSN+이/JKS
피해자를	피해자/NNG+를/JKO
찾아와	찾아오/VV+아/EC
‘이런	‘/SS+이런/MMD
사실이	사실/NNG+이/JKS
알려지면	알려지/VV+면/EC
조직이	조직/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
받는다’고	받/VV+는다/EF+’/SS+고/JKQ
회유하고	회유/NNG+하/XSV+고/EC
압박했다”고	압박/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.48.5.2
민주노총은 ㄴ씨와 인권실천시민연대 쪽에 지난 12일까지 ㄱ씨를 징계하겠다고 약속했으나, 피해자가 원하는 징계 수위 등을 물어보고 수위 조정을 요구하면서 결정을 미뤘다고 그는 덧붙였다.

민주노총은	민주노총/NNP+은/JX
ㄴ씨와	ㄴ/NNG+씨/NNB+와/JKB
인권실천시민연대	인권실천시민연대/NNP
쪽에	쪽/NNB+에/JKB
지난	지나/VV+ㄴ/ETM
12일까지	12/SN+일/NNB+까지/JX
ㄱ씨를	ㄱ/NNG+씨/NNB+를/JKO
징계하겠다고	징계/NNG+하/XSV+겠/EP+다고/EC
약속했으나,	약속/NNG+하/XSV+았/EP+으나/EC+,/SP
피해자가	피해자/NNG+가/JKS
원하는	원/NNG+하/VV+는/ETM
징계	징계/NNG
수위	수위/NNG
등을	등/NNB+을/JKO
물어보고	물어보/VV+고/EC
조정을	조정/NNG+을/JKO
요구하면서	요구/NNG+하/XSV+면서/EC
결정을	결정/NNG+을/JKO
미뤘다고	미루/VV+었/EP+다고/EC
그는	그/NP+는/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.5.3
그는 “스스로 사태를 해결하기를 기다리며 고소도 미루고 있었는데, 몇몇 민주노총 간부들은 3~4주 전부터 이 사건을 술자리 등에서 기자들에게 공공연히 이야기하는 비상식적인 모습을 보였다”고 말했다.

그는	그/NP+는/JX
“스스로	“/SS+스스로/MAG
사태를	사태/NNG+를/JKO
해결하기를	해결/NNG+하/XSV+기/ETN+를/JKO
기다리며	기다리/VV+며/EC
고소도	고소/NNG+도/JX
미루고	미루/VV+고/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
몇몇	몇몇/NR
민주노총	민주노총/NNP
간부들은	간부/NNG+들/XSN+은/JX
3~4주	3/SN+~/SO+4/SN+주/NNB
전부터	전/NNG+부터/JX
이	이/MMD
사건을	사건/NNG+을/JKO
술자리	술자리/NNG
등에서	등/NNB+에서/JKB
기자들에게	기자/NNG+들/XSN+에게/JKB
공공연히	공공연히/MAG
이야기하는	이야기/NNG+하/XSV+는/ETM
비상식적인	비/XPN+상식/NNG+적/XSN+이/VCP+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.48.6.1
인권실천시민연대는 “이번 사건의 발생·처리과정을 보면서 민주노총 지도부가 최소한의 양식도 없고, 민주노조운동을 진행할 도덕적 근거마저 완전히 상실해버렸다는 것을 확인했다”며, 민주노총 간부들과 ㄴ씨가 소속된 연맹 위원장·간부 모두 사퇴할 것을 촉구했다.

인권실천시민연대는	인권실천시민연대/NNP+는/JX
“이번	“/SS+이번/NNG
사건의	사건/NNG+의/JKG
발생·처리과정을	발생/NNG+·/SP+처리/NNG+과정/NNG+을/JKO
보면서	보/VV+면서/EC
민주노총	민주노총/NNP
지도부가	지도부/NNG+가/JKS
최소한의	최소한/NNG+의/JKG
양식도	양식/NNG+도/JX
없고,	없/VA+고/EC+,/SP
민주노조운동을	민주/NNG+노조/NNG+운동/NNG+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
도덕적	도덕/NNG+적/XSN
근거마저	근거/NNG+마저/JX
완전히	완전히/MAG
상실해버렸다는	상실/NNG+하/XSV+아/EC+버리/VX+었/EP+다는/ETM
것을	것/NNB+을/JKO
확인했다”며,	확인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC+,/SP
간부들과	간부/NNG+들/XSN+과/JC
ㄴ씨가	ㄴ/NNG+씨/NNB+가/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
연맹	연맹/NNG
위원장·간부	위원장/NNG+·/SP+간부/NNG
모두	모두/MAG
사퇴할	사퇴/NNG+하/XSV+ㄹ/ETM
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.48.6.2
이들은 민주노총 관련 간부에 대해 경찰에 수사를 의뢰할 것도 검토하고 있으며, 가해자 ㄱ씨는 6일 서울중앙지검에 고소할 예정이라고 밝혔다.

이들은	이/NP+들/XSN+은/JX
민주노총	민주노총/NNP
관련	관련/NNG
간부에	간부/NNG+에/JKB
대해	대하/VV+아/EC
경찰에	경찰/NNG+에/JKB
수사를	수사/NNG+를/JKO
의뢰할	의뢰/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
가해자	가해자/NNG
ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
6일	6/SN+일/NNB
서울중앙지검에	서울중앙지검/NNP+에/JKB
고소할	고소/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.7.1
민주노총은 이날 저녁 해명자료를 내어 “한 달 뒤에야 사건이 접수돼 진상조사가 늦어졌고 은폐·축소하려는 것은 아니었다”며 “피해자에게 고통을 안겨준 점을 사과한다”고 밝혔다.

민주노총은	민주노총/NNP+은/JX
이날	이날/NNG
