# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.283
metadata : {}


# id : NWRW1800000022.283.1.1
[수도권Ⅰ] 맥주 마시면 장학금 쌓인다;이천시·오비맥주 협약

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
맥주	맥주/NNG
마시면	마시/VV+면/EC
장학금	장학금/NNG
쌓인다;이천시·오비맥주	쌓이/VV+ㄴ다/EF+;/SW+이천시/NNP+·/SP+오비맥주/NNP
협약	협약/NNG


# id : NWRW1800000022.283.2.1
이천시는 19일 ㈜오비맥주와 이천지역 우수 인재 발굴과 육성을 위해 이천에서 판매되는 맥주 1병당 10원의 장학기금을 마련하는 내용의 협약을 맺었다고 밝혔다.

이천시는	이천시/NNP+는/JX
19일	19/SN+일/NNB
㈜오비맥주와	㈜/SW+오비맥주/NNP+와/JKB
이천지역	이천지역/NNP
우수	우수/NNG
인재	인재/NNG
발굴과	발굴/NNG+과/JC
육성을	육성/NNG+을/JKO
위해	위하/VV+아/EC
이천에서	이천/NNP+에서/JKB
판매되는	판매/NNG+되/XSV+는/ETM
맥주	맥주/NNG
1병당	1/SN+병/NNG+당/XSN
10원의	10/SN+원/NNB+의/JKG
장학기금을	장학/NNG+기금/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
협약을	협약/NNG+을/JKO
맺었다고	맺/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.283.3.1
이에 따라 ㈜오비맥주는 올해 3분기 판매분부터 분기별로 이천시민장학회에 장학기금을 출연하게 되며 연간 3000만원의 장학기금 출연이 예상된다고 이천시는 밝혔다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
㈜오비맥주는	㈜/SW+오비맥주/NNP+는/JX
올해	올해/NNG
3분기	3/SN+분기/NNG
판매분부터	판매/NNG+분/XSN+부터/JX
분기별로	분기/NNG+별/XSN+로/JKB
이천시민장학회에	이천시민장학회/NNP+에/JKB
장학기금을	장학/NNG+기금/NNG+을/JKO
출연하게	출연/NNG+하/XSV+게/EC
되며	되/VV+며/EC
연간	연간/NNG
3000만원의	3000/SN+만/NR+원/NNB+의/JKG
장학기금	장학/NNG+기금/NNG
출연이	출연/NNG+이/JKS
예상된다고	예상/NNG+되/XSV+ㄴ다고/EC
이천시는	이천시/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.283.4.1
조병돈 이천시장은 "㈜오비맥주가 장학기금 출연 협약을 맺어줘 여간 뿌듯하지 않다"며 "교육에 대한 투자가 시의 미래에 대한 투자라는 생각으로 교육 사업을 전개하겠다"고 말했다.

조병돈	조병돈/NNP
이천시장은	이천시장/NNG+은/JX
"㈜오비맥주가	"/SS+㈜/SW+오비맥주/NNP+가/JKS
장학기금	장학/NNG+기금/NNG
출연	출연/NNG
협약을	협약/NNG+을/JKO
맺어줘	맺/VV+어/EC+주/VX+어/EC
여간	여간/MAG
뿌듯하지	뿌듯하/VA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"교육에	"/SS+교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자가	투자/NNG+가/JKS
시의	시/NNG+의/JKG
미래에	미래/NNG+에/JKB
투자라는	투자/NNG+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
교육	교육/NNG
사업을	사업/NNG+을/JKO
전개하겠다"고	전개/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


