# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.51
metadata : {}


# id : NWRW1800000040.51.1.1
삼성, ‘휜 디스플레이’ 스마트폰 출시

삼성,	삼성/NNP+,/SP
‘휜	‘/SS+휘/VV+ㄴ/ETM
디스플레이’	디스플레이/NNG+’/SS
스마트폰	스마트폰/NNG
출시	출시/NNG


# id : NWRW1800000040.51.2.1
세계 최초…‘갤럭시 라운드’에 탑재

세계	세계/NNG
최초…‘갤럭시	최초/NNG+…/SE+‘/SS+갤럭시/NNP
라운드’에	라운드/NNP+’/SS+에/JKB
탑재	탑재/NNG


# id : NWRW1800000040.51.3.1
삼성전자가 세계 최초로 플렉서블 디스플레이를 탑재한 스마트폰을 선보였다.

삼성전자가	삼성전자/NNP+가/JKS
세계	세계/NNG
최초로	최초/NNG+로/JKB
플렉서블	플렉서블/NNG
디스플레이를	디스플레이/NNG+를/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
스마트폰을	스마트폰/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.51.3.2
좌우로 오목하게 휘어진 곡면(커브드) 모양의 스마트폰이다.

좌우로	좌우/NNG+로/JKB
오목하게	오목/MAG+하/XSA+게/EC
휘어진	휘어지/VV+ㄴ/ETM
곡면(커브드)	곡면/NNG+(/SS+커브드/NNG+)/SS
모양의	모양/NNG+의/JKG
스마트폰이다.	스마트폰/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.51.4.1
삼성전자는 10일 커브드 스마트폰 ‘갤럭시 라운드’를 국내에 출시한다.

삼성전자는	삼성전자/NNP+는/JX
10일	10/SN+일/NNB
커브드	커브드/NNG
스마트폰	스마트폰/NNG
‘갤럭시	‘/SS+갤럭시/NNP
라운드’를	라운드/NNP+’/SS+를/JKO
국내에	국내/NNG+에/JKB
출시한다.	출시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.51.4.2
이 스마트폰은 5.7인치 크기의 플렉서블 디스플레이를 채용해 곡률 반경 400㎜의 크기로 휘어져 있다.

이	이/MMD
스마트폰은	스마트폰/NNG+은/JX
5.7인치	5/SN+./SP+7/SN+인치/NNB
크기의	크기/NNG+의/JKG
플렉서블	플렉서블/NNG
디스플레이를	디스플레이/NNG+를/JKO
채용해	채용/NNG+하/XSV+아/EC
곡률	곡률/NNG
반경	반경/NNG
400㎜의	400/SN+㎜/SW+의/JKG
크기로	크기/NNG+로/JKB
휘어져	휘어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.51.4.3
곡률 반경은 휘어진 정도를 나타내는 단위인데, 이 제품은 직경 40㎝의 원형을 잘라낸 정도로 휘어 있다는 뜻이다.

곡률	곡률/NNG
반경은	반경/NNG+은/JX
휘어진	휘어지/VV+ㄴ/ETM
정도를	정도/NNG+를/JKO
나타내는	나타내/VV+는/ETM
단위인데,	단위/NNG+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
제품은	제품/NNG+은/JX
직경	직경/NNG
40㎝의	40/SN+㎝/SW+의/JKG
원형을	원형/NNG+을/JKO
잘라낸	자르/VV+아/EC+내/VX+ㄴ/ETM
정도로	정도/NNG+로/JKB
휘어	휘/VV+어/EC
있다는	있/VX+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.51.4.4
제품 사진을 보면 상당히 오목하게 휘어져 있다.

제품	제품/NNG
사진을	사진/NNG+을/JKO
보면	보/VV+면/EC
상당히	상당히/MAG
오목하게	오목/MAG+하/XSA+게/EC
휘어져	휘어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.51.4.5
삼성은 예전에 넥서스S라는, 아래위가 오목하게 휘어진 스마트폰을 출시한 바 있는데 이때는 플렉서블 디스플레이가 아니라 평평한 화면을 덮은 유리를 곡면으로 깎은 제품이었다.

삼성은	삼성/NNP+은/JX
예전에	예전/NNG+에/JKB
넥서스S라는,	넥서스S/NNP+이/VCP+라는/ETM+,/SP
아래위가	아래위/NNG+가/JKS
오목하게	오목/MAG+하/XSA+게/EC
휘어진	휘어지/VV+ㄴ/ETM
스마트폰을	스마트폰/NNG+을/JKO
출시한	출시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있는데	있/VA+는데/EC
이때는	이때/NNG+는/JX
플렉서블	플렉서블/NNG
디스플레이가	디스플레이/NNG+가/JKC
아니라	아니/VCN+라/EC
평평한	평평하/VA+ㄴ/ETM
화면을	화면/NNG+을/JKO
덮은	덮/VV+은/ETM
유리를	유리/NNG+를/JKO
곡면으로	곡면/NNG+으로/JKB
깎은	깎/VV+은/ETM
제품이었다.	제품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.51.5.1
갤럭시 라운드가 플렉서블 디스플레이를 채용하기는 했지만 스마트폰 자체는 휘어진 채로 고정된 형태다.

갤럭시	갤럭시/NNP
라운드가	라운드/NNP+가/JKS
플렉서블	플렉서블/NNG
디스플레이를	디스플레이/NNG+를/JKO
채용하기는	채용/NNG+하/XSV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
스마트폰	스마트폰/NNG
자체는	자체/NNG+는/JX
휘어진	휘어지/VV+ㄴ/ETM
채로	채/NNB+로/JKB
고정된	고정/NNG+되/XSV+ㄴ/ETM
형태다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.51.5.2
아직 배터리 등 다른 부품을 휘는 데까지는 기술이 발전하지 않았기 때문이다.

아직	아직/MAG
배터리	배터리/NNG
등	등/NNB
다른	다른/MMD
부품을	부품/NNG+을/JKO
휘는	휘/VV+는/ETM
데까지는	데/NNB+까지/JX+는/JX
기술이	기술/NNG+이/JKS
발전하지	발전/NNG+하/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.51.5.3
삼성전자 쪽은 오목하게 휘어진 디자인으로 세련된 느낌을 주는 동시에 화면이 꺼진 스마트폰을 좌우로 기울이면 날짜와 시간 등을 화면에 띄우는 ‘라운드 인터렉션’ 등의 새로운 사용자경험(UX) 등이 기존 스마트폰과 차별화된다고 설명했다.

삼성전자	삼성전자/NNP
쪽은	쪽/NNB+은/JX
오목하게	오목/MAG+하/XSA+게/EC
휘어진	휘어지/VV+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
세련된	세련/NNG+되/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
주는	주/VV+는/ETM
동시에	동시/NNG+에/JKB
화면이	화면/NNG+이/JKS
꺼진	꺼지/VV+ㄴ/ETM
스마트폰을	스마트폰/NNG+을/JKO
좌우로	좌우/NNG+로/JKB
기울이면	기울이/VV+면/EC
날짜와	날짜/NNG+와/JC
시간	시간/NNG
등을	등/NNB+을/JKO
화면에	화면/NNG+에/JKB
띄우는	띄우/VV+는/ETM
‘라운드	‘/SS+라운드/NNG
인터렉션’	인터렉션/NNG+’/SS
등의	등/NNB+의/JKG
새로운	새롭/VA+ㄴ/ETM
사용자경험(UX)	사용자/NNG+경험/NNG+(/SS+UX/SL+)/SS
등이	등/NNB+이/JKS
기존	기존/NNG
스마트폰과	스마트폰/NNG+과/JKB
차별화된다고	차별/NNG+화/XSN+되/XSV+ㄴ다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.51.5.4
플라스틱으로 만든 디스플레이를 채용한 덕분에 떨어뜨렸을때 화면이 깨질 가능성도 크게 줄어들었다.

플라스틱으로	플라스틱/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
디스플레이를	디스플레이/NNG+를/JKO
채용한	채용/NNG+하/XSV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
떨어뜨렸을때	떨어뜨리/VV+었/EP+을/ETM+때/NNG
화면이	화면/NNG+이/JKS
깨질	깨지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
크게	크/VA+게/EC
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.51.6.1
하지만 그 외에는 화면이 휘어져 있어서 생기는 이점이 별달리 보이지 않는다.

하지만	하지만/MAJ
그	그/NP
외에는	외/NNB+에/JKB+는/JX
화면이	화면/NNG+이/JKS
휘어져	휘어지/VV+어/EC
