# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.109
metadata : {}


# id : NWRW1800000022.109.1.1
'Big Think(대담한 아이디어)'로 경쟁력 키우는 한진중공업;수비크 생산성 발판으로 글로벌 조선소로 도약

'Big	'/SS+Big/SL
Think(대담한	Think/SL+(/SS+대담/NNG+하/XSA+ㄴ/ETM
아이디어)'로	아이디어/NNG+)/SS+'/SS+로/JKB
경쟁력	경쟁력/NNG
키우는	키우/VV+는/ETM
한진중공업;수비크	한진중공업/NNP+;/SP+수비크/NNP
생산성	생산/NNG+성/XSN
발판으로	발판/NNG+으로/JKB
글로벌	글로벌/NNG
조선소로	조선소/NNG+로/JKB
도약	도약/NNG


# id : NWRW1800000022.109.2.1
'빅 싱크(Big Think).'

'빅	'/SS+빅/NNG
싱크(Big	싱크/NNG+(/SS+Big/SL
Think).'	Think/SL+)/SS+./SF+'/SS


# id : NWRW1800000022.109.3.1
한진중공업은 '기존의 틀에 박히고 관행적인 생각을 깨뜨리고 보다 창조적이고 대담한 아이디어를 갖추자'는 이 개념을 경영 패러다임으로 삼고 있다.

한진중공업은	한진중공업/NNP+은/JX
'기존의	'/SS+기존/NNG+의/JKG
틀에	틀/NNG+에/JKB
박히고	박히/VV+고/EC
관행적인	관행/NNG+적/XSN+이/VCP+ㄴ/ETM
생각을	생각/NNG+을/JKO
깨뜨리고	깨뜨리/VV+고/EC
보다	보다/MAG
창조적이고	창조/NNG+적/XSN+이/VCP+고/EC
대담한	대담/NNG+하/XSA+ㄴ/ETM
아이디어를	아이디어/NNG+를/JKO
갖추자'는	갖추/VV+자/EF+'/SS+는/ETM
이	이/MMD
개념을	개념/NNG+을/JKO
경영	경영/NNG
패러다임으로	패러다임/NNG+으로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.109.4.1
필리핀 수비크 조선소는 한진중공업의 가장 대표적인 '빅 싱크' 산물로 꼽힌다.

필리핀	필리핀/NNP
수비크	수비크/NNP
조선소는	조선소/NNG+는/JX
한진중공업의	한진중공업/NNP+의/JKG
가장	가장/MAG
