# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.11
metadata : {}


# id : NWRW1800000054.11.1.1
'터미네이터' 슈워제네거 "트럼프 얼굴 박살내고파"

'터미네이터'	'/SS+터미네이터/NNP+'/SS
슈워제네거	슈워제네거/NNP
"트럼프	"/SS+트럼프/NNP
얼굴	얼굴/NNG
박살내고파"	박살/NNG+내/VV+고/EC+프/VX+아/EF+"/SS


# id : NWRW1800000054.11.2.1
시청률 하락 조롱당하자 발끈 "대통령 일이나 열심히" 충고도

시청률	시청/NNG+률/XSN
하락	하락/NNG
조롱당하자	조롱/NNG+당하/XSV+자/EC
발끈	발끈/MAG
"대통령	"/SS+대통령/NNG
일이나	일/NNG+이나/JX
열심히"	열심히/MAG+"/SS
충고도	충고/NNG+도/JX


# id : NWRW1800000054.11.3.1
영화 '터미네이터'의 주연배우이자 전 캘리포니아 주지사인 아놀드 슈워제네거(70 ·사진)가 "도널드 트럼프 대통령의 얼굴을 박살 내고 싶었다"고 말한 것으로 미 의회전문지 '더 힐'이 6일(현지 시각) 보도했다.

영화	영화/NNG
'터미네이터'의	'/SS+터미네이터/NNP+'/SS+의/JKG
주연배우이자	주연/NNG+배우/NNG+이/VCP+자/EC
전	전/MMD
캘리포니아	캘리포니아/NNP
주지사인	주지사/NNG+이/VCP+ㄴ/ETM
아놀드	아놀드/NNP
슈워제네거(70	슈워제네거/NNP+(/SS+70/SN
·사진)가	·/SP+사진/NNG+)/SS+가/JKS
"도널드	"/SS+도널드/NNP
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
박살	박살/NNG
내고	내/VV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
미	미/NNP
의회전문지	의회/NNG+전문지/NNG
'더	'/SS+더/NNP
힐'이	힐/NNP+'/SS+이/JKS
6일(현지	6/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.11.3.2
최근 자신이 진행하는 NBC 방송 리얼리티쇼 '어프렌티스(견습생)'의 시청률이 떨어진 것을 두고 과거 진행자였던 트럼프 대통령이 공개적으로 비판한 것에 대한 반응이었다.

최근	최근/MAG
자신이	자신/NNG+이/JKS
진행하는	진행/NNG+하/XSV+는/ETM
NBC	NBC/SL
방송	방송/NNG
리얼리티쇼	리얼리티/NNG+쇼/NNG
'어프렌티스(견습생)'의	'/SS+어프렌티스/NNG+(/SS+견습생/NNG+)/SS+'/SS+의/JKG
시청률이	시청/NNG+률/XSN+이/JKS
떨어진	떨어지/VV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
과거	과거/NNG
진행자였던	진행자/NNG+이/VCP+었/EP+던/ETM
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
비판한	비판/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
반응이었다.	반응/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.11.4.1
슈워제네거는 이날 헬스 전문지 '맨스 저널' 인터뷰에서 "(트럼프가 시청률을 비판했을 때) 비서에게 '트럼프가 취임하기 전 뉴욕에 가서 면담을 요청한 뒤, 그의 얼굴을 테이블에 쳐서 박살 낼 걸 그랬다'고 말했다"며 "그러나 지금은 그런 일을 할 수 없다.

슈워제네거는	슈워제네거/NNP+는/JX
이날	이날/NNG
헬스	헬스/NNG
전문지	전문지/NNG
'맨스	'/SS+맨스/NA
저널'	저널/NNP+'/SS
인터뷰에서	인터뷰/NNG+에서/JKB
"(트럼프가	"/SS+(/SS+트럼프/NNP+가/JKS
시청률을	시청/NNG+률/XSN+을/JKO
비판했을	비판/NNG+하/XSV+았/EP+을/ETM
때)	때/NNG+)/SS
비서에게	비서/NNG+에게/JKB
'트럼프가	'/SS+트럼프/NNP+가/JKS
취임하기	취임/NNG+하/XSV+기/ETN
전	전/NNG
뉴욕에	뉴욕/NNP+에/JKB
가서	가/VV+아서/EC
면담을	면담/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
그의	그/NP+의/JKG
얼굴을	얼굴/NNG+을/JKO
테이블에	테이블/NNG+에/JKB
쳐서	치/VV+어서/EC
박살	박살/NNG
