# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.197
metadata : {}


# id : NWRW1800000054.197.1.1
[호남의 '문화 3景'] 臣에게는… 땅끝마을에 '67개의 작품'이 있사옵니다

[호남의	[/SS+호남/NNP+의/JKG
'문화	'/SS+문화/NNG
3景']	3/SN+景/SH+'/SS+]/SS
臣에게는…	臣/SH+에게/JKB+는/JX+…/SE
땅끝마을에	땅끝마을/NNP+에/JKB
'67개의	'/SS+67/SN+개/NNB+의/JKG
작품'이	작품/NNG+'/SS+이/JKS
있사옵니다	있/VA+사옵니다/EF


# id : NWRW1800000054.197.2.1
忠武公의 기개·예술인들의 집념 느껴볼 텐가

忠武公의	忠武公/SH+의/JKG
기개·예술인들의	기개/NNG+·/SP+예술인/NNG+들/XSN+의/JKG
집념	집념/NNG
느껴볼	느끼/VV+어/EC+보/VX+ㄹ/ETM
텐가	터/NNB+이/VCP+ㄴ가/EF


# id : NWRW1800000054.197.3.1
전남 해남군 문내면 우수영 여객선터미널에서 '우수영문화마을' 쪽으로 2~3분을 걸으면 아담한 건물 하나가 나타난다.

전남	전남/NNP
해남군	해남군/NNP
문내면	문내면/NNP
우수영	우수영/NNP
여객선터미널에서	여객선/NNG+터미널/NNG+에서/JKB
'우수영문화마을'	'/SS+우수영문화마을/NNP+'/SS
쪽으로	쪽/NNB+으로/JKB
2~3분을	2/SN+~/SO+3/SN+분/NNB+을/JKO
걸으면	걷/VV+으면/EC
아담한	아담하/VA+ㄴ/ETM
건물	건물/NNG
하나가	하나/NR+가/JKS
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.197.3.2
제일여관이다.

제일여관이다.	제일여관/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000054.197.3.3
목조 기와 지붕이 고즈넉한 어촌 마을과 어울린다.

목조	목조/NNG
기와	기와/NNG
지붕이	지붕/NNG+이/JKS
고즈넉한	고즈넉하/VA+ㄴ/ETM
어촌	어촌/NNG
마을과	마을/NNG+과/JKB
어울린다.	어울리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.197.3.4
1938년 지어진 이 여관은 1984년 해남과 진도를 잇는 진도대교가 개통하기 전까지 진도 군민들이 애용했다.

1938년	1938/SN+년/NNB
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
이	이/MMD
여관은	여관/NNG+은/JX
1984년	1984/SN+년/NNB
해남과	해남/NNP+과/JC
진도를	진도/NNP+를/JKO
잇는	잇/VV+는/ETM
진도대교가	진도대교/NNP+가/JKS
개통하기	개통/NNG+하/XSV+기/ETN
전까지	전/NNG+까지/JX
진도	진도/NNP
군민들이	군민/NNG+들/XSN+이/JKS
애용했다.	애용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.3.5
예전엔 하루 여덟 번씩 두 곳을 오가는 여객선이 있었다.

예전엔	예전/NNG+에/JKB+ㄴ/JX
하루	하루/NNG
여덟	여덟/NR
번씩	번/NNB+씩/XSN
두	두/MMN
곳을	곳/NNG+을/JKO
오가는	오가/VV+는/ETM
여객선이	여객선/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.197.3.6
거센 풍랑에 배가 끊기면 여관에서 하룻밤을 지내는 객이 많았다.

거센	거세/VA+ㄴ/ETM
풍랑에	풍랑/NNG+에/JKB
배가	배/NNG+가/JKS
끊기면	끊기/VV+면/EC
여관에서	여관/NNG+에서/JKB
하룻밤을	하룻밤/NNG+을/JKO
지내는	지내/VV+는/ETM
객이	객/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.197.3.7
우수영마을 주민 장남수(68)씨는 "제일여관은 마을 역사를 품은 박물관 같은 건물"이라고 말했다.

우수영마을	우수영마을/NNP
주민	주민/NNG
장남수(68)씨는	장남수/NNP+(/SS+68/SN+)/SS+씨/NNB+는/JX
"제일여관은	"/SS+제일여관/NNP+은/JX
마을	마을/NNG
역사를	역사/NNG+를/JKO
품은	품/VV+은/ETM
박물관	박물관/NNG
같은	같/VA+은/ETM
건물"이라고	건물/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.4.1
2000년 초부터 방치됐던 이 건물은 작년 2월 '생활사갤러리-제일여관'이란 이름의 공공 미술 건물로 변신했다.

2000년	2000/SN+년/NNB
초부터	초/NNB+부터/JX
방치됐던	방치/NNG+되/XSV+었/EP+던/ETM
이	이/MMD
건물은	건물/NNG+은/JX
작년	작년/NNG
2월	2/SN+월/NNB
'생활사갤러리-제일여관'이란	'/SS+생활사갤러리-제일여관/NNP+'/SS+이/VCP+란/ETM
이름의	이름/NNG+의/JKG
공공	공공/NNG
미술	미술/NNG
건물로	건물/NNG+로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.4.2
여관의 방 6개는 우수영 주민들의 일상을 담은 '사진 갤러리'와 이순신 장군의 활약상을 보여주는 '이순신 미디어관', 마을의 문화를 소리로 표현한 '소리문화관' '정재(부엌) 카페' '1920년대 초등학교 재현 교실' 등으로 재탄생했다.

여관의	여관/NNG+의/JKG
방	방/NNG
6개는	6/SN+개/NNB+는/JX
우수영	우수영/NNP
주민들의	주민/NNG+들/XSN+의/JKG
일상을	일상/NNG+을/JKO
담은	담/VV+은/ETM
'사진	'/SS+사진/NNG
갤러리'와	갤러리/NNG+'/SS+와/JC
이순신	이순신/NNP
장군의	장군/NNG+의/JKG
활약상을	활약상/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
'이순신	'/SS+이순신/NNP
미디어관',	미디어관/NNG+'/SS+,/SP
마을의	마을/NNG+의/JKG
문화를	문화/NNG+를/JKO
소리로	소리/NNG+로/JKB
표현한	표현/NNG+하/XSV+ㄴ/ETM
'소리문화관'	'/SS+소리/NNG+문화관/NNG+'/SS
'정재(부엌)	'/SS+정재/NNG+(/SS+부엌/NNG+)/SS
카페'	카페/NNG+'/SS
'1920년대	'/SS+1920/SN+년대/NNB
초등학교	초등학교/NNG
재현	재현/NNG
교실'	교실/NNG+'/SS
등으로	등/NNB+으로/JKB
재탄생했다.	재/XPN+탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.5.1
◇'지붕 없는 미술관'이 된 마을

◇'지붕	◇/SW+'/SS+지붕/NNG
없는	없/VA+는/ETM
미술관'이	미술관/NNG+'/SS+이/JKC
된	되/VV+ㄴ/ETM
마을	마을/NNG


# id : NWRW1800000054.197.6.1
우수영 성 안팎 10개 마을로 이뤄진 우수영마을은 암석 지형이라 농토가 척박하다.

우수영	우수영/NNP
성	성/NNG
안팎	안팎/NNG
10개	10/SN+개/NNB
마을로	마을/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
우수영마을은	우수영마을/NNP+은/JX
암석	암석/NNG
지형이라	지형/NNG+이/VCP+라/EC
농토가	농토/NNG+가/JKS
척박하다.	척박하/VA+다/EF+./SF


# id : NWRW1800000054.197.6.2
바닷가에 접하고도 갯벌이 없어 수산자원도 부족하다.

바닷가에	바닷가/NNG+에/JKB
접하고도	접하/VV+고도/EC
갯벌이	갯벌/NNG+이/JKS
없어	없/VA+어/EC
수산자원도	수산/NNG+자원/NNG+도/JX
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.197.6.3
주민들은 상업에 주로 의존했는데, 1970년대 이후 관공서와 초등학교 등이 다른 지역으로 빠져나가면서 급속한 침체기를 겪었다.

주민들은	주민/NNG+들/XSN+은/JX
상업에	상업/NNG+에/JKB
주로	주로/MAG
의존했는데,	의존/NNG+하/XSV+았/EP+는데/EC+,/SP
1970년대	1970/SN+년대/NNB
이후	이후/NNG
관공서와	관공서/NNG+와/JC
초등학교	초등학교/NNG
등이	등/NNB+이/JKS
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
빠져나가면서	빠져나가/VV+면서/EC
급속한	급속/NNG+하/XSA+ㄴ/ETM
침체기를	침체기/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.197.7.1
