# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.222
metadata : {}


# id : NWRW1800000041.222.1.1
유명 탈북자 2명… 보조금 유용 적발

유명	유명/NNG
탈북자	탈북자/NNG
2명…	2/SN+명/NNB+…/SE
보조금	보조금/NNG
유용	유용/NNG
적발	적발/NNG


# id : NWRW1800000041.222.2.1
탈북단체 운영자-北음식 연구가… 카드깡-허위영수증 1885만원 타내

탈북단체	탈북/NNG+단체/NNG
운영자-北음식	운영자/NNG+-/SO+北/SH+음식/NNG
연구가…	연구가/NNG+…/SE
카드깡-허위영수증	카드깡/NNG+-/SO+허위/NNG+영수증/NNG
1885만원	1885/SN+만/NR+원/NNB
타내	타/VV+아/EC+내/VX+어/EF


# id : NWRW1800000041.222.3.1
탈북자들의 자립을 위해 정부 보조금을 지원하고 있는 통일부 산하의 공공기관인 북한이탈주민지원재단(남북하나재단)이 올해 초부터 자체 감사를 벌여 일부 유력 탈북인사가 보조금을 유용한 사실을 적발한 것으로 24일 확인됐다.

탈북자들의	탈북자/NNG+들/XSN+의/JKG
자립을	자립/NNG+을/JKO
위해	위하/VV+아/EC
정부	정부/NNG
보조금을	보조금/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
통일부	통일부/NNG
산하의	산하/NNG+의/JKG
공공기관인	공공/NNG+기관/NNG+이/VCP+ㄴ/ETM
북한이탈주민지원재단(남북하나재단)이	북한이탈주민지원재단/NNP+(/SS+남북하나재단/NNP+)/SS+이/JKS
올해	올해/NNG
초부터	초/NNB+부터/JX
자체	자체/NNG
감사를	감사/NNG+를/JKO
벌여	벌이/VV+어/EC
일부	일부/NNG
유력	유력/NNG
탈북인사가	탈북/NNG+인사/NNG+가/JKS
유용한	유용/NNG+하/XSA+ㄴ/ETM
사실을	사실/NNG+을/JKO
적발한	적발/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
24일	24/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.222.4.1
재단 측은 잘못 쓰인 것으로 판단되는 약 2000만 원을 환수할 예정이다.

재단	재단/NNG
측은	측/NNB+은/JX
잘못	잘못/MAG
쓰인	쓰이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단되는	판단/NNG+되/XSV+는/ETM
약	약/MMA
2000만	2000/SN+만/NR
원을	원/NNB+을/JKO
환수할	환수/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.222.4.2
감사에 적발된 탈북자는 탈북자 관련 단체를 이끌고 있는 A 씨와 북한 전통음식 연구가로 알려진 B 씨다.

감사에	감사/NNG+에/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
탈북자는	탈북자/NNG+는/JX
탈북자	탈북자/NNG
관련	관련/NNG
단체를	단체/NNG+를/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
A	A/SL
씨와	씨/NNB+와/JC
북한	북한/NNP
전통음식	전통/NNG+음식/NNG
연구가로	연구가/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
