# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.217
metadata : {}


# id : NWRW1800000052.217.1.1
“옛문헌에 살아 숨쉬고 있는 무등산 찾아냈죠”

“옛문헌에	“/SS+옛/MMA+문헌/NNG+에/JKB
살아	살/VV+아/EC
숨쉬고	숨/NNG+쉬/VV+고/EC
있는	있/VX+는/ETM
무등산	무등산/NNP
찾아냈죠”	찾아내/VV+었/EP+죠/EF+”/SS


# id : NWRW1800000052.217.2.1
‘무등산 한시선’ 펴낸 김대현 교수

‘무등산	‘/SS+무등산/NNP
한시선’	한시선/NNG+’/SS
펴낸	펴내/VV+ㄴ/ETM
김대현	김대현/NNP
교수	교수/NNG


# id : NWRW1800000052.217.3.1
“무등산엔 옛 시인이 남긴 아름다운 인문 유산이 많이 있습니다.”

“무등산엔	“/SS+무등산/NNP+에/JKB+ㄴ/JX
옛	옛/MMA
시인이	시인/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
아름다운	아름답/VA+ㄴ/ETM
인문	인문/NNG
유산이	유산/NNG+이/JKS
많이	많이/MAG
있습니다.”	있/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000052.217.3.2
최근 무등산에 대한 한시를 옛 문헌에서 찾아 시대순으로 엮은 <무등산 한시선>을 펴낸 김대현(58) 전남대 국문과 교수는 24일 “수많은 옛 문헌 속에 무등산이 살아 숨쉬고 있었다”라고 말했다.

최근	최근/MAG
무등산에	무등산/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
한시를	한시/NNG+를/JKO
옛	옛/MMA
문헌에서	문헌/NNG+에서/JKB
찾아	찾/VV+아/EC
시대순으로	시대순/NNG+으로/JKB
엮은	엮/VV+은/ETM
<무등산	</SS+무등산/NNP
한시선>을	한시선/NNG+>/SS+을/JKO
펴낸	펴내/VV+ㄴ/ETM
김대현(58)	김대현/NNP+(/SS+58/SN+)/SS
전남대	전남대/NNP
국문과	국문과/NNG
교수는	교수/NNG+는/JX
24일	24/SN+일/NNB
“수많은	“/SS+수많/VA+은/ETM
문헌	문헌/NNG
속에	속/NNG+에/JKB
무등산이	무등산/NNP+이/JKS
살아	살/VV+아/EC
숨쉬고	숨/NNG+쉬/VV+고/EC
있었다”라고	있/VX+었/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


