# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.362
metadata : {}


# id : NWRW1800000054.362.1.1
"安후보는 부패 기득권 세력의 정권 연장 대리인"

"安후보는	"/SS+安/SH+후보/NNG+는/JX
부패	부패/NNG
기득권	기득/NNG+권/XSN
세력의	세력/NNG+의/JKG
정권	정권/NNG
연장	연장/NNG
대리인"	대리인/NNG+"/SS


# id : NWRW1800000054.362.2.1
문재인의 안철수 공격

문재인의	문재인/NNP+의/JKG
안철수	안철수/NNP
공격	공격/NNG


# id : NWRW1800000054.362.3.1
문재인 더불어민주당 후보는 10일 본지 인터뷰에서 안철수 국민의당 후보를 "정권 연장의 대리인"이라고 말했다.

문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
후보는	후보/NNG+는/JX
10일	10/SN+일/NNB
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
안철수	안철수/NNP
국민의당	국민의당/NNP
후보를	후보/NNG+를/JKO
"정권	"/SS+정권/NNG
연장의	연장/NNG+의/JKG
대리인"이라고	대리인/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.3.2
문 후보는 안 후보가 2012년 대선 때 단일화 상대였던 것에 대해 "정권 교체를 대표하는 후보(문 후보 자신)와 정권 연장의 대리인(안 후보)으로 다시 만나게 돼 안타깝다"며 "언젠가 협력할 날이 있을 것으로 기대한다"고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
안	안/NNP
후보가	후보/NNG+가/JKS
2012년	2012/SN+년/NNB
대선	대선/NNG
때	때/NNG
단일화	단일/NNG+화/XSN
상대였던	상대/NNG+이/VCP+었/EP+던/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"정권	"/SS+정권/NNG
교체를	교체/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
후보(문	후보/NNG+(/SS+문/NNP
후보	후보/NNG
자신)와	자신/NNG+)/SS+와/JC
정권	정권/NNG
연장의	연장/NNG+의/JKG
대리인(안	대리인/NNG+(/SS+안/NNP
후보)으로	후보/NNG+)/SS+으로/JKB
다시	다시/MAG
만나게	만나/VV+게/EC
돼	되/VV+어/EC
안타깝다"며	안타깝/VA+다/EF+"/SS+며/EC
"언젠가	"/SS+언젠가/MAG
협력할	협력/NNG+하/XSV+ㄹ/ETM
날이	날/NNG+이/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.4.1
문 후보는 "안 후보는 본인 품성이 어떻든 어떤 선한 의지를 가지고 있든 아직까지 인수위 없이 국정을 담당할 만한 준비가 돼있지 않다"며 "40석을 가지고 뭘 할 수 있겠나.

문	문/NNP
후보는	후보/NNG+는/JX
"안	"/SS+안/NNP
본인	본인/NNG
품성이	품성/NNG+이/JKS
어떻든	어떻든/MAG
어떤	어떤/MMD
선한	선/NNG+하/XSA+ㄴ/ETM
의지를	의지/NNG+를/JKO
가지고	가지/VV+고/EC
있든	있/VX+든/EC
아직까지	아직/MAG+까지/JX
인수위	인수위/NNG
없이	없이/MAG
국정을	국정/NNG+을/JKO
담당할	담당/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
준비가	준비/NNG+가/JKC
돼있지	되/VV+어/EC+있/VX+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"40석을	"/SS+40/SN+석/NNB+을/JKO
뭘	뭐/NP+ㄹ/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠나.	있/VA+겠/EP+나/EF+./SF


# id : NWRW1800000054.362.4.2
그러니 자유한국당이나 바른정당과 연대까지도 이야기하게 되는 것"이라고 했다.

그러니	그러/VV+니/EC
자유한국당이나	자유한국당/NNP+이나/JC
바른정당과	바른정당/NNP+과/JKB
연대까지도	연대/NNG+까지/JX+도/JX
이야기하게	이야기/NNG+하/XSV+게/EC
되는	되/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.4.3
문 후보는 또 "안 후보는 자유한국당과 연대를 하든 안 하든 그쪽 정치 세력을 대표하는 후보가 되고 있고, 사드 배치도 찬성으로 돌아섰다"며 "정권 연장 세력의 표를 얻기 위해 박근혜 전 대통령이 구속되던 날 사면 검토 발언을 했다.

문	문/NNP
후보는	후보/NNG+는/JX
또	또/MAG
"안	"/SS+안/NNP
자유한국당과	자유한국당/NNP+과/JKB
연대를	연대/NNG+를/JKO
하든	하/VV+든/EC
안	안/MAG
그쪽	그쪽/NP
정치	정치/NNG
세력을	세력/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
후보가	후보/NNG+가/JKC
되고	되/VV+고/EC
있고,	있/VX+고/EC+,/SP
사드	사드/NNG
배치도	배치/NNG+도/JX
찬성으로	찬성/NNG+으로/JKB
돌아섰다"며	돌아서/VV+었/EP+다/EF+"/SS+며/EC
"정권	"/SS+정권/NNG
연장	연장/NNG
세력의	세력/NNG+의/JKG
표를	표/NNG+를/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
박근혜	박근혜/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
구속되던	구속/NNG+되/XSV+던/ETM
날	날/NNG
사면	사면/NNG
검토	검토/NNG
발언을	발언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.4.4
또 '촛불 집회, 태극기 집회에 나가지 않겠다'며 촛불과 거리를 두기도 했는데 이런 점을 이제 국민이 평가할 것"이라고 했다.

또	또/MAG
'촛불	'/SS+촛불/NNG
집회,	집회/NNG+,/SP
태극기	태극기/NNG
집회에	집회/NNG+에/JKB
나가지	나가/VV+지/EC
않겠다'며	않/VX+겠/EP+다/EF+'/SS+며/EC
촛불과	촛불/NNG+과/JKB
거리를	거리/NNG+를/JKO
두기도	두/VV+기/ETN+도/JX
했는데	하/VX+았/EP+는데/EC
이런	이런/MMD
점을	점/NNG+을/JKO
이제	이제/MAG
국민이	국민/NNG+이/JKS
평가할	평가/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.5.1
문 후보는 "(안 후보가) 과거에는 새 정치를 말하더니 요즘은 문재인만 이야기한다"며 "성공한 벤처기업인답게 성취욕이 남다르다고 생각하지만 가치와 철학이 잘 보이지 않는다"고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
"(안	"/SS+(/SS+안/NNP
후보가)	후보/NNG+가/JKS+)/SS
과거에는	과거/NNG+에/JKB+는/JX
새	새/MMA
정치를	정치/NNG+를/JKO
말하더니	말/NNG+하/XSV+더니/EC
요즘은	요즘/NNG+은/JX
문재인만	문재인/NNP+만/JX
이야기한다"며	이야기/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"성공한	"/SS+성공/NNG+하/XSV+ㄴ/ETM
벤처기업인답게	벤처/NNG+기업인/NNG+답/XSA+게/EC
성취욕이	성취욕/NNG+이/JKS
남다르다고	남다르/VA+다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
가치와	가치/NNG+와/JC
철학이	철학/NNG+이/JKS
잘	잘/MAG
보이지	보이/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
