# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.160
metadata : {}


# id : NWRW1800000038.160.1.1
[죄의식 없는 '표절 대한민국'](6) '스펙 따기'에 눈먼 교육계

[죄의식	[/SS+죄의식/NNG
없는	없/VA+는/ETM
'표절	'/SS+표절/NNG
대한민국'](6)	대한민국/NNP+'/SS+]/SS+(/SS+6/SN+)/SS
'스펙	'/SS+스펙/NNG
따기'에	따/VV+기/ETN+'/SS+에/JKB
눈먼	눈멀/VV+ㄴ/ETM
교육계	교육/NNG+계/XSN


# id : NWRW1800000038.160.2.1
유명校 교장·교감도 줄줄이 '논문 짜깁기'… 도를 넘은 교육자 표절

유명校	유명/NNG+校/SH
교장·교감도	교장/NNG+·/SP+교감/NNG+도/JX
줄줄이	줄줄이/MAG
'논문	'/SS+논문/NNG
짜깁기'…	짜깁기/NNG+'/SS+…/SE
도를	도/NNG+를/JKO
넘은	넘/VV+은/ETM
교육자	교육자/NNG
표절	표절/NNG


# id : NWRW1800000038.160.3.1
사회 명사와 대학교수, 예·체능계 인사들에 이어 일선 서울 일대 고교 교장·교감들의 논문 표절도 심각한 것으로 밝혀졌다.

사회	사회/NNG
명사와	명사/NNG+와/JC
대학교수,	대학교수/NNG+,/SP
예·체능계	예·체능/NNG+계/XSN
인사들에	인사/NNG+들/XSN+에/JKB
이어	잇/VV+어/EC
일선	일선/NNG
서울	서울/NNP
일대	일대/NNG
고교	고교/NNG
교장·교감들의	교장/NNG+·/SP+교감/NNG+들/XSN+의/JKG
논문	논문/NNG
표절도	표절/NNG+도/JX
심각한	심각하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.3.2
1일 본지 확인 결과 서울 A외고 B교장과 강남구의 유명 공립 C고교의 D교장, 자율형 사립 E고교 F교감의 학위논문 상당 부분이 다른 연구자의 학위논문이나 학술지를 베낀 것으로 드러났다.

1일	1/SN+일/NNB
본지	본지/NNG
확인	확인/NNG
결과	결과/NNG
서울	서울/NNP
A외고	A/SL+외고/NNG
B교장과	B/SL+교장/NNG+과/JC
강남구의	강남구/NNP+의/JKG
유명	유명/NNG
공립	공립/NNG
C고교의	C/SL+고교/NNG+의/JKG
D교장,	D/SL+교장/NNG+,/SP
자율형	자율/NNG+형/XSN
사립	사립/NNG
E고교	E/SL+고교/NNG
F교감의	F/SL+교감/NNG+의/JKG
학위논문	학위/NNG+논문/NNG
상당	상당/NNG
부분이	부분/NNG+이/JKS
다른	다른/MMD
연구자의	연구자/NNG+의/JKG
학위논문이나	학위/NNG+논문/NNG+이나/JC
학술지를	학술지/NNG+를/JKO
베낀	베끼/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.4.1
A외고 B교장의 2008년 홍익대 대학원 박사 학위논문 '학교장의 감성 지능 및 직무 역량이 리더-구성원 교환관계(LMX)를 매개로 직무 만족과 조직 몰입에 미치는 영향'은 최소 2편의 기존 학위논문을 짜깁기한 것으로 확인됐다.

A외고	A/SL+외고/NNG
B교장의	B/SL+교장/NNG+의/JKG
2008년	2008/SN+년/NNB
홍익대	홍익대/NNP
대학원	대학원/NNG
박사	박사/NNG
학위논문	학위/NNG+논문/NNG
'학교장의	'/SS+학교장/NNG+의/JKG
감성	감성/NNG
지능	지능/NNG
및	및/MAG
직무	직무/NNG
역량이	역량/NNG+이/JKS
리더-구성원	리더/NNG+-/SO+구성원/NNG
교환관계(LMX)를	교환/NNG+관계/NNG+(/SS+LMX/SL+)/SS+를/JKO
매개로	매개/NNG+로/JKB
만족과	만족/NNG+과/JC
조직	조직/NNG
몰입에	몰입/NNG+에/JKB
미치는	미치/VV+는/ETM
영향'은	영향/NNG+'/SS+은/JX
최소	최소/NNG
2편의	2/SN+편/NNB+의/JKG
기존	기존/NNG
학위논문을	학위/NNG+논문/NNG+을/JKO
짜깁기한	짜깁기/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.4.2
국내 다른 연구자의 학위논문을 토씨 하나 바꾸지 않았고, 최소 8쪽을 '복사'하는 수준으로 베꼈다.

국내	국내/NNG
다른	다른/MMD
연구자의	연구자/NNG+의/JKG
학위논문을	학위/NNG+논문/NNG+을/JKO
토씨	토씨/NNG
하나	하나/NR
바꾸지	바꾸/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
최소	최소/NNG
8쪽을	8/SN+쪽/NNG+을/JKO
'복사'하는	'/SS+복사/NNG+'/SS+하/VV+는/ETM
수준으로	수준/NNG+으로/JKB
베꼈다.	베끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.5.1
B교장은 표절 대상 논문이 새롭게 해석한 창의적 개념도 자신의 연구 성과인 양 그대로 베꼈다.

B교장은	B/SL+교장/NNG+은/JX
표절	표절/NNG
대상	대상/NNG
논문이	논문/NNG+이/JKS
새롭게	새롭/VA+게/EC
해석한	해석/NNG+하/XSV+ㄴ/ETM
창의적	창의/NNG+적/XSN
개념도	개념/NNG+도/JX
자신의	자신/NNG+의/JKG
연구	연구/NNG
성과인	성과/NNG+이/VCP+ㄴ/ETM
양	양/NNB
그대로	그대로/MAG
베꼈다.	베끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.6.1
공립 C고교 D교장의 2009년 홍익대 박사 학위논문 '교육 전문직 평가의 준거 개발에 관한 연구' 역시 상당 부분 표절로 드러났다.

공립	공립/NNG
C고교	C/SL+고교/NNG
D교장의	D/SL+교장/NNG+의/JKG
2009년	2009/SN+년/NNB
홍익대	홍익대/NNP
박사	박사/NNG
학위논문	학위/NNG+논문/NNG
'교육	'/SS+교육/NNG
전문직	전문직/NNG
평가의	평가/NNG+의/JKG
준거	준거/NNG
개발에	개발/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구'	연구/NNG+'/SS
역시	역시/MAG
상당	상당/NNG
부분	부분/NNG
표절로	표절/NNG+로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.6.2
그는 국내 연구자의 학위논문 3편 이상을 그대로 짜깁기해 논문을 작성했으며, 문장 속 어미(語尾)와 단어 일부만 교체하는 수법을 썼다.

그는	그/NP+는/JX
국내	국내/NNG
연구자의	연구자/NNG+의/JKG
학위논문	학위/NNG+논문/NNG
3편	3/SN+편/NNB
이상을	이상/NNG+을/JKO
그대로	그대로/MAG
짜깁기해	짜깁기/NNG+하/XSV+아/EC
논문을	논문/NNG+을/JKO
작성했으며,	작성/NNG+하/XSV+았/EP+으며/EC+,/SP
문장	문장/NNG
속	속/NNG
어미(語尾)와	어미/NNG+(/SS+語尾/SH+)/SS+와/JC
단어	단어/NNG
일부만	일부/NNG+만/JX
교체하는	교체/NNG+하/XSV+는/ETM
수법을	수법/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.6.3
'교장'을 '교육 전문직'으로, '역할이다'를 '역할을 수행하는 것이다'는 식으로 일부만을 바꿨다.

'교장'을	'/SS+교장/NNG+'/SS+을/JKO
'교육	'/SS+교육/NNG
전문직'으로,	전문직/NNG+'/SS+으로/JKB+,/SP
'역할이다'를	'/SS+역할/NNG+이/VCP+다/EF+'/SS+를/JKO
