# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.376
metadata : {}


# id : NWRW1800000033.376.1.1
‘신불자 빚독촉 기한 연장訴’ 공방 가열

‘신불자	‘/SS+신불자/NNG
빚독촉	빚/NNG+독촉/NNG
기한	기한/NNG
연장訴’	연장/NNG+訴/SH+’/SS
공방	공방/NNG
가열	가열/NNG


# id : NWRW1800000033.376.2.1
與 “캠코의 선임료 700억 중 친노 변호사에 307억 편중” 文측 “朴후보 올케 속했던 로펌, 캠코에서 같은 소송 수임”

與	與/SH
“캠코의	“/SS+캠코/NNP+의/JKG
선임료	선임료/NNG
700억	700/SN+억/NR
중	중/NNB
친노	친/XPN+노/NNP
변호사에	변호사/NNG+에/JKB
307억	307/SN+억/NR
편중”	편중/NNG+”/SS
文측	文/SH+측/NNB
“朴후보	“/SS+朴/SH+후보/NNG
올케	올케/NNG
속했던	속하/VV+았/EP+던/ETM
로펌,	로펌/NNG+,/SP
캠코에서	캠코/NNP+에서/JKB
같은	같/VA+은/ETM
소송	소송/NNG
수임”	수임/NNG+”/SS


# id : NWRW1800000033.376.3.1
새누리당은 16일 참여정부 시절 친노(친노무현) 성향의 변호사들이 금융채무 불이행자(옛 신용불량자)의 채권 소멸시효 연장 소송을 대리하고 한국자산관리공사(캠코)로부터 막대한 이익을 챙기는 과정에 권력이 개입한 것이 아니냐는 의혹을 제기했다.

새누리당은	새누리당/NNP+은/JX
16일	16/SN+일/NNB
참여정부	참여/NNG+정부/NNG
시절	시절/NNG
친노(친노무현)	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS
성향의	성향/NNG+의/JKG
변호사들이	변호사/NNG+들/XSN+이/JKS
금융채무	금융/NNG+채무/NNG
불이행자(옛	불이행자/NNG+(/SS+옛/MMA
신용불량자)의	신용/NNG+불량자/NNG+)/SS+의/JKG
채권	채권/NNG
소멸시효	소멸/NNG+시효/NNG
연장	연장/NNG
소송을	소송/NNG+을/JKO
대리하고	대리/NNG+하/XSV+고/EC
한국자산관리공사(캠코)로부터	한국자산관리공사/NNP+(/SS+캠코/NNP+)/SS+로부터/JKB
막대한	막대하/VA+ㄴ/ETM
이익을	이익/NNG+을/JKO
챙기는	챙기/VV+는/ETM
과정에	과정/NNG+에/JKB
권력이	권력/NNG+이/JKS
개입한	개입/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
