# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.79
metadata : {}


# id : NWRW1800000037.79.1.1
[Culture]엑소 “팀워크가 탄탄해 깜짝 1위 올랐나봐요”

[Culture]엑소	[/SS+Culture/SL+]/SS+엑소/NNP
“팀워크가	“/SS+팀워크/NNG+가/JKS
탄탄해	탄탄하/VA+아/EC
깜짝	깜짝/MAG
1위	1/SN+위/NNB
올랐나봐요”	오르/VV+았/EP+나/EC+보/VX+아요/EF+”/SS


# id : NWRW1800000037.79.2.1
‘XOXO’ 앨범 발표한 12인그룹 엑소 “축구-농구하며 뒤엉키고 밤엔 수다떨죠”

‘XOXO’	‘/SS+XOXO/SL+’/SS
앨범	앨범/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
12인그룹	12/SN+인/NNG+그룹/NNG
엑소	엑소/NNP
“축구-농구하며	“/SS+축구/NNG+-/SO+농구/NNG+하/XSV+며/EC
뒤엉키고	뒤엉키/VV+고/EC
밤엔	밤/NNG+에/JKB+ㄴ/JX
수다떨죠”	수다/NNG+떨/VV+죠/EF+”/SS


# id : NWRW1800000037.79.3.1
‘꽃미남’ 늑대들이 가요계를 집어삼키고 있다.

‘꽃미남’	‘/SS+꽃미남/NNG+’/SS
늑대들이	늑대/NNG+들/XSN+이/JKS
가요계를	가요/NNG+계/XSN+를/JKO
집어삼키고	집어삼키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.4.1
엑소(EXO·카이 시우민 루한 첸 수호 레이 크리스 찬열 타오 백현 디오 세훈)는 곱상한 외모에 거침없는 무대 퍼포먼스가 인상적인 데뷔 2년차 남성 그룹이다.

엑소(EXO·카이	엑소/NNP+(/SS+EXO/SL+·/SP+카이/NNP
시우민	시우민/NNP
루한	루한/NNP
첸	첸/NNP
수호	수호/NNP
레이	레이/NNP
크리스	크리스/NNP
찬열	찬열/NNP
타오	타오/NNP
백현	백현/NNP
디오	디오/NNP
세훈)는	세훈/NNP+)/SS+는/JX
곱상한	곱상/NNG+하/XSA+ㄴ/ETM
외모에	외모/NNG+에/JKB
거침없는	거침없/VA+는/ETM
무대	무대/NNG
퍼포먼스가	퍼포먼스/NNG+가/JKS
