# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.209
metadata : {}


# id : NWRW1800000045.209.1.1
현대車 정몽구 회장, 청년희망펀드에 150억 기부

현대車	현대車/NNP
정몽구	정몽구/NNP
회장,	회장/NNG+,/SP
청년희망펀드에	청년희망펀드/NNP+에/JKB
150억	150/SN+억/NR
기부	기부/NNG


# id : NWRW1800000045.209.2.1
그룹 임원진도 50억 동참

그룹	그룹/NNG
임원진도	임원진/NNG+도/JX
50억	50/SN+억/NR
동참	동참/NNG


# id : NWRW1800000045.209.3.1
정몽구 현대자동차그룹 회장(사진)과 그룹 임원들이 청년 일자리 창출을 위해 조성된 ‘청년희망펀드’에 200억 원을 기부한다.

정몽구	정몽구/NNP
현대자동차그룹	현대자동차그룹/NNP
회장(사진)과	회장/NNG+(/SS+사진/NNG+)/SS+과/JC
그룹	그룹/NNG
임원들이	임원/NNG+들/XSN+이/JKS
청년	청년/NNG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위해	위하/VV+아/EC
조성된	조성/NNG+되/XSV+ㄴ/ETM
‘청년희망펀드’에	‘/SS+청년희망펀드/NNP+’/SS+에/JKB
200억	200/SN+억/NR
원을	원/NNB+을/JKO
기부한다.	기부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.209.3.2
현대차그룹은 25일 “정 회장이 사재 150억 원을 청년희망펀드에 기부하고 그룹 임원진도 50억 원을 내놓아 동참하기로 결정했다”고 밝혔다.

현대차그룹은	현대차그룹/NNP+은/JX
25일	25/SN+일/NNB
“정	“/SS+정/NNP
회장이	회장/NNG+이/JKS
사재	사재/NNG
150억	150/SN+억/NR
원을	원/NNB+을/JKO
청년희망펀드에	청년희망펀드/NNP+에/JKB
기부하고	기부/NNG+하/XSV+고/EC
그룹	그룹/NNG
임원진도	임원진/NNG+도/JX
50억	50/SN+억/NR
내놓아	내놓/VV+아/EC
동참하기로	동참/NNG+하/XSV+기/ETN+로/JKB
결정했다”고	결정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.209.3.3
청년희망펀드에 기탁된 기부금은 청년 취업 기회 확대 및 구직 애로 원인 해소, 민간 일자리 창출 지원 사업 등에 사용될 예정이다.

청년희망펀드에	청년희망펀드/NNP+에/JKB
기탁된	기탁/NNG+되/XSV+ㄴ/ETM
기부금은	기부금/NNG+은/JX
청년	청년/NNG
취업	취업/NNG
기회	기회/NNG
확대	확대/NNG
및	및/MAG
구직	구직/NNG
애로	애로/NNG
원인	원인/NNG
해소,	해소/NNG+,/SP
민간	민간/NNG
일자리	일자리/NNG
창출	창출/NNG
지원	지원/NNG
사업	사업/NNG
등에	등/NNB+에/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.209.4.1
현대차그룹 측은 “정 회장이 청년 일자리 창출을 위한 사회적 노력에 공감하고, 청년들이 미래에 대한 희망을 갖고 창의적 도전을 할 수 있도록 지원해야 한다는 사회공헌 철학에 따라 기부한 것”이라고 설명했다.

현대차그룹	현대차그룹/NNP
