# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.39
metadata : {}


# id : NWRW1800000038.39.1.1
이란도 놀랐다, 새 대통령에 실용주의 온건파

이란도	이란/NNP+도/JX
놀랐다,	놀라/VV+았/EP+다/EF+,/SP
새	새/MMA
대통령에	대통령/NNG+에/JKB
실용주의	실용주의/NNG
온건파	온건파/NNG


# id : NWRW1800000038.39.2.1
로하니 압승… 유세 때 "경제살리겠다"며 서방과 관계개선 약속

로하니	로하니/NNP
압승…	압승/NNG+…/SE
유세	유세/NNG
때	때/NNG
"경제살리겠다"며	"/SS+경제/NNG+살리/VV+겠/EP+다/EF+"/SS+며/EC
서방과	서방/NNG+과/JKB
관계개선	관계/NNG+개선/NNG
약속	약속/NNG


# id : NWRW1800000038.39.3.1
"극단주의에 대한 온건의 승리다."

"극단주의에	"/SS+극단주의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
온건의	온건/NNG+의/JKG
승리다."	승리/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000038.39.4.1
지난 14일(현지 시각) 치러진 이란 대선에서 중도파 후보 하산 로하니(64)가 11대 대통령에 당선됐다.

지난	지나/VV+ㄴ/ETM
14일(현지	14/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
이란	이란/NNP
대선에서	대선/NNG+에서/JKB
중도파	중도파/NNG
후보	후보/NNG
하산	하산/NNP
로하니(64)가	로하니/NNP+(/SS+64/SN+)/SS+가/JKS
11대	11/SN+대/NNB
대통령에	대통령/NNG+에/JKB
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.39.4.2
'최고지도자 아야톨라 알리 하메네이에 대한 개혁파의 도전'이란 평을 들었던 이번 대선에서 이슬람 성직자 출신의 로하니가 50.7%의 지지를 받아 압승한 것이다.

'최고지도자	'/SS+최고/NNG+지도자/NNG
아야톨라	아야톨라/NNP
알리	알리/NNP
하메네이에	하메네이/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
개혁파의	개혁파/NNG+의/JKG
도전'이란	도전/NNG+'/SS+이/VCP+란/ETM
평을	평/NNG+을/JKO
들었던	듣/VV+었/EP+던/ETM
이번	이번/NNG
대선에서	대선/NNG+에서/JKB
이슬람	이슬람/NNG
성직자	성직자/NNG
출신의	출신/NNG+의/JKG
로하니가	로하니/NNP+가/JKS
50.7%의	50/SN+./SP+7/SN+%/SW+의/JKG
지지를	지지/NNG+를/JKO
받아	받/VV+아/EC
압승한	압승/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.4.3
이란 내에서조차 "믿을 수 없다"는 반응이 나오고 있다고 뉴욕타임스(NYT)가 15일 전했다.

이란	이란/NNP
내에서조차	내/NNB+에서/JKB+조차/JX
"믿을	"/SS+믿/VV+을/ETM
수	수/NNB
없다"는	없/VA+다/EF+"/SS+는/ETM
반응이	반응/NNG+이/JKS
나오고	나오/VV+고/EC
있다고	있/VX+다고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
15일	15/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.4.4
이란 관영 프레스TV는 "예상치 못한 뜻밖의 결과가 나왔다"며 "로하니 지지자 수만명이 수도 테헤란의 거리로 몰려나왔다"고 전했다.

이란	이란/NNP
관영	관영/NNG
프레스TV는	프레스TV/NNP+는/JX
"예상치	"/SS+예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
뜻밖의	뜻밖/NNG+의/JKG
결과가	결과/NNG+가/JKS
나왔다"며	나오/VV+았/EP+다/EF+"/SS+며/EC
"로하니	"/SS+로하니/NNP
지지자	지지자/NNG
수만명이	수만/NR+명/NNB+이/JKS
수도	수도/NNG
테헤란의	테헤란/NNP+의/JKG
거리로	거리/NNG+로/JKB
몰려나왔다"고	몰려나오/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.4.5
로하니의 당선 배경에는 이란 국민의 변화에 대한 기대가 반영돼 있다고 NYT는 분석했다.

로하니의	로하니/NNP+의/JKG
당선	당선/NNG
배경에는	배경/NNG+에/JKB+는/JX
이란	이란/NNP
국민의	국민/NNG+의/JKG
변화에	변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대가	기대/NNG+가/JKS
반영돼	반영/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
NYT는	NYT/SL+는/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.4.6
마무드 아마디네자드 대통령이 집권한 지난 8년 동안, 이란은 핵개발 의혹에 대한 국제사회의 고강도 제재를 받으며 경제난에 시달려왔다.

마무드	마무드/NNP
아마디네자드	아마디네자드/NNP
대통령이	대통령/NNG+이/JKS
집권한	집권/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
8년	8/SN+년/NNB
동안,	동안/NNG+,/SP
이란은	이란/NNP+은/JX
핵개발	핵/NNG+개발/NNG
의혹에	의혹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
고강도	고/XPN+강도/NNG
제재를	제재/NNG+를/JKO
받으며	받/VV+으며/EC
경제난에	경제난/NNG+에/JKB
시달려왔다.	시달리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.39.4.7
팍팍하고 고단한 생활을 어떻게든 바꿔보자는 열망이 이번 대선에서 표출됐다는 것이다.

팍팍하고	팍팍하/VA+고/EC
고단한	고단하/VA+ㄴ/ETM
생활을	생활/NNG+을/JKO
어떻게든	어떻/VA+게/EC+든/JX
바꿔보자는	바꾸/VV+어/EC+보/VX+자는/ETM
열망이	열망/NNG+이/JKS
이번	이번/NNG
대선에서	대선/NNG+에서/JKB
표출됐다는	표출/NNG+되/XSV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.4.8
로하니 당선자는 국익을 위해선 서방과도 협력할 수 있다는 입장이어서, 국제사회는 이란의 대외 강경 노선이 앞으로 어떻게 달라질 것인지 주목하고 있다.

로하니	로하니/NNP
당선자는	당선자/NNG+는/JX
국익을	국익/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
서방과도	서방/NNG+과/JKB+도/JX
협력할	협력/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
입장이어서,	입장/NNG+이/VCP+어서/EC+,/SP
국제사회는	국제/NNG+사회/NNG+는/JX
이란의	이란/NNP+의/JKG
대외	대외/NNG
강경	강경/NNG
노선이	노선/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
어떻게	어떻/VA+게/EC
달라질	달라지/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.39.5.1
로하니는 선거 중반까지 거의 주목을 받지 못했다.

로하니는	로하니/NNP+는/JX
선거	선거/NNG
중반까지	중반/NNG+까지/JX
거의	거의/MAG
주목을	주목/NNG+을/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.39.5.2
최고지도자 하메네이의 측근들로 채워진 보수파 후보들이 선거 초반부터 분위기를 주도했다.

최고지도자	최고/NNG+지도자/NNG
하메네이의	하메네이/NNP+의/JKG
측근들로	측근/NNG+들/XSN+로/JKB
채워진	채우/VV+어/EC+지/VX+ㄴ/ETM
보수파	보수파/NNG
후보들이	후보/NNG+들/XSN+이/JKS
선거	선거/NNG
초반부터	초반/NNG+부터/JX
분위기를	분위기/NNG+를/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.5.3
열세에 있던 로하니가 선거 막판에 급부상할 수 있었던 것은 중도·개혁파 간 후보 단일화가 이뤄졌기 때문이라는 분석이다.

열세에	열세/NNG+에/JKB
있던	있/VA+던/ETM
로하니가	로하니/NNP+가/JKS
선거	선거/NNG
막판에	막판/NNG+에/JKB
급부상할	급부상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
