# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.234
metadata : {}


# id : NWRW1800000026.234.1.1
[부산·경남] 부산 병원들, "전문화가 경쟁력이다";'암 치료 전문' 동남권 원자력의학원 오늘 정식 개원

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
부산	부산/NNP
병원들,	병원/NNG+들/XSN+,/SP
"전문화가	"/SS+전문/NNG+화/XSN+가/JKS
경쟁력이다";'암	경쟁력/NNG+이/VCP+다/EF+"/SS+;/SP+'/SS+암/NNG
치료	치료/NNG
전문'	전문/NNG+'/SS
동남권	동남/NNG+권/XSN
원자력의학원	원자력/NNG+의학원/NNG
오늘	오늘/MAG
정식	정식/NNG
개원	개원/NNG


# id : NWRW1800000026.234.2.1
한국 남부권의 '암 전문 연구 및 치료 선도병원'이 될 동남권 원자력의학원(원장 박찬일)이 16일 정식 개원하면서 부산의 '전문병원시대'가본격화하고 있다.

한국	한국/NNP
남부권의	남부/NNG+권/XSN+의/JKG
'암	'/SS+암/NNG
전문	전문/NNG
연구	연구/NNG
및	및/MAG
치료	치료/NNG
선도병원'이	선도/NNG+병원/NNG+'/SS+이/JKC
될	되/VV+ㄹ/ETM
동남권	동남/NNG+권/XSN
원자력의학원(원장	원자력/NNG+의학원/NNG+(/SS+원장/NNG
박찬일)이	박찬일/NNP+)/SS+이/JKS
16일	16/SN+일/NNB
정식	정식/NNG
개원하면서	개원/NNG+하/XSV+면서/EC
부산의	부산/NNP+의/JKG
'전문병원시대'가본격화하고	'/SS+전문/NNG+병원/NNG+시대/NNG+'/SS+가/JKS+본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.234.3.1
기장군 장안읍에 자리한 원자력의학원은 본관 병원동(지하 2층·지상 9층, 304 병상)과 연구센터(지상 3층), 검진센터(지하 1층·지상 2층) 등 3개 건물에 연면적 5만2700여㎡ 규모로 지어졌다.

기장군	기장군/NNP
장안읍에	장안읍/NNP+에/JKB
자리한	자리/NNG+하/XSV+ㄴ/ETM
원자력의학원은	원자력/NNG+의학원/NNG+은/JX
본관	본관/NNG
병원동(지하	병원/NNG+동/NNG+(/SS+지하/NNG
2층·지상	2/SN+층/NNG+·/SP+지상/NNG
9층,	9/SN+층/NNG+,/SP
304	304/SN
병상)과	병상/NNG+)/SS+과/JC
연구센터(지상	연구/NNG+센터/NNG+(/SS+지상/NNG
3층),	3/SN+층/NNG+)/SS+,/SP
검진센터(지하	검진/NNG+센터/NNG+(/SS+지하/NNG
1층·지상	1/SN+층/NNG+·/SP+지상/NNG
2층)	2/SN+층/NNG+)/SS
등	등/NNB
3개	3/SN+개/NNB
건물에	건물/NNG+에/JKB
연면적	연면적/NNG
5만2700여㎡	5/SN+만/NR+2700/SN+여/XSN+㎡/SW
규모로	규모/NNG+로/JKB
지어졌다.	짓/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.234.4.1
흉부암, 부인암, 소화기암, 갑상선·두경부암, 유방암, 뇌종양 등 6대 암센터로 구성됐다.

흉부암,	흉부/NNG+암/NNG+,/SP
부인암,	부인/NNG+암/NNG+,/SP
소화기암,	소화기/NNG+암/NNG+,/SP
갑상선·두경부암,	갑상선/NNG+·/SP+두경부/NNG+암/NNG+,/SP
유방암,	유방암/NNG+,/SP
뇌종양	뇌종양/NNG
등	등/NNB
6대	6/SN+대/NNG
암센터로	암/NNG+센터/NNG+로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.234.4.2
안과·치과·정신과를 제외한 가정의학·비뇨기·정형외·소아과 등 일반 진료과들도 개설돼 있다.

안과·치과·정신과를	안과/NNG+·/SP+치과/NNG+·/SP+정신과/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
가정의학·비뇨기·정형외·소아과	가정/NNG+의학/NNG+·/SP+비뇨기/NNG+·/SP+정형외·소아과/NNG
등	등/NNB
일반	일반/NNG
진료과들도	진료과/NNG+들/XSN+도/JX
개설돼	개설/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.234.4.3
이들 일반 진료과는 암 환자의 합병증 등을 주로 치료한다.

이들	이/NP+들/XSN
일반	일반/NNG
진료과는	진료과/NNG+는/JX
암	암/NNG
환자의	환자/NNG+의/JKG
합병증	합병증/NNG
등을	등/NNB+을/JKO
주로	주로/MAG
치료한다.	치료/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.234.4.4
병원측은 "암에 대한 원스톱 치료 체제를 갖췄다"고 말했다.

