# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.228
metadata : {}


# id : NWRW1800000044.228.1.1
연금만으로 생활 어려워…노인 54% 일한다

연금만으로	연금/NNG+만/JX+으로/JKB
생활	생활/NNG
어려워…노인	어렵/VA+어/EF+…/SE+노인/NNG
54%	54/SN+%/SW
일한다	일/NNG+하/XSV+ㄴ다/EF


# id : NWRW1800000044.228.2.1
[한겨레] 평균 퇴직연령은 만 49살

[한겨레]	[/SS+한겨레/NNP+]/SS
평균	평균/NNG
퇴직연령은	퇴직/NNG+연령/NNG+은/JX
만	만/MMA
49살	49/SN+살/NNB


# id : NWRW1800000044.228.3.1
2016년부터 법에 따라 정년이 60살로 연장됐지만 우리나라 노동자들의 평균 퇴직연령은 만 49살인 것으로 조사됐다.

2016년부터	2016/SN+년/NNB+부터/JX
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
정년이	정년/NNG+이/JKS
60살로	60/SN+살/NNB+로/JKB
연장됐지만	연장/NNG+되/XSV+었/EP+지만/EC
우리나라	우리나라/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
평균	평균/NNG
퇴직연령은	퇴직/NNG+연령/NNG+은/JX
만	만/MMA
49살인	49/SN+살/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.228.3.2
직장에서 근속기간도 해마다 짧아져 평균 15년 4개월로 나타났다.

직장에서	직장/NNG+에서/JKB
근속기간도	근속/NNG+기간/NNG+도/JX
해마다	해마다/MAG
짧아져	짧아지/VV+어/EC
평균	평균/NNG
15년	15/SN+년/NNB
4개월로	4/SN+개월/NNB+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.228.4.1
통계청이 15일 발표한 ‘경제활동인구조사 청년층 및 고령층 부가조사 결과’를 보면, 고령층(55~64살)의 경우 만 49살에 ‘가장 오래 근무한 일자리’에서 퇴직을 했다.

통계청이	통계청/NNG+이/JKS
15일	15/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘경제활동인구조사	‘/SS+경제/NNG+활동/NNG+인구/NNG+조사/NNG
청년층	청년/NNG+층/XSN
및	및/MAG
고령층	고령/NNG+층/XSN
부가조사	부가/NNG+조사/NNG
결과’를	결과/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
고령층(55~64살)의	고령/NNG+층/XSN+(/SS+55/SN+~/SO+64/SN+살/NNB+)/SS+의/JKG
경우	경우/NNG
만	만/MMA
49살에	49/SN+살/NNB+에/JKB
‘가장	‘/SS+가장/MAG
오래	오래/MAG
근무한	근무/NNG+하/XSV+ㄴ/ETM
일자리’에서	일자리/NNG+’/SS+에서/JKB
퇴직을	퇴직/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.228.4.2
퇴직연령은 2009년 50살에서 2010년 49살로 낮아져 지금까지 유지되고 있다.

퇴직연령은	퇴직/NNG+연령/NNG+은/JX
2009년	2009/SN+년/NNB
50살에서	50/SN+살/NNB+에서/JKB
2010년	2010/SN+년/NNB
49살로	49/SN+살/NNB+로/JKB
낮아져	낮/VA+아/EC+지/VX+어/EC
지금까지	지금/NNG+까지/JX
유지되고	유지/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.228.4.3
‘가장 오래 근무한 일자리’에서 평균 근속기간은 2005년 16년 10개월에서 2009년 17년, 2012년 16년 6개월, 올 4월 15년 4개월로 해마다 짧아지고 있다.

‘가장	‘/SS+가장/MAG
오래	오래/MAG
근무한	근무/NNG+하/XSV+ㄴ/ETM
일자리’에서	일자리/NNG+’/SS+에서/JKB
평균	평균/NNG
근속기간은	근속/NNG+기간/NNG+은/JX
2005년	2005/SN+년/NNB
16년	16/SN+년/NNB
10개월에서	10/SN+개월/NNB+에서/JKB
2009년	2009/SN+년/NNB
17년,	17/SN+년/NNB+,/SP
2012년	2012/SN+년/NNB
6개월,	6/SN+개월/NNB+,/SP
올	올/NNG
4월	4/SN+월/NNB
15년	15/SN+년/NNB
4개월로	4/SN+개월/NNB+로/JKB
해마다	해마다/MAG
짧아지고	짧아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.228.4.4
직업별로 보면 농림어업숙련종사자가 27년 4개월로 근속기간이 가장 길었고, 관리자·전문가 20년 4개월, 기능·기계 조작 종사자가 15년 8개월로 뒤를 이었다.

직업별로	직업/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
농림어업숙련종사자가	농림/NNG+어업/NNG+숙련/NNG+종사자/NNG+가/JKS
27년	27/SN+년/NNB
4개월로	4/SN+개월/NNB+로/JKB
근속기간이	근속/NNG+기간/NNG+이/JKS
가장	가장/MAG
길었고,	길/VA+었/EP+고/EC+,/SP
관리자·전문가	관리자/NNG+·/SP+전문가/NNG
20년	20/SN+년/NNB
4개월,	4/SN+개월/NNB+,/SP
기능·기계	기능/NNG+·/SP+기계/NNG
조작	조작/NNG
종사자가	종사자/NNG+가/JKS
15년	15/SN+년/NNB
8개월로	8/SN+개월/NNB+로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.228.5.1
오래 다닌 직장에서 그만둔 이유를 살펴보면, ‘사업부진, 조업중단, 휴·폐업’이 34.7%로 가장 많았고, ‘권고사직, 명예퇴직, 정리해고’가 10.1%로 조사돼 절반 가까이가 정년도 되기 전에 회사 사정으로 직장을 잃어야 했다.

오래	오래/MAG
다닌	다니/VV+ㄴ/ETM
직장에서	직장/NNG+에서/JKB
그만둔	그만두/VV+ㄴ/ETM
이유를	이유/NNG+를/JKO
살펴보면,	살펴보/VV+면/EC+,/SP
‘사업부진,	‘/SS+사업/NNG+부진/NNG+,/SP
조업중단,	조업/NNG+중단/NNG+,/SP
휴·폐업’이	휴·폐업/NNG+’/SS+이/JKS
34.7%로	34/SN+./SP+7/SN+%/SW+로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
‘권고사직,	‘/SS+권고사직/NNG+,/SP
명예퇴직,	명예퇴직/NNG+,/SP
정리해고’가	정리/NNG+해고/NNG+’/SS+가/JKS
10.1%로	10/SN+./SP+1/SN+%/SW+로/JKB
조사돼	조사/NNG+되/XSV+어/EC
절반	절반/NNG
가까이가	가까이/NNG+가/JKS
정년도	정년/NNG+도/JX
되기	되/VV+기/ETN
전에	전/NNG+에/JKB
회사	회사/NNG
사정으로	사정/NNG+으로/JKB
직장을	직장/NNG+을/JKO
잃어야	잃/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.228.5.2
정년퇴직은 7.6%에 불과했다.

정년퇴직은	정년퇴직/NNG+은/JX
7.6%에	7/SN+./SP+6/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.228.5.3
이는 노동시장이 점점 더 불안정해지고 있다는 사실을 반영하고 있다.

이는	이/NP+는/JX
노동시장이	노동/NNG+시장/NNG+이/JKS
점점	점점/MAG
더	더/MAG
불안정해지고	불/XPN+안정/NNG+하/XSA+아/EC+지/VX+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
반영하고	반영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.228.5.4
19.6%는 ‘건강이 좋지 않아서’ 일을 그만뒀고, ‘가족을 돌보기 위해’서도 15.7%로 조사됐다.

19.6%는	19/SN+./SP+6/SN+%/SW+는/JX
‘건강이	‘/SS+건강/NNG+이/JKS
좋지	좋/VA+지/EC
않아서’	않/VX+아서/EC+’/SS
일을	일/NNG+을/JKO
그만뒀고,	그만두/VV+었/EP+고/EC+,/SP
‘가족을	‘/SS+가족/NNG+을/JKO
돌보기	돌보/VV+기/ETN
위해’서도	위하/VV+아/EC+’/SS+서/NA+도/JX
15.7%로	15/SN+./SP+7/SN+%/SW+로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.228.6.1
퇴직은 했지만 연금(국민연금, 사학연금, 군인연금, 기초노령연금, 개인연금 등 포함)을 받는 사람이 적어, 노인 2명 중 1명은 일을 하고 있는 것으로 나타났다.

퇴직은	퇴직/NNG+은/JX
했지만	하/VV+았/EP+지만/EC
연금(국민연금,	연금/NNG+(/SS+국민연금/NNG+,/SP
사학연금,	사학/NNG+연금/NNG+,/SP
군인연금,	군인/NNG+연금/NNG+,/SP
기초노령연금,	기초/NNG+노령/NNG+연금/NNG+,/SP
개인연금	개인연금/NNG
등	등/NNB
포함)을	포함/NNG+)/SS+을/JKO
받는	받/VV+는/ETM
사람이	사람/NNG+이/JKS
적어,	적/VA+어/EC+,/SP
노인	노인/NNG
2명	2/SN+명/NNB
중	중/NNB
1명은	1/SN+명/NNB+은/JX
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.228.6.2
연금을 받고 있는 노인(45.7%) 중 10만~25만원 사이가 39.3%로 가장 많았고, 10만원 이하가 21.2%로 연금만으로는 생활이 불가능한 상태였다.

연금을	연금/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
노인(45.7%)	노인/NNG+(/SS+45/SN+./SP+7/SN+%/SW+)/SS
중	중/NNB
10만~25만원	10/SN+만/NR+~/SO+25/SN+만/NR+원/NNB
사이가	사이/NNG+가/JKS
39.3%로	39/SN+./SP+3/SN+%/SW+로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
10만원	10/SN+만/NR+원/NNB
이하가	이하/NNG+가/JKS
21.2%로	21/SN+./SP+2/SN+%/SW+로/JKB
연금만으로는	연금/NNG+만/JX+으로/JKB+는/JX
생활이	생활/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.228.6.3
이런 이유로 노인의 53.9%가 일을 하고 있었다.

이런	이런/MMD
이유로	이유/NNG+로/JKB
노인의	노인/NNG+의/JKG
53.9%가	53/SN+./SP+9/SN+%/SW+가/JKS
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.228.7.1
퇴직을 한 고령층의 일자리 질은 낮았다.

퇴직을	퇴직/NNG+을/JKO
한	하/VV+ㄴ/ETM
고령층의	고령/NNG+층/XSN+의/JKG
일자리	일자리/NNG
질은	질/NNG+은/JX
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.228.7.2
직업별로 보면, 단순노무종사자가 26.7%로 가장 많았고 기능·기계조작 종사자 21%, 서비스·판매종사자 20.6%를 차지했다.

직업별로	직업/NNG+별/XSN+로/JKB
보면,	보/VV+면/EC+,/SP
단순노무종사자가	단순/NNG+노무/NNG+종사자/NNG+가/JKS
26.7%로	26/SN+./SP+7/SN+%/SW+로/JKB
가장	가장/MAG
많았고	많/VA+았/EP+고/EC
기능·기계조작	기능/NNG+·/SP+기계/NNG+조작/NNG
종사자	종사자/NNG
21%,	21/SN+%/SW+,/SP
서비스·판매종사자	서비스/NNG+·/SP+판매/NNG+종사자/NNG
20.6%를	20/SN+./SP+6/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.228.7.3
고령층 10명 중 6명 이상은 “앞으로 더 일을 해야 한다”고 생각하고 있었다.

