# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.46
metadata : {}


# id : NWRW1800000033.46.1.1
“신흥시장 띄우고 보자” 노선개척 뜨거운 경쟁

“신흥시장	“/SS+신흥/NNG+시장/NNG
띄우고	띄우/VV+고/EC
보자”	보/VX+자/EF+”/SS
노선개척	노선/NNG+개척/NNG
뜨거운	뜨겁/VA+ㄴ/ETM
경쟁	경쟁/NNG


# id : NWRW1800000033.46.2.1
대한항공, 스리랑카 취항 앞당겨… 아시아나-티웨이도 국제선 강화

대한항공,	대한항공/NNP+,/SP
스리랑카	스리랑카/NNP
취항	취항/NNG
앞당겨…	앞당기/VV+어/EF+…/SE
아시아나-티웨이도	아시아나/NNP+-/SO+티웨이/NNP+도/JX
국제선	국제선/NNG
강화	강화/NNG


# id : NWRW1800000033.46.3.1
연말 항공업계의 신규 취항 경쟁이 뜨겁다.

연말	연말/NNG
항공업계의	항공업/NNG+계/XSN+의/JKG
신규	신규/NNG
취항	취항/NNG
경쟁이	경쟁/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000033.46.3.2
항공사들이 신흥시장의 여객 수요를 노리고 공격적인 노선 개척에 나섰기 때문이다.

항공사들이	항공사/NNG+들/XSN+이/JKS
신흥시장의	신흥/NNG+시장/NNG+의/JKG
여객	여객/NNG
수요를	수요/NNG+를/JKO
노리고	노리/VV+고/EC
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
노선	노선/NNG
개척에	개척/NNG+에/JKB
나섰기	나서/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.46.4.1
17일 항공업계에 따르면 대한항공은 12월 인천∼스리랑카 콜롬보 노선의 정기 운항에 나선다.

17일	17/SN+일/NNB
항공업계에	항공업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
대한항공은	대한항공/NNP+은/JX
12월	12/SN+월/NNB
인천∼스리랑카	인천/NNP+∼/SO+스리랑카/NNP
콜롬보	콜롬보/NNP
노선의	노선/NNG+의/JKG
정기	정기/NNG
운항에	운항/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.4.2
이 노선은 원래 내년 상반기 전세기를 취항해 시장 상황을 살핀다는 계획이었지만 시기를 앞당겨 주 3회 정기 운항으로 방향을 바꿨다.

이	이/MMD
노선은	노선/NNG+은/JX
원래	원래/MAG
내년	내년/NNG
상반기	상반기/NNG
전세기를	전세기/NNG+를/JKO
취항해	취항/NNG+하/XSV+아/EC
시장	시장/NNG
상황을	상황/NNG+을/JKO
살핀다는	살피/VV+ㄴ다는/ETM
계획이었지만	계획/NNG+이/VCP+었/EP+지만/EC
시기를	시기/NNG+를/JKO
앞당겨	앞당기/VV+어/EC
주	주/NNG
3회	3/SN+회/NNB
정기	정기/NNG
운항으로	운항/NNG+으로/JKB
방향을	방향/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.46.4.3
스리랑카는 인기 여행지인 몰디브의 경유지로 각광받고 있다.

스리랑카는	스리랑카/NNP+는/JX
인기	인기/NNG
여행지인	여행지/NNG+이/VCP+ㄴ/ETM
몰디브의	몰디브/NNP+의/JKG
경유지로	경유지/NNG+로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.46.5.1
또 대한항공은 다음 달 9일부터 사우디아라비아의 수도인 리야드에 주 3회 직항편을 띄운다.

또	또/MAG
대한항공은	대한항공/NNP+은/JX
다음	다음/NNG
달	달/NNG
9일부터	9/SN+일/NNB+부터/JX
사우디아라비아의	사우디아라비아/NNP+의/JKG
수도인	수도/NNG+이/VCP+ㄴ/ETM
리야드에	리야드/NNP+에/JKB
주	주/NNG
3회	3/SN+회/NNB
직항편을	직항/NNG+편/NNB+을/JKO
띄운다.	띄우/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.5.2
1997년 중단된 이후 15년 만의 재취항이다.

1997년	1997/SN+년/NNB
중단된	중단/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
15년	15/SN+년/NNB
만의	만/NNB+의/JKG
재취항이다.	재/XPN+취항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.46.5.3
회사 관계자는 “사우디아라비아에서 최근 국내 건설 및 에너지 업체의 수주가 늘고 있어 제2의 ‘중동 붐’이 기대된다”고 말했다.

회사	회사/NNG
관계자는	관계자/NNG+는/JX
“사우디아라비아에서	“/SS+사우디아라비아/NNP+에서/JKB
최근	최근/MAG
국내	국내/NNG
건설	건설/NNG
및	및/MAG
에너지	에너지/NNG
업체의	업체/NNG+의/JKG
수주가	수주/NNG+가/JKS
늘고	늘/VV+고/EC
있어	있/VX+어/EC
제2의	제/XPN+2/SN+의/JKG
‘중동	‘/SS+중동/NNP
붐’이	붐/NNG+’/SS+이/JKS
기대된다”고	기대/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.46.5.4
대한항공은 노선망을 중앙아시아, 아프리카 등 신흥시장으로 확대해 2019년까지 세계 140개 도시에 취항한다는 계획이다.

대한항공은	대한항공/NNP+은/JX
노선망을	노선/NNG+망/NNG+을/JKO
중앙아시아,	중앙아시아/NNP+,/SP
아프리카	아프리카/NNP
등	등/NNB
신흥시장으로	신흥/NNG+시장/NNG+으로/JKB
확대해	확대/NNG+하/XSV+아/EC
2019년까지	2019/SN+년/NNB+까지/JX
세계	세계/NNG
140개	140/SN+개/NNB
도시에	도시/NNG+에/JKB
취항한다는	취항/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.46.6.1
아시아나항공은 다음 달 16일 러시아 블라디보스토크에 신규 취항하며 이전부터 이 노선을 운항하던 대한항공과의 경쟁에 나선다.

아시아나항공은	아시아나항공/NNP+은/JX
다음	다음/NNG
달	달/NNG
16일	16/SN+일/NNB
러시아	러시아/NNP
블라디보스토크에	블라디보스토크/NNP+에/JKB
신규	신규/NNG
취항하며	취항/NNG+하/XSV+며/EC
이전부터	이전/NNG+부터/JX
이	이/MMD
노선을	노선/NNG+을/JKO
운항하던	운항/NNG+하/XSV+던/ETM
대한항공과의	대한항공/NNP+과/JKB+의/JKG
경쟁에	경쟁/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.6.2
주 3회 운항하던 인천∼파리 노선은 주 4회로 늘린다.

주	주/NNG
3회	3/SN+회/NNB
운항하던	운항/NNG+하/XSV+던/ETM
인천∼파리	인천/NNP+∼/SO+파리/NNP
노선은	노선/NNG+은/JX
4회로	4/SN+회/NNB+로/JKB
늘린다.	늘리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.7.1
부산 김해공항에서 출발하는 국제선도 강화한다.

부산	부산/NNP
김해공항에서	김해공항/NNP+에서/JKB
출발하는	출발/NNG+하/XSV+는/ETM
국제선도	국제선/NNG+도/JX
강화한다.	강화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.7.2
다음 달 17일 김해∼일본 오키나와 노선, 12월 5일 김해∼필리핀 클라크 노선을 각각 주 2회씩 운항한다.

다음	다음/NNG
달	달/NNG
17일	17/SN+일/NNB
김해∼일본	김해/NNP+∼/SO+일본/NNP
오키나와	오키나와/NNP
노선,	노선/NNG+,/SP
12월	12/SN+월/NNB
5일	5/SN+일/NNB
김해∼필리핀	김해/NNP+∼/SO+필리핀/NNP
클라크	클라크/NNP
노선을	노선/NNG+을/JKO
각각	각각/MAG
주	주/NNG
2회씩	2/SN+회/NNB+씩/XSN
운항한다.	운항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.7.3
김해공항에서 출국하는 여객 수가 급증하는 데 따른 것이다.

김해공항에서	김해공항/NNP+에서/JKB
출국하는	출국/NNG+하/XSV+는/ETM
여객	여객/NNG
수가	수/NNG+가/JKS
급증하는	급증/NNG+하/XSV+는/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.46.7.4
김해공항 국제선 이용객은 올해 사상 최고치인 400만 명에 달할 것으로 예상된다.

김해공항	김해공항/NNP
국제선	국제선/NNG
이용객은	이용객/NNG+은/JX
올해	올해/NNG
사상	사상/NNG
최고치인	최고/NNG+치/XSN+이/VCP+ㄴ/ETM
400만	400/SN+만/NR
명에	명/NNB+에/JKB
달할	달하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.8.1
저비용항공사인 티웨이항공은 다음 달부터 부정기편을 크게 늘린다.

저비용항공사인	저/XPN+비용/NNG+항공사/NNG+이/VCP+ㄴ/ETM
티웨이항공은	티웨이항공/NNP+은/JX
다음	다음/NNG
달부터	달/NNG+부터/JX
부정기편을	부정기편/NNG+을/JKO
크게	크/VA+게/EC
늘린다.	늘리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.8.2
내년 3월까지 인천에서 중국 하이난, 캄보디아 시엠레아프, 일본 오키나와와 미야자키를 왕복한다.

내년	내년/NNG
3월까지	3/SN+월/NNB+까지/JX
인천에서	인천/NNP+에서/JKB
중국	중국/NNP
하이난,	하이난/NNP+,/SP
캄보디아	캄보디아/NNP
시엠레아프,	시엠레아프/NNP+,/SP
일본	일본/NNP
오키나와와	오키나와/NNP+와/JC
미야자키를	미야자키/NNP+를/JKO
왕복한다.	왕복/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.8.3
외국계인 에어아시아도 다음 달부터 김해∼일본 나리타 운항에 나서며 에어부산과 맞붙는다.

외국계인	외국/NNG+계/XSN+이/VCP+ㄴ/ETM
에어아시아도	에어아시아/NNP+도/JX
다음	다음/NNG
달부터	달/NNG+부터/JX
김해∼일본	김해/NNP+∼/SO+일본/NNP
나리타	나리타/NNP
운항에	운항/NNG+에/JKB
나서며	나서/VV+며/EC
에어부산과	에어부산/NNP+과/JKB
맞붙는다.	맞붙/VV+는다/EF+./SF


# id : NWRW1800000033.46.9.1
항공사들은 노선 확장을 통해 신규 수요 창출과 선점효과를 노리고 있다.

항공사들은	항공사/NNG+들/XSN+은/JX
노선	노선/NNG
확장을	확장/NNG+을/JKO
통해	통하/VV+아/EC
신규	신규/NNG
수요	수요/NNG
창출과	창출/NNG+과/JC
선점효과를	선점/NNG+효과/NNG+를/JKO
노리고	노리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.46.9.2
그러나 비슷한 시기 취항이 급증하는 것에 대한 우려의 목소리도 나온다.

그러나	그러나/MAJ
비슷한	비슷하/VA+ㄴ/ETM
시기	시기/NNG
취항이	취항/NNG+이/JKS
급증하는	급증/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.46.9.3
항공업계 한 관계자는 “무조건적인 노선 늘리기 경쟁보다는 수요 안정화에 힘써야 할 것”이라고 말했다.

항공업계	항공업/NNG+계/XSN
한	한/MMN
관계자는	관계자/NNG+는/JX
“무조건적인	“/SS+무/XPN+조건/NNG+적/XSN+이/VCP+ㄴ/ETM
노선	노선/NNG
늘리기	늘리/VV+기/ETN
경쟁보다는	경쟁/NNG+보다/JKB+는/JX
수요	수요/NNG
안정화에	안정/NNG+화/XSN+에/JKB
힘써야	힘쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


