# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.351
metadata : {}


# id : NWRW1800000049.351.1.1
[단독]특별감찰관 이석수, 우병우 檢에 수사의뢰

[단독]특별감찰관	[/SS+단독/NNG+]/SS+특별/NNG+감찰관/NNG
이석수,	이석수/NNP+,/SP
우병우	우병우/NNP
檢에	檢/SH+에/JKB
수사의뢰	수사/NNG+의뢰/NNG


# id : NWRW1800000049.351.2.1
“아들 보직 개입-가족기업 횡령 혐의” 현직 민정수석 처음… 우병우 조사는 안해 감찰 누설 의혹 이어 부실감찰 논란

“아들	“/SS+아들/NNG
보직	보직/NNG
개입-가족기업	개입/NNG+-/SO+가족/NNG+기업/NNG
횡령	횡령/NNG
혐의”	혐의/NNG+”/SS
현직	현직/NNG
민정수석	민정/NNG+수석/NNG
처음…	처음/NNG+…/SE
우병우	우병우/NNP
조사는	조사/NNG+는/JX
안해	안/MAG+하/VV+아/EC
감찰	감찰/NNG
누설	누설/NNG
의혹	의혹/NNG
이어	잇/VV+어/EC
부실감찰	부실/NNG+감찰/NNG
논란	논란/NNG


# id : NWRW1800000049.351.3.1
이석수 특별감찰관(53·사법연수원 18기)이 우병우 대통령민정수석비서관을 18일 대검찰청에 수사 의뢰했다.

이석수	이석수/NNP
특별감찰관(53·사법연수원	특별/NNG+감찰관/NNG+(/SS+53/SN+·/SP+사법/NNG+연수원/NNG
18기)이	18/SN+기/NNG+)/SS+이/JKS
우병우	우병우/NNP
대통령민정수석비서관을	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG+을/JKO
18일	18/SN+일/NNB
대검찰청에	대/XPN+검찰청/NNG+에/JKB
수사	수사/NNG
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.351.3.2
현직 민정수석을 수사 의뢰한 것은 사상 처음이다.

현직	현직/NNG
민정수석을	민정/NNG+수석/NNG+을/JKO
수사	수사/NNG
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사상	사상/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.351.3.3
하지만 이 특별감찰관은 우 수석을 조사도 하지 않고 수사 의뢰한 것으로 확인됐다.

하지만	하지만/MAJ
이	이/NNP
특별감찰관은	특별/NNG+감찰관/NNG+은/JX
우	우/NNP
수석을	수석/NNG+을/JKO
조사도	조사/NNG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
수사	수사/NNG
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.351.3.4
당사자에게 해명 기회도 주지 않은 것이라 부실 감찰 논란이 불거질 가능성이 있다.

당사자에게	당사자/NNG+에게/JKB
해명	해명/NNG
기회도	기회/NNG+도/JX
주지	주/VV+지/EC
