# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.188
metadata : {}


# id : NWRW1800000041.188.1.1
“항일 민족혼, 빛바랠 순 없다”

“항일	“/SS+항일/NNG
민족혼,	민족혼/NNG+,/SP
빛바랠	빛바래/VA+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000041.188.2.1
1일 3·1절 95주년… 본보가 1971년부터 전국 15곳에 세운 기념비-의병탑 새단장

1일	1/SN+일/NNB
3·1절	3·1절/NNG
95주년…	95/SN+주년/NNB+…/SE
본보가	본보/NNG+가/JKS
1971년부터	1971/SN+년/NNB+부터/JX
전국	전국/NNG
15곳에	15/SN+곳/NNG+에/JKB
세운	세우/VV+ㄴ/ETM
기념비-의병탑	기념비/NNG+-/SO+의병/NNG+탑/NNG
새단장	새/MMA+단장/NNG


# id : NWRW1800000041.188.3.1
전북 임실군 임실읍 3·1동산에는 선조들의 자주독립정신을 담은 3·1운동기념비가 세워져 있다.

전북	전북/NNP
임실군	임실군/NNP
임실읍	임실읍/NNP
3·1동산에는	3·1동산/NNP+에/JKB+는/JX
선조들의	선조/NNG+들/XSN+의/JKG
자주독립정신을	자주독립/NNG+정신/NNG+을/JKO
담은	담/VV+은/ETM
3·1운동기념비가	3/SN+·/SP+1/SN+운동/NNG+기념비/NNG+가/JKS
세워져	세우/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.188.3.2
임실은 독립선언문 작성자이자 민족대표 33명 중 한 명인 자암 박준승 선생과 일제로부터 조국 독립을 쟁취하기 위해 항일의병 투쟁을 전개하다 순국한 이석용 의병장과 28용사의 고향이다.

임실은	임실/NNP+은/JX
독립선언문	독립/NNG+선언문/NNG
작성자이자	작성자/NNG+이/VCP+자/EC
민족대표	민족/NNG+대표/NNG
33명	33/SN+명/NNB
중	중/NNB
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
자암	자암/NNP
박준승	박준승/NNP
선생과	선생/NNG+과/JC
일제로부터	일제/NNG+로부터/JKB
조국	조국/NNG
독립을	독립/NNG+을/JKO
쟁취하기	쟁취/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
항일의병	항일/NNG+의병/NNG
투쟁을	투쟁/NNG+을/JKO
전개하다	전개/NNG+하/XSV+다/EC
순국한	순국/NNG+하/XSV+ㄴ/ETM
이석용	이석용/NNP
의병장과	의병장/NNG+과/JC
28용사의	28/SN+용사/NNG+의/JKG
고향이다.	고향/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.188.3.3
이곳에 세워진 3·1운동기념비는 동아일보사가 국사편찬위원회에 자문해 전국 15곳에 세운 기념비 중 하나다.

이곳에	이곳/NP+에/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
3·1운동기념비는	3/SN+·/SP+1/SN+운동/NNG+기념비/NNG+는/JX
동아일보사가	동아일보사/NNP+가/JKS
국사편찬위원회에	국사/NNG+편찬/NNG+위원회/NNG+에/JKB
자문해	자문/NNG+하/XSV+아/EC
전국	전국/NNG
15곳에	15/SN+곳/NNG+에/JKB
세운	세우/VV+ㄴ/ETM
기념비	기념비/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000041.188.3.4
이 기념비들을 동아일보사가 직접 점검하고 개·보수에 나서면서 새 단장을 앞두고 있다.

이	이/MMD
기념비들을	기념비/NNG+들/XSN+을/JKO
동아일보사가	동아일보사/NNP+가/JKS
직접	직접/MAG
점검하고	점검/NNG+하/XSV+고/EC
개·보수에	개·보수/NNG+에/JKB
나서면서	나서/VV+면서/EC
새	새/MMA
단장을	단장/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.188.4.1
동아일보사는 1971년부터 전국 15개 지역에 3·1운동기념비와 항일의병탑을 건립해 각 지방자치단체 등에 기증했다.

동아일보사는	동아일보사/NNP+는/JX
1971년부터	1971/SN+년/NNB+부터/JX
전국	전국/NNG
15개	15/SN+개/NNB
지역에	지역/NNG+에/JKB
3·1운동기념비와	3/SN+·/SP+1/SN+운동/NNG+기념비/NNG+와/JC
항일의병탑을	항일/NNG+의병/NNG+탑/NNG+을/JKO
건립해	건립/NNG+하/XSV+아/EC
각	각/MMD
지방자치단체	지방/NNG+자치/NNG+단체/NNG
등에	등/NNB+에/JKB
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.188.4.2
이렇게 세워진 기념비와 탑은 시민들의 무관심과 지자체의 관리 소홀로 방치돼 조형물이 녹슬고 곳곳에 얼룩이 생기는 등 훼손이 심했다.

이렇게	이렇/VA+게/EC
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
기념비와	기념비/NNG+와/JC
탑은	탑/NNG+은/JX
시민들의	시민/NNG+들/XSN+의/JKG
무관심과	무/XPN+관심/NNG+과/JC
지자체의	지자체/NNG+의/JKG
관리	관리/NNG
소홀로	소홀/NNG+로/JKB
방치돼	방치/NNG+되/XSV+어/EC
조형물이	조형물/NNG+이/JKS
녹슬고	녹슬/VV+고/EC
곳곳에	곳곳/NNG+에/JKB
얼룩이	얼룩/NNG+이/JKS
생기는	생기/VV+는/ETM
등	등/NNB
훼손이	훼손/NNG+이/JKS
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.188.4.3
이에 동아일보사는 지난해 4월 전국 15곳에 대한 현장 점검을 실시했다.

