# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.183
metadata : {}


# id : NWRW1800000033.183.1.1
이혼숙려제처럼… 고교생 자퇴도 2주간 ‘숙려’

이혼숙려제처럼…	이혼/NNG+숙려/NNG+제/XSN+처럼/JKB+…/SE
고교생	고교/NNG+생/XSN
자퇴도	자퇴/NNG+도/JX
2주간	2/SN+주/NNB+간/XSN
‘숙려’	‘/SS+숙려/NNG+’/SS


# id : NWRW1800000033.183.2.1
충동적 결정 막기위해 상담

충동적	충동/NNG+적/XSN
결정	결정/NNG
막기위해	막/VV+기/ETN+위하/VV+아/EC
상담	상담/NNG


# id : NWRW1800000033.183.3.1
학생이 거부땐 강제 못해

학생이	학생/NNG+이/JKS
거부땐	거부/NNG+때/NNG+ㄴ/JX
강제	강제/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000033.183.4.1
앞으로 학교를 그만두려는 고교생은 이혼숙려제와 비슷하게 최소 2주의 숙려기간을 거치게 된다.

앞으로	앞/NNG+으로/JKB
학교를	학교/NNG+를/JKO
그만두려는	그만두/VV+려는/ETM
고교생은	고교/NNG+생/XSN+은/JX
이혼숙려제와	이혼/NNG+숙려/NNG+제/XSN+와/JKB
비슷하게	비슷하/VA+게/EC
최소	최소/NNG
2주의	2/SN+주/NNB+의/JKG
숙려기간을	숙려/NNG+기간/NNG+을/JKO
거치게	거치/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.4.2
교육과학기술부와 여성가족부는 충동적으로 학교를 떠나는 청소년을 줄이기 위해 6월부터 고교생을 대상으로 ‘학업중단 숙려제’를 시행한다고 28일 밝혔다.

교육과학기술부와	교육/NNG+과학/NNG+기술부/NNG+와/JC
여성가족부는	여성/NNG+가족부/NNG+는/JX
충동적으로	충동/NNG+적/XSN+으로/JKB
학교를	학교/NNG+를/JKO
떠나는	떠나/VV+는/ETM
청소년을	청소년/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
6월부터	6/SN+월/NNB+부터/JX
고교생을	고교/NNG+생/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
