# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.205
metadata : {}


# id : NWRW1800000024.205.1.1
남북회담 주역들에 묻는 ‘한반도 앞날’

남북회담	남북/NNP+회담/NNG
주역들에	주역/NNG+들/XSN+에/JKB
묻는	묻/VV+는/ETM
‘한반도	‘/SS+한반도/NNP
앞날’	앞날/NNG+’/SS


# id : NWRW1800000024.205.2.1
김연철 한겨레평화연구소장은 14일 “한반도 정세가 위기로 치닫고 있는데, 이런 때일수록 지혜를 모아야 한다”는 말로, ‘제1기 한겨레평화강좌’ 개설의 취지를 밝혔다.

김연철	김연철/NNP
한겨레평화연구소장은	한겨레평화연구소장/NNG+은/JX
14일	14/SN+일/NNB
“한반도	“/SS+한반도/NNP
정세가	정세/NNG+가/JKS
위기로	위기/NNG+로/JKB
치닫고	치닫/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
이런	이런/MMD
때일수록	때/NNG+이/VCP+ㄹ수록/EC
지혜를	지혜/NNG+를/JKO
모아야	모으/VV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
말로,	말/NNG+로/JKB+,/SP
‘제1기	‘/SS+제/XPN+1/SN+기/NNG
한겨레평화강좌’	한겨레/NNP+평화/NNG+강좌/NNG+’/SS
개설의	개설/NNG+의/JKG
취지를	취지/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.205.2.2
그가 찾아낸 ‘지혜의 샘’은 남북회담사에서 뚜렷한 족적을 남긴 다섯 명의 주역을 대중 앞으로 불러내는 것이다.

그가	그/NP+가/JKS
찾아낸	찾아내/VV+ㄴ/ETM
‘지혜의	‘/SS+지혜/NNG+의/JKG
샘’은	샘/NNG+’/SS+은/JX
남북회담사에서	남북/NNP+회담사/NNG+에서/JKB
뚜렷한	뚜렷하/VA+ㄴ/ETM
족적을	족적/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
다섯	다섯/NR
명의	명/NNB+의/JKG
주역을	주역/NNG+을/JKO
대중	대중/NNG
앞으로	앞/NNG+으로/JKB
불러내는	불러내/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.205.3.1
한겨레통일문화재단이 주최하고, 한겨레평화연구소가 주관하는 이 강좌는 18일부터 매주 목요일 저녁 7~9시 서울 동국대 문화관 1층 덕암세미나실에서 다섯 차례에 걸쳐 진행된다.

한겨레통일문화재단이	한겨레통일문화재단/NNP+이/JKS
주최하고,	주최/NNG+하/XSV+고/EC+,/SP
한겨레평화연구소가	한겨레평화연구소/NNP+가/JKS
주관하는	주관/NNG+하/XSV+는/ETM
이	이/MMD
강좌는	강좌/NNG+는/JX
18일부터	18/SN+일/NNB+부터/JX
매주	매주/MAG
목요일	목요일/NNG
저녁	저녁/NNG
7~9시	7/SN+~/SO+9/SN+시/NNB
서울	서울/NNP
동국대	동국대/NNP
문화관	문화관/NNG
1층	1/SN+층/NNG
덕암세미나실에서	덕암/NNP+세미나실/NNG+에서/JKB
다섯	다섯/NR
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.205.3.2
주제는 ‘한반도는 어디로?

주제는	주제/NNG+는/JX
‘한반도는	‘/SS+한반도/NNP+는/JX
어디로?	어디/NP+로/JKB+?/SF


# id : NWRW1800000024.205.3.3
회담 주역들에게 길을 묻다’.

회담	회담/NNG
주역들에게	주역/NNG+들/XSN+에게/JKB
길을	길/NNG+을/JKO
묻다’.	묻/VV+다/EF+’/SS+./SF


# id : NWRW1800000024.205.4.1
통일부 장관을 지낸 임동원 한겨레통일문화재단 이사장이 6·15공동선언(18일)을, 이재정 전 통일부 장관이 10·4선언의 현재적 의미(7월16일)를 짚는다.

통일부	통일부/NNG
장관을	장관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
임동원	임동원/NNP
한겨레통일문화재단	한겨레통일문화재단/NNP
이사장이	이사장/NNG+이/JKS
6·15공동선언(18일)을,	6/SN+·/SP+15/SN+공동/NNG+선언/NNG+(/SS+18/SN+일/NNB+)/SS+을/JKO+,/SP
이재정	이재정/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
10·4선언의	10/SN+·/SP+4/SN+선언/NNG+의/JKG
현재적	현재/NNG+적/XSN
의미(7월16일)를	의미/NNG+(/SS+7/SN+월/NNB+16/SN+일/NNB+)/SS+를/JKO
짚는다.	짚/VV+는다/EF+./SF


# id : NWRW1800000024.205.4.2
정세현 전 통일부 장관이 남북장관급회담의 교훈(7월2일)을, 이종석 전 통일부 장관은 북핵 문제와 남북 대화의 관계(7월9일)에 대한 중요한 시사점을 제시해 줄 예정이다.

정세현	정세현/NNP
전	전/MMD
통일부	통일부/NNG
장관이	장관/NNG+이/JKS
남북장관급회담의	남북/NNP+장관급/NNG+회담/NNG+의/JKG
교훈(7월2일)을,	교훈/NNG+(/SS+7/SN+월/NNB+2/SN+일/NNB+)/SS+을/JKO+,/SP
이종석	이종석/NNP
장관은	장관/NNG+은/JX
북핵	북핵/NNG
문제와	문제/NNG+와/JC
남북	남북/NNP
대화의	대화/NNG+의/JKG
관계(7월9일)에	관계/NNG+(/SS+7/SN+월/NNB+9/SN+일/NNB+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
시사점을	시사점/NNG+을/JKO
제시해	제시/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.205.4.3
또 한국 외교의 기원이라고 평가할 수 있는 ‘북방정책’의 설계자인 박철언 전 의원이 오랜만에 대중 앞에 선다(25일).

또	또/MAG
한국	한국/NNP
외교의	외교/NNG+의/JKG
기원이라고	기원/NNG+이/VCP+라고/EC
평가할	평가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘북방정책’의	‘/SS+북방/NNG+정책/NNG+’/SS+의/JKG
설계자인	설계자/NNG+이/VCP+ㄴ/ETM
박철언	박철언/NNP
전	전/MMD
의원이	의원/NNG+이/JKS
오랜만에	오랜만/NNG+에/JKB
대중	대중/NNG
앞에	앞/NNG+에/JKB
선다(25일).	서/VV+ㄴ다/EF+(/SS+25/SN+일/NNB+)/SS+./SF


# id : NWRW1800000024.205.4.4
(02)706-7588.

(02)706-7588.	(/SS+02/SN+)/SS+706/SN+-/SO+7588/SN+./SF


