# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.232
metadata : {}


# id : NWRW1800000025.232.1.1
인천, 143km 8코스 ‘강화나들길’ 조성

인천,	인천/NNP+,/SP
143km	143/SN+km/SW
8코스	8/SN+코스/NNG
‘강화나들길’	‘/SS+강화나들길/NNP+’/SS
조성	조성/NNG


# id : NWRW1800000025.232.2.1
인천시가 천연기념물로 지정된 세계적인 갯벌, 세계문화유산인 선사시대 고인돌, 고려시대 왕릉, 조선시대 진지를 한꺼번에 볼 수 있는 ‘강화나들길’을 조성하고 있다.

인천시가	인천시/NNP+가/JKS
천연기념물로	천연기념물/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
갯벌,	갯벌/NNG+,/SP
세계문화유산인	세계/NNG+문화유산/NNG+이/VCP+ㄴ/ETM
선사시대	선사/NNG+시대/NNG
고인돌,	고인돌/NNG+,/SP
고려시대	고려/NNP+시대/NNG
왕릉,	왕릉/NNG+,/SP
조선시대	조선시대/NNG
진지를	진지/NNG+를/JKO
한꺼번에	한꺼번에/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘강화나들길’을	‘/SS+강화나들길/NNP+’/SS+을/JKO
조성하고	조성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.232.2.2
총 143km인 강화나들길은 8코스, 20개 구간으로 나눠진다.

총	총/MMA
143km인	143/SN+km/SW+이/VCP+ㄴ/ETM
강화나들길은	강화나들길/NNP+은/JX
8코스,	8/SN+코스/NNG+,/SP
20개	20/SN+개/NNB
구간으로	구간/NNG+으로/JKB
나눠진다.	나누/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.232.2.3
2013년까지 100여 마을을 잇는 옛길, 해안 국방유적길, 강화산성 문화탐방로, 휴전선 북단을 바라볼 수 있는 평화생명길 등으로 단장된다.

2013년까지	2013/SN+년/NNB+까지/JX
100여	100/SN+여/XSN
마을을	마을/NNG+을/JKO
잇는	잇/VV+는/ETM
옛길,	옛길/NNG+,/SP
해안	해안/NNG
국방유적길,	국방/NNG+유적/NNG+길/NNG+,/SP
강화산성	강화산성/NNP
문화탐방로,	문화/NNG+탐방로/NNG+,/SP
휴전선	휴전선/NNG
북단을	북단/NNG+을/JKO
바라볼	바라보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
평화생명길	평화/NNG+생명/NNG+길/NNG
등으로	등/NNB+으로/JKB
