# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.139
metadata : {}


# id : NWRW1800000021.139.1.1
[부산/경남]울산공단 4개 기업 ‘에너지 품앗이’

[부산/경남]울산공단	[/SS+부산/NNP+//SP+경남/NNP+]/SS+울산공단/NNP
4개	4/SN+개/NNB
기업	기업/NNG
‘에너지	‘/SS+에너지/NNG
품앗이’	품앗이/NNG+’/SS


# id : NWRW1800000021.139.2.1
울산공단 내 기업체들이 스팀을 서로 주고받아 수익을 창출하고 연료비도 절감하며 이산화탄소 배출도 줄이는 ‘일석삼조’의 효과를 거두고 있다.

울산공단	울산공단/NNP
내	내/NNB
기업체들이	기업체/NNG+들/XSN+이/JKS
스팀을	스팀/NNG+을/JKO
서로	서로/MAG
주고받아	주고받/VV+아/EC
수익을	수익/NNG+을/JKO
창출하고	창출/NNG+하/XSV+고/EC
연료비도	연료비/NNG+도/JX
절감하며	절감/NNG+하/XSV+며/EC
이산화탄소	이산화/NNG+탄소/NNG
배출도	배출/NNG+도/JX
줄이는	줄이/VV+는/ETM
‘일석삼조’의	‘/SS+일석삼조/NNG+’/SS+의/JKG
효과를	효과/NNG+를/JKO
거두고	거두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.139.3.1
29일 울산시에 따르면 한국산업단지공단 울산에코(ECO)사업단과 삼성에버랜드가 공동으로 120억 원을 들여 설치한 울산공단 내 SKC㈜ 울산공장, 코리아PTG㈜, ㈜KP케미칼 울산2공장, 한솔EME 등 4개 기업 간 스팀 네트워크 시설이 준공됐다.

29일	29/SN+일/NNB
울산시에	울산시/NNP+에/JKB
따르면	따르/VV+면/EC
한국산업단지공단	한국산업단지공단/NNP
울산에코(ECO)사업단과	울산/NNP+에코/NNG+(/SS+ECO/SL+)/SS+사업단/NNG+과/JC
삼성에버랜드가	삼성에버랜드/NNP+가/JKS
공동으로	공동/NNG+으로/JKB
120억	120/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
설치한	설치/NNG+하/XSV+ㄴ/ETM
울산공단	울산공단/NNP
내	내/NNB
SKC㈜	SKC/SL+㈜/SW
울산공장,	울산/NNP+공장/NNG+,/SP
코리아PTG㈜,	코리아PTG/NNP+㈜/SW+,/SP
㈜KP케미칼	㈜/SW+KP케미칼/NNP
울산2공장,	울산/NNP+2/SN+공장/NNG+,/SP
한솔EME	한솔EME/NNP
등	등/NNB
4개	4/SN+개/NNB
기업	기업/NNG
간	간/NNB
스팀	스팀/NNG
네트워크	네트워크/NNG
시설이	시설/NNG+이/JKS
준공됐다.	준공/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.139.3.2
이들 4개 회사는 생산 공정에서 발생하는 고압 및 저압 스팀을 서로 주고받아 수익을 창출하거나 벙커C유 연료를 절감하며, 이산화탄소 배출량을 줄여 대기환경 개선에도 기여할 수 있게 됐다.

이들	이/NP+들/XSN
4개	4/SN+개/NNB
회사는	회사/NNG+는/JX
생산	생산/NNG
공정에서	공정/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
고압	고압/NNG
및	및/MAG
저압	저압/NNG
스팀을	스팀/NNG+을/JKO
서로	서로/MAG
주고받아	주고받/VV+아/EC
수익을	수익/NNG+을/JKO
창출하거나	창출/NNG+하/XSV+거나/EC
벙커C유	벙커C유/NNG
연료를	연료/NNG+를/JKO
절감하며,	절감/NNG+하/XSV+며/EC+,/SP
이산화탄소	이산화/NNG+탄소/NNG
배출량을	배출량/NNG+을/JKO
줄여	줄이/VV+어/EC
대기환경	대기/NNG+환경/NNG
