# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.362
metadata : {}


# id : NWRW1800000042.362.1.1
박영선, 유민 아빠(38일째 단식 농성) 만나 "우리가 잘못… 용서해달라"

박영선,	박영선/NNP+,/SP
유민	유민/NNP
아빠(38일째	아빠/NNG+(/SS+38/SN+일/NNB+째/XSN
단식	단식/NNG
농성)	농성/NNG+)/SS
만나	만나/VV+아/EC
"우리가	"/SS+우리/NP+가/JKS
잘못…	잘못/MAG+…/SE
용서해달라"	용서/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS


# id : NWRW1800000042.362.2.1
예고 없이 방문했지만 냉대받아… 朴, 대통령에 단식자와 회동 요구

예고	예고/NNG
없이	없이/MAG
방문했지만	방문/NNG+하/XSV+았/EP+지만/EC
냉대받아…	냉대/NNG+받/XSV+아/EF+…/SE
朴,	朴/SH+,/SP
대통령에	대통령/NNG+에/JKB
단식자와	단식자/NNG+와/JKB
회동	회동/NNG
요구	요구/NNG


# id : NWRW1800000042.362.3.1
새정치민주연합 박영선 국민공감혁신위원장은 20일 아침 서울 광화문광장에서 38일째 단식 농성 중인 '유민 아빠' 김영오씨를 찾아갔으나 사실상 문전박대를 당했다.

새정치민주연합	새정치민주연합/NNP
박영선	박영선/NNP
국민공감혁신위원장은	국민/NNG+공감/NNG+혁신/NNG+위원장/NNG+은/JX
20일	20/SN+일/NNB
아침	아침/NNG
서울	서울/NNP
광화문광장에서	광화문광장/NNP+에서/JKB
38일째	38/SN+일/NNB+째/XSN
단식	단식/NNG
농성	농성/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
'유민	'/SS+유민/NNP
아빠'	아빠/NNG+'/SS
김영오씨를	김영오/NNP+씨/NNB+를/JKO
찾아갔으나	찾아가/VV+았/EP+으나/EC
사실상	사실/NNG+상/XSN
문전박대를	문전/NNG+박대/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.362.4.1
박 위원장은 이날 아침 8시 20분쯤 김씨를 찾아갔다.

박	박/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
아침	아침/NNG
8시	8/SN+시/NNB
20분쯤	20/SN+분/NNB+쯤/XSN
김씨를	김/NNP+씨/NNB+를/JKO
찾아갔다.	찾아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.362.4.2
'사과'와 '설득'이 목적이었다고 한다.

'사과'와	'/SS+사과/NNG+'/SS+와/JC
'설득'이	'/SS+설득/NNG+'/SS+이/JKS
목적이었다고	목적/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000042.362.4.3
박 위원장은 김씨를 만나고 나와 "저희가 잘못이 있으니까 용서해 달라고 했다"며 "유민 아빠가 힘이 없으면 우리도 힘이 없고, 유민 아빠가 건강을 회복해야 우리도 힘이 생긴다(고 했다)"고 말했다.

박	박/NNP
위원장은	위원장/NNG+은/JX
김씨를	김/NNP+씨/NNB+를/JKO
만나고	만나/VV+고/EC
나와	나오/VV+아/EC
"저희가	"/SS+저희/NP+가/JKS
잘못이	잘못/NNG+이/JKS
있으니까	있/VA+으니까/EC
용서해	용서/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"유민	"/SS+유민/NNP
아빠가	아빠/NNG+가/JKS
힘이	힘/NNG+이/JKS
없으면	없/VA+으면/EC
우리도	우리/NP+도/JX
없고,	없/VA+고/EC+,/SP
유민	유민/NNP
건강을	건강/NNG+을/JKO
회복해야	회복/NNG+하/XSV+아야/EC
생긴다(고	생기/VV+ㄴ다/EF+(/SS+고/JKQ
했다)"고	하/VV+았/EP+다/EF+)/SS+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.362.5.1
박 위원장은 김씨에게 "오늘 제가 (새정치연합) 회의에 가서 '박근혜 대통령이 유민 아빠를 만나달라. 대통령이 유민 아빠를 만나주시면 유민 아빠가 단식을 중단하겠다고 한다'는 얘기를 하겠다"고 했고, 김씨도 그렇게 하라고 한 것으로 전해졌다.

박	박/NNP
위원장은	위원장/NNG+은/JX
김씨에게	김/NNP+씨/NNB+에게/JKB
"오늘	"/SS+오늘/MAG
제가	제/NP+가/JKS
(새정치연합)	(/SS+새정치연합/NNP+)/SS
회의에	회의/NNG+에/JKB
가서	가/VV+아서/EC
'박근혜	'/SS+박근혜/NNP
대통령이	대통령/NNG+이/JKS
유민	유민/NNP
아빠를	아빠/NNG+를/JKO
만나달라.	만나/VV+아/EC+달/VX+라/EF+./SF
만나주시면	만나/VV+아/EC+주/VX+시/EP+면/EC
아빠가	아빠/NNG+가/JKS
단식을	단식/NNG+을/JKO
중단하겠다고	중단/NNG+하/XSV+겠/EP+다고/EC
한다'는	하/VV+ㄴ다/EF+'/SS+는/ETM
얘기를	얘기/NNG+를/JKO
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
김씨도	김/NNP+씨/NNB+도/JX
그렇게	그렇/VA+게/EC
하라고	하/VV+라고/EC
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000042.362.5.2
박 위원장은 이어 국회에서 열린 정책조정회의에서 박 대통령이 김씨를 만나달라고 촉구했고, 당 대변인들도 나서서 같은 주장을 이어갔다.

박	박/NNP
위원장은	위원장/NNG+은/JX
이어	이어/MAG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
정책조정회의에서	정책/NNG+조정/NNG+회의/NNG+에서/JKB
