# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.249
metadata : {}


# id : NWRW1800000037.249.1.1
전세기 타고 간 배상문 “1000만달러 타겠다”

전세기	전세기/NNG
타고	타/VV+고/EC
간	가/VV+ㄴ/ETM
배상문	배상문/NNP
“1000만달러	“/SS+1000/SN+만/NR+달러/NNB
타겠다”	타/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000037.249.2.1
8월 넷째주 개막 PGA페덱스컵 출사표… 125명 서바이벌 방식 4차전 치러 “첫승 이후 슬럼프 이젠 깰때 됐다”

8월	8/SN+월/NNB
넷째주	넷째/NR+주/NNG
개막	개막/NNG
PGA페덱스컵	PGA/SL+페덱스/NNP+컵/NNG
출사표…	출사표/NNG+…/SE
125명	125/SN+명/NNB
서바이벌	서바이벌/NNG
방식	방식/NNG
4차전	4/SN+차전/NNB
치러	치르/VV+어/EF
“첫승	“/SS+첫/MMN+승/NNG
이후	이후/NNG
슬럼프	슬럼프/NNG
이젠	이제/NNG+ㄴ/JX
깰때	깨/VV+ㄹ/ETM+때/NNG
됐다”	되/VV+었/EP+다/EF+”/SS


# id : NWRW1800000037.249.3.1
5월 미국 오하이오 주 더블린에서 열린 미국프로골프(PGA)투어 메모리얼 토너먼트에서 배상문(27·캘러웨이)을 만났을 때의 일이다.

5월	5/SN+월/NNB
미국	미국/NNP
오하이오	오하이오/NNP
주	주/NNG
더블린에서	더블린/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
미국프로골프(PGA)투어	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG
메모리얼	메모리얼/NNG
토너먼트에서	토너먼트/NNG+에서/JKB
배상문(27·캘러웨이)을	배상문/NNP+(/SS+27/SN+·/SP+캘러웨이/NNP+)/SS+을/JKO
만났을	만나/VV+았/EP+을/ETM
때의	때/NNG+의/JKG
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.249.3.2
당시 이 대회에 앞서 바이런넬슨클래식에서 PGA투어 첫 우승을 거둬 기세등등하던 배상문은 “한국과 일본에서도 첫 승이 힘들었지 두 번째는 금방 왔다.

당시	당시/NNG
이	이/MMD
대회에	대회/NNG+에/JKB
앞서	앞서/VV+어/EC
바이런넬슨클래식에서	바이런넬슨/NNP+클래식/NNG+에서/JKB
PGA투어	PGA/SL+투어/NNG
