# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.225
metadata : {}


# id : NWRW1800000054.225.1.1
[핫 코너] 차례상 과일 환불해달라는 진상 고객님들

[핫	[/SS+핫/NNG
코너]	코너/NNG+]/SS
차례상	차례상/NNG
과일	과일/NNG
환불해달라는	환불/NNG+하/XSV+아/EC+달/VX+라는/ETM
진상	진상/NNG
고객님들	고객/NNG+님/XSN+들/XSN


# id : NWRW1800000054.225.2.1
마트서 포장뜯은 추석선물 상품권으로 교환 요구도

마트서	마트/NNG+서/JKB
포장뜯은	포장/NNG+뜯/VV+은/ETM
추석선물	추석/NNG+선물/NNG
상품권으로	상품/NNG+권/XSN+으로/JKB
교환	교환/NNG
요구도	요구/NNG+도/JX


# id : NWRW1800000054.225.3.1
서울의 한 대형마트 고객센터 직원 박모(42)씨는 며칠 전 한 중년 고객 때문에 곤욕을 치렀다.

서울의	서울/NNP+의/JKG
한	한/MMN
대형마트	대형/NNG+마트/NNG
고객센터	고객/NNG+센터/NNG
직원	직원/NNG
박모(42)씨는	박/NNP+모/NP+(/SS+42/SN+)/SS+씨/NNB+는/JX
며칠	며칠/NNG
전	전/NNG
중년	중년/NNG
고객	고객/NNG
때문에	때문/NNB+에/JKB
곤욕을	곤욕/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.225.3.2
이 고객은 "환불하러 왔다"며 샴푸·린스 등이 담긴 추석 선물 세트를 내밀었다.

이	이/MMD
고객은	고객/NNG+은/JX
"환불하러	"/SS+환불/NNG+하/XSV+러/EC
왔다"며	오/VV+았/EP+다/EF+"/SS+며/EC
샴푸·린스	샴푸/NNG+·/SP+린스/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
추석	추석/NNG
선물	선물/NNG
세트를	세트/NNG+를/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.225.3.3
해당 마트에서 판매한 상품이 아니었다.

해당	해당/NNG
마트에서	마트/NNG+에서/JKB
판매한	판매/NNG+하/XSV+ㄴ/ETM
상품이	상품/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000054.225.3.4
이 고객은 "영수증 버렸다. 그냥 환불해 달라"고 버티며 소란을 피웠다.

이	이/MMD
고객은	고객/NNG+은/JX
"영수증	"/SS+영수증/NNG
버렸다.	버리/VV+었/EP+다/EF+./SF
그냥	그냥/MAG
환불해	환불/NNG+하/XSV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
버티며	버티/VV+며/EC
소란을	소란/NNG+을/JKO
피웠다.	피우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.225.3.5
결국 마트 매니저가 나서 상품권을 주고 달랜 뒤에야 소동이 끝났다.

결국	결국/MAG
마트	마트/NNG
매니저가	매니저/NNG+가/JKS
나서	나서/VV+어/EC
상품권을	상품/NNG+권/XSN+을/JKO
주고	주/VV+고/EC
