# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.302
metadata : {}


# id : NWRW1800000056.302.1.1
[오철우의 과학의 숲] ‘과학행진’ 이후의 행진

[오철우의	[/SS+오철우/NNP+의/JKG
과학의	과학/NNG+의/JKG
숲]	숲/NNG+]/SS
‘과학행진’	‘/SS+과학/NNG+행진/NNG+’/SS
이후의	이후/NNG+의/JKG
행진	행진/NNG


# id : NWRW1800000056.302.2.1
모처럼 미세먼지 걷힌 화창한 주말인 지난 22일, 서울 광화문광장에 과학·기술 연구자와 연구생, 시민들이 모였다.

모처럼	모처럼/MAG
미세먼지	미세/NNG+먼지/NNG
걷힌	걷히/VV+ㄴ/ETM
화창한	화창하/VA+ㄴ/ETM
주말인	주말/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
22일,	22/SN+일/NNB+,/SP
서울	서울/NNP
광화문광장에	광화문광장/NNP+에/JKB
과학·기술	과학/NNG+·/SP+기술/NNG
연구자와	연구자/NNG+와/JC
연구생,	연구/NNG+생/XSN+,/SP
시민들이	시민/NNG+들/XSN+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.302.2.2
현장에서 만난 몇몇한테 참석 인원을 추산해달라니 오가는 사람을 합해 대략 600~1000명으로 헤아렸다.

현장에서	현장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
몇몇한테	몇몇/NR+한테/JKB
참석	참석/NNG
인원을	인원/NNG+을/JKO
추산해달라니	추산/NNG+하/XSV+아/EC+달/VX+라니/EC
오가는	오가/VV+는/ETM
사람을	사람/NNG+을/JKO
합해	합/NNG+하/XSV+아/EC
대략	대략/MAG
600~1000명으로	600/SN+~/SO+1000/SN+명/NNB+으로/JKB
헤아렸다.	헤아리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.302.2.3
왠지 광장에서는 낯설게 느껴질 법한 ‘과학을 위한 행진’에, 관변단체 행사도 아닌데 이처럼 많은 이들이 참석한 건 보기 드문 광경이었다.

왠지	왠지/MAG
광장에서는	광장/NNG+에서/JKB+는/JX
낯설게	낯설/VA+게/EC
느껴질	느끼/VV+어/EC+지/VX+ㄹ/ETM
법한	법/NNB+하/XSA+ㄴ/ETM
‘과학을	‘/SS+과학/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행진’에,	행진/NNG+’/SS+에/JKB+,/SP
관변단체	관변/NNG+단체/NNG
행사도	행사/NNG+도/JX
아닌데	아니/VCN+ㄴ데/EC
이처럼	이/NP+처럼/JKB
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
광경이었다.	광경/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.302.2.4
누구는 1930년대 ‘과학 데이’ 행진 이래 처음일 거라고 말했고 누구는 당시 행진이 사회지도자 중심으로 이뤄진 걸 생각하면 연구자 주도 행진은 처음인 듯하다고 말했다.

누구는	누구/NP+는/JX
1930년대	1930/SN+년대/NNB
‘과학	‘/SS+과학/NNG
데이’	데이/NNG+’/SS
행진	행진/NNG
이래	이래/NNB
처음일	처음/NNG+이/VCP+ㄹ/ETM
거라고	거/NNB+이/VCP+라고/EC
말했고	말/NNG+하/XSV+았/EP+고/EC
당시	당시/NNG
행진이	행진/NNG+이/JKS
사회지도자	사회/NNG+지도자/NNG
중심으로	중심/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
생각하면	생각/NNG+하/XSV+면/EC
연구자	연구자/NNG
주도	주도/NNG
행진은	행진/NNG+은/JX
처음인	처음/NNG+이/VCP+ㄴ/ETM
듯하다고	듯/NNB+하/XSA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.302.2.5
그만큼 광장에 모인 얼굴에서도 다소 상기된 표정을 읽을 수 있었다.

그만큼	그만큼/MAG
광장에	광장/NNG+에/JKB
모인	모이/VV+ㄴ/ETM
얼굴에서도	얼굴/NNG+에서/JKB+도/JX
다소	다소/MAG
상기된	상기/NNG+되/XSV+ㄴ/ETM
표정을	표정/NNG+을/JKO
읽을	읽/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.302.3.1
광화문 행진은 지구촌 600여 곳에서 열린 과학행진의 하나였다.

광화문	광화문/NNP
