# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.115
metadata : {}


# id : NWRW1800000024.115.1.1
다시 활짝 핀 한송이…흥국생명 웃었다

다시	다시/MAG
활짝	활짝/MAG
핀	피/VV+ㄴ/ETM
한송이…흥국생명	한송이/NNP+…/SE+흥국생명/NNP
웃었다	웃/VV+었/EP+다/EF


# id : NWRW1800000024.115.2.1
지난 시즌 득점왕이었던 자유계약선수 자격까지 얻어 최고의 주가를 올렸다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
득점왕이었던	득점왕/NNG+이/VCP+었/EP+던/ETM
자유계약선수	자유/NNG+계약/NNG+선수/NNG
자격까지	자격/NNG+까지/JX
얻어	얻/VV+어/EC
최고의	최고/NNG+의/JKG
주가를	주가/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.115.2.2
하지만 팀 이적을 놓고 갈등을 빚었고, 흥국생명으로 이적한 뒤엔 수술 후유증으로 주전 자리를 꿰차지도 못했다.

하지만	하지만/MAJ
팀	팀/NNG
이적을	이적/NNG+을/JKO
놓고	놓/VV+고/EC
갈등을	갈등/NNG+을/JKO
빚었고,	빚/VV+었/EP+고/EC+,/SP
흥국생명으로	흥국생명/NNP+으로/JKB
이적한	이적/NNG+하/XSV+ㄴ/ETM
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
수술	수술/NNG
후유증으로	후유증/NNG+으로/JKB
주전	주전/NNG
자리를	자리/NNG+를/JKO
꿰차지도	꿰차/VV+지/EC+도/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.115.2.3
팀에 늘 빚을 진 것 같은 미안함에 가슴 졸이던 그가 모처럼 환하게 웃었다.

팀에	팀/NNG+에/JKB
늘	늘/MAG
빚을	빚/NNG+을/JKO
진	지/VV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
미안함에	미안/NNG+하/XSA+ㅁ/ETN+에/JKB
가슴	가슴/NNG
졸이던	졸이/VV+던/ETM
그가	그/NP+가/JKS
모처럼	모처럼/MAG
환하게	환하/VA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.115.3.1
흥국생명 왼쪽 공격수 한송이가 6일 인천 도원체육관에서 열린 2008~2009 프로배구 여자부 챔피언결정전(5전3선승제) 지에스(GS)칼텍스와 2차전에서 14점을 올리며 팀의 3-2 승리에 기여했다.

흥국생명	흥국생명/NNP
왼쪽	왼쪽/NNG
공격수	공격수/NNG
한송이가	한송이/NNP+가/JKS
6일	6/SN+일/NNB
인천	인천/NNP
도원체육관에서	도원체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2008~2009	2008/SN+~/SO+2009/SN
프로배구	프로/NNG+배구/NNG
여자부	여자부/NNG
챔피언결정전(5전3선승제)	챔피언/NNG+결정전/NNG+(/SS+5/SN+전/NNB+3/SN+선승/NNG+제/XSN+)/SS
지에스(GS)칼텍스와	지에스/NNP+(/SS+GS/SL+)/SS+칼텍스/NNP+와/JKB
2차전에서	2/SN+차전/NNB+에서/JKB
14점을	14/SN+점/NNB+을/JKO
올리며	올리/VV+며/EC
팀의	팀/NNG+의/JKG
3-2	3/SN+-/SO+2/SN
승리에	승리/NNG+에/JKB
기여했다.	기여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.115.3.2
1차전에서 0-3으로 완패했던 흥국생명은 이로써 1승1패로 균형을 맞춘 뒤 9일부터 안방인 천안에서 3·4차전을 맞이하게 돼 한결 유리해졌다.

1차전에서	1/SN+차전/NNB+에서/JKB
0-3으로	0/SN+-/SO+3/SN+으로/JKB
완패했던	완패/NNG+하/XSV+았/EP+던/ETM
흥국생명은	흥국생명/NNP+은/JX
이로써	이/NP+로써/JKB
1승1패로	1/SN+승/NNB+1/SN+패/NNB+로/JKB
균형을	균형/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
뒤	뒤/NNG
9일부터	9/SN+일/NNB+부터/JX
안방인	안방/NNG+이/VCP+ㄴ/ETM
천안에서	천안/NNP+에서/JKB
3·4차전을	3/SN+·/SP+4/SN+차전/NNB+을/JKO
맞이하게	맞이하/VV+게/EC
돼	되/VV+어/EC
한결	한결/MAG
유리해졌다.	유리/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.115.4.1
한송이는 팀이 세트점수 1-2로 뒤진 4세트에서만 두 팀 통틀어 최다인 7점을 강타하며 승부를 원점으로 돌렸고, 마지막 5세트 14-13에서 승부를 결정짓는 공격까지 마무리했다.

한송이는	한송이/NNP+는/JX
팀이	팀/NNG+이/JKS
세트점수	세트/NNG+점수/NNG
1-2로	1/SN+-/SO+2/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
4세트에서만	4/SN+세트/NNG+에서/JKB+만/JX
두	두/MMN
팀	팀/NNG
통틀어	통틀어/MAG
최다인	최다/NNG+이/VCP+ㄴ/ETM
7점을	7/SN+점/NNB+을/JKO
강타하며	강타/NNG+하/XSV+며/EC
승부를	승부/NNG+를/JKO
원점으로	원점/NNG+으로/JKB
돌렸고,	돌리/VV+었/EP+고/EC+,/SP
마지막	마지막/NNG
5세트	5/SN+세트/NNG
14-13에서	14/SN+-/SO+13/SN+에서/JKB
결정짓는	결정짓/VV+는/ETM
공격까지	공격/NNG+까지/JX
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.115.4.2
마지막 점수를 성공시킨 그는 “울어버리고 싶었다”는 짤막한 말로 속내를 감추지 않았다.

마지막	마지막/NNG
점수를	점수/NNG+를/JKO
성공시킨	성공/NNG+시키/XSV+ㄴ/ETM
그는	그/NP+는/JX
“울어버리고	“/SS+울/VV+어/EC+버리/VX+고/EC
싶었다”는	싶/VX+었/EP+다/EF+”/SS+는/ETM
짤막한	짤막하/VA+ㄴ/ETM
말로	말/NNG+로/JKB
속내를	속내/NNG+를/JKO
감추지	감추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.115.4.3
“흥국생명에 와서 센터와 라이트, 레프트까지 안 해본 것이 없었다”는 한송이는 “그래도 팀에 보탬이 되지 못해 늘 마음고생이 심했는데, 오늘만큼은 팀 승리에 기여한 것 같아 마음이 편해졌다”고 했다.

“흥국생명에	“/SS+흥국생명/NNP+에/JKB
와서	오/VV+아서/EC
센터와	센터/NNG+와/JC
라이트,	라이트/NNG+,/SP
레프트까지	레프트/NNG+까지/JX
안	안/MAG
해본	하/VV+아/EC+보/VX+ㄴ/ETM
것이	것/NNB+이/JKS
없었다”는	없/VA+었/EP+다/EF+”/SS+는/ETM
한송이는	한송이/NNP+는/JX
“그래도	“/SS+그러/VV+어도/EC
팀에	팀/NNG+에/JKB
보탬이	보태/VV+ㅁ/ETN+이/JKC
되지	되/VV+지/EC
못해	못하/VX+아/EC
늘	늘/MAG
마음고생이	마음고생/NNG+이/JKS
심했는데,	심하/VA+았/EP+는데/EC+,/SP
오늘만큼은	오늘/NNG+만큼/JKB+은/JX
팀	팀/NNG
승리에	승리/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같아	같/VA+아/EC
마음이	마음/NNG+이/JKS
편해졌다”고	편하/VA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.115.5.1
흥국생명은 이날 최다점수를 기록한 푸에르토리코 출신 카리나(35점)와 김연경(23점), 한송이 3인방이 팀 공격을 완벽하게 이끌었다.

흥국생명은	흥국생명/NNP+은/JX
이날	이날/NNG
최다점수를	최다/NNG+점수/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
푸에르토리코	푸에르토리코/NNP
출신	출신/NNG
카리나(35점)와	카리나/NNP+(/SS+35/SN+점/NNB+)/SS+와/JC
김연경(23점),	김연경/NNP+(/SS+23/SN+점/NNB+)/SS+,/SP
한송이	한송이/NNP
3인방이	3인방/NNG+이/JKS
팀	팀/NNG
공격을	공격/NNG+을/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.115.5.2
특히 카리나는 포지션을 왼쪽에서 오른쪽으로 옮겨 상대 주포 데라크루즈(32점) 공격 차단에 앞장섰다.

특히	특히/MAG
카리나는	카리나/NNP+는/JX
포지션을	포지션/NNG+을/JKO
왼쪽에서	왼쪽/NNG+에서/JKB
오른쪽으로	오른쪽/NNG+으로/JKB
옮겨	옮기/VV+어/EC
상대	상대/NNG
주포	주포/NNG
데라크루즈(32점)	데라크루즈/NNP+(/SS+32/SN+점/NNB+)/SS
공격	공격/NNG
차단에	차단/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.115.5.3
“수비에 부담이 없는 자리지만, 후위공격을 책임져야 했기에 쉽진 않았다”는 카리나는 가로막기(5점)와 후위공격(8점)에서도 제몫을 다했다.

“수비에	“/SS+수비/NNG+에/JKB
부담이	부담/NNG+이/JKS
없는	없/VA+는/ETM
자리지만,	자리/NNG+이/VCP+지만/EC+,/SP
후위공격을	후위/NNG+공격/NNG+을/JKO
책임져야	책임지/VV+어야/EC
했기에	하/VX+았/EP+기에/EC
쉽진	쉽/VA+지/EC+ㄴ/JX
않았다”는	않/VX+았/EP+다/EF+”/SS+는/ETM
