# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.257
metadata : {}


# id : NWRW1800000045.257.1.1
[오늘과 내일/박성원]朴대통령, 문지방 돌덩이들을 어쩔 것인가

[오늘과	[/SS+오늘/NNG+과/JC
내일/박성원]朴대통령,	내일/NNG+//SP+박성원/NNP+]/SS+朴/SH+대통령/NNG+,/SP
문지방	문지방/NNG
돌덩이들을	돌덩이/NNG+들/XSN+을/JKO
어쩔	어쩌/VV+ㄹ/ETM
것인가	것/NNB+이/VCP+ㄴ가/EF


# id : NWRW1800000045.257.2.1
박근혜 대통령이 신년회견에서 배석 장관들을 향해 “그게(대면보고가) 필요하다고 생각하세요?”라고 물었을 때, 여기저기서 가슴 철렁하는 소리가 들리는 듯했다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
신년회견에서	신년/NNG+회견/NNG+에서/JKB
배석	배석/NNG
장관들을	장관/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
“그게(대면보고가)	“/SS+그거/NP+이/JKS+(/SS+대면/NNG+보고/NNG+가/JKS+)/SS
필요하다고	필요/NNG+하/XSA+다고/EC
생각하세요?”라고	생각/NNG+하/XSV+시/EP+어요/EF+?/SF+”/SS+라고/JKQ
물었을	묻/VV+었/EP+을/ETM
때,	때/NNG+,/SP
여기저기서	여기저기/NNG+서/JKB
가슴	가슴/NNG
철렁하는	철렁/MAG+하/XSV+는/ETM
소리가	소리/NNG+가/JKS
들리는	들리/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.257.2.2
웃음을 띠기는 했지만 ‘대체 어떤 얘기들을 하고 다녔기에 대면보고 부족 얘기가 나오는 거냐’는 레이저 광선이 느껴졌기 때문이다.

웃음을	웃음/NNG+을/JKO
띠기는	띠/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
‘대체	‘/SS+대체/MAG
어떤	어떤/MMD
얘기들을	얘기/NNG+들/XSN+을/JKO
하고	하/VV+고/EC
다녔기에	다니/VV+었/EP+기에/EC
대면보고	대면/NNG+보고/NNG
부족	부족/NNG
얘기가	얘기/NNG+가/JKS
나오는	나오/VV+는/ETM
거냐’는	거/NNB+이/VCP+냐/EF+’/SS+는/ETM
레이저	레이저/NNG
광선이	광선/NNG+이/JKS
느껴졌기	느끼/VV+어/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.257.3.1
박 대통령이 “각 부처 고위 공무원 인사는 해당 부처 장관이 전부 실질적 권한을 행사한다”고 했을 때는 각 부처의 출입기자들이 곳곳에서 한숨을 쉬었다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
“각	“/SS+각/MMD
부처	부처/NNG
고위	고위/NNG
공무원	공무원/NNG
인사는	인사/NNG+는/JX
해당	해당/NNG
장관이	장관/NNG+이/JKS
전부	전부/MAG
실질적	실질/NNG+적/XSN
권한을	권한/NNG+을/JKO
행사한다”고	행사/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했을	하/VV+았/EP+을/ETM
때는	때/NNG+는/JX
각	각/MMD
부처의	부처/NNG+의/JKG
출입기자들이	출입/NNG+기자/NNG+들/XSN+이/JKS
곳곳에서	곳곳/NNG+에서/JKB
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.257.3.2
대통령의 말이 사실이라면 부처 국·과장급 인사까지도 청와대 결재를 받기 위해 몇 달 동안 기다려야 한다던 부처 관계자들이 거짓말을 했거나, 대통령도 모르는 새 청와대 문고리 권력들이 장관들의 인사권을 가로채 주물러왔다는 얘기가 된다.

대통령의	대통령/NNG+의/JKG
말이	말/NNG+이/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
부처	부처/NNG
국·과장급	국·과장급/NNG
인사까지도	인사/NNG+까지/JX+도/JX
청와대	청와대/NNP
결재를	결재/NNG+를/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
몇	몇/NR
달	달/NNB
동안	동안/NNG
기다려야	기다리/VV+어야/EC
한다던	하/VX+ㄴ다던/ETM
관계자들이	관계자/NNG+들/XSN+이/JKS
거짓말을	거짓말/NNG+을/JKO
했거나,	하/VV+았/EP+거나/EC+,/SP
대통령도	대통령/NNG+도/JX
모르는	모르/VV+는/ETM
새	새/NNG
문고리	문고리/NNG
권력들이	권력/NNG+들/XSN+이/JKS
장관들의	장관/NNG+들/XSN+의/JKG
인사권을	인사/NNG+권/XSN+을/JKO
가로채	가로채/VV+어/EC
주물러왔다는	주무르/VV+어/EC+오/VX+았/EP+다는/ETM
얘기가	얘기/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.257.4.1
과거 정부에서 청와대 핵심 참모를 지낸 한 인사는 대통령이 바라보는 현실과 바깥에서 바라보는 현실의 괴리를 ‘임기 3년차 증후군’으로 설명했다.

과거	과거/NNG
정부에서	정부/NNG+에서/JKB
청와대	청와대/NNP
핵심	핵심/NNG
참모를	참모/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
한	한/MMN
인사는	인사/NNG+는/JX
대통령이	대통령/NNG+이/JKS
바라보는	바라보/VV+는/ETM
현실과	현실/NNG+과/JC
바깥에서	바깥/NNG+에서/JKB
현실의	현실/NNG+의/JKG
괴리를	괴리/NNG+를/JKO
‘임기	‘/SS+임기/NNG
3년차	3/SN+년/NNB+차/NNB
증후군’으로	증후군/NNG+’/SS+으로/JKB
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.257.5.1
“임기 반환점을 맞는 3년차에 접어들면 쏟아놓은 공약과 국정과제에서 성과를 내야 한다는 압박감을 느낀다.

“임기	“/SS+임기/NNG
반환점을	반환점/NNG+을/JKO
맞는	맞/VV+는/ETM
3년차에	3/SN+년/NNB+차/NNB+에/JKB
접어들면	접어들/VV+면/EC
쏟아놓은	쏟/VV+아/EC+놓/VX+은/ETM
공약과	공약/NNG+과/JC
국정과제에서	국정/NNG+과제/NNG+에서/JKB
성과를	성과/NNG+를/JKO
내야	내/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
압박감을	압박감/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.257.5.2
