# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.238
metadata : {}


# id : NWRW1800000021.238.1.1
매출 3조8694억 영업익 2773억… GS건설 상반기 사상최대 실적

매출	매출/NNG
3조8694억	3/SN+조/NR+8694/SN+억/NR
영업익	영업익/NNG
2773억…	2773/SN+억/NR+…/SE
GS건설	GS건설/NNP
상반기	상반기/NNG
사상최대	사상/NNG+최대/NNG
실적	실적/NNG


# id : NWRW1800000021.238.2.1
GS건설이 올 상반기(1∼6월) 사상 최대의 매출과 영업이익을 올리는 등 대형 건설사들이 침체에서 벗어나고 있다.

GS건설이	GS건설/NNP+이/JKS
올	올/NNG
상반기(1∼6월)	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS
사상	사상/NNG
최대의	최대/NNG+의/JKG
매출과	매출/NNG+과/JC
영업이익을	영업/NNG+이익/NNG+을/JKO
올리는	올리/VV+는/ETM
등	등/NNB
대형	대형/NNG
건설사들이	건설사/NNG+들/XSN+이/JKS
침체에서	침체/NNG+에서/JKB
벗어나고	벗어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.238.2.2
하지만 주택부문에 사업이 집중돼 있는 중견 건설사들은 2분기(4∼6월) 수익이 더 악화될 것으로 예상돼 건설업계의 양극화가 심화되고 있다.

하지만	하지만/MAJ
주택부문에	주택/NNG+부문/NNG+에/JKB
사업이	사업/NNG+이/JKS
집중돼	집중/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
중견	중견/NNG
건설사들은	건설사/NNG+들/XSN+은/JX
2분기(4∼6월)	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS
수익이	수익/NNG+이/JKS
더	더/MAG
악화될	악화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상돼	예상/NNG+되/XSV+어/EC
건설업계의	건설업/NNG+계/XSN+의/JKG
양극화가	양극/NNG+화/XSN+가/JKS
심화되고	심화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.238.3.1
GS건설은 21일 공시를 통해 올 상반기 매출액이 전년 동기 대비 29% 증가한 3조8694억 원, 영업이익은 13% 증가한 2773억 원으로 상반기 기준 사상 최대 실적을 냈다고 밝혔다.

GS건설은	GS건설/NNP+은/JX
21일	21/SN+일/NNB
공시를	공시/NNG+를/JKO
통해	통하/VV+아/EC
올	올/NNG
상반기	상반기/NNG
매출액이	매출액/NNG+이/JKS
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
29%	29/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
3조8694억	3/SN+조/NR+8694/SN+억/NR
원,	원/NNB+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
13%	13/SN+%/SW
2773억	2773/SN+억/NR
원으로	원/NNB+으로/JKB
기준	기준/NNG
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.238.3.2
2분기 실적은 매출액 2조460억 원, 영업이익 1586억 원으로 전년 동기 대비 각각 17%, 11% 증가했다.

2분기	2/SN+분기/NNG
실적은	실적/NNG+은/JX
매출액	매출액/NNG
2조460억	2/SN+조/NR+460/SN+억/NR
원,	원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
1586억	1586/SN+억/NR
원으로	원/NNB+으로/JKB
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
각각	각각/MAG
17%,	17/SN+%/SW+,/SP
11%	11/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.238.3.3
GS건설 관계자는 “1, 2년 전 수주했던 대형 공사들이 올해 매출과 이익에 반영된 데다 올 상반기 미분양 아파트 판매에 총력을 기울이고 원가 절감 등을 한 결과”라고 설명했다.

GS건설	GS건설/NNP
관계자는	관계자/NNG+는/JX
“1,	“/SS+1/SN+,/SP
2년	2/SN+년/NNB
전	전/NNG
수주했던	수주/NNG+하/XSV+았/EP+던/ETM
대형	대형/NNG
공사들이	공사/NNG+들/XSN+이/JKS
올해	올해/NNG
매출과	매출/NNG+과/JC
이익에	이익/NNG+에/JKB
반영된	반영/NNG+되/XSV+ㄴ/ETM
데다	데/NNB+다/JX
올	올/NNG
상반기	상반기/NNG
미분양	미/XPN+분양/NNG
아파트	아파트/NNG
판매에	판매/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이고	기울이/VV+고/EC
원가	원가/NNG
절감	절감/NNG
등을	등/NNB+을/JKO
한	하/VV+ㄴ/ETM
