# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.192
metadata : {}


# id : NWRW1800000030.192.1.1
박태환 "7월 상하이에 태극기 휘날릴 것"

박태환	박태환/NNP
"7월	"/SS+7/SN+월/NNB
상하이에	상하이/NNP+에/JKB
태극기	태극기/NNG
휘날릴	휘날리/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000030.192.2.1
•어제 태릉선수촌 입촌 세계선수권 준비 시작

•어제	•/SW+어제/MAG
태릉선수촌	태릉선수촌/NNP
입촌	입촌/NNG
세계선수권	세계/NNG+선수/NNG+권/XSN
준비	준비/NNG
시작	시작/NNG


# id : NWRW1800000030.192.3.1
'마린보이'가 다시 물로 돌아왔다.

'마린보이'가	'/SS+마린보이/NNG+'/SS+가/JKS
다시	다시/MAG
물로	물/NNG+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.3.2
박태환(22·단국대)이 광저우 아시안게임 3관왕에 오른 후 40여일간의 달콤한 휴식을 마치고 11일 태릉선수촌에 입촌, 2011년 국가대표팀 첫 공식 훈련에 들어갔다.

박태환(22·단국대)이	박태환/NNP+(/SS+22/SN+·/SP+단국대/NNP+)/SS+이/JKS
광저우	광저우/NNP
아시안게임	아시안/NNP+게임/NNG
3관왕에	3관왕/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
후	후/NNG
40여일간의	40/SN+여/XSN+일/NNB+간/XSN+의/JKG
달콤한	달콤하/VA+ㄴ/ETM
휴식을	휴식/NNG+을/JKO
마치고	마치/VV+고/EC
11일	11/SN+일/NNB
태릉선수촌에	태릉선수촌/NNP+에/JKB
입촌,	입촌/NNG+,/SP
2011년	2011/SN+년/NNB
국가대표팀	국가/NNG+대표/NNG+팀/NNG
첫	첫/MMN
공식	공식/NNG
훈련에	훈련/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.4.1
박태환은 이날 오후 수영장에 들어가기에 앞서 태릉 선수촌 근력훈련장인 월계관을 찾았다.

박태환은	박태환/NNP+은/JX
이날	이날/NNG
오후	오후/NNG
수영장에	수영장/NNG+에/JKB
들어가기에	들어가/VV+기에/EC
앞서	앞서/VV+어/EC
태릉	태릉/NNP
선수촌	선수촌/NNG
근력훈련장인	근력/NNG+훈련장/NNG+이/VCP+ㄴ/ETM
월계관을	월계관/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.4.2
한쪽 벽에 붙여진 역대 올림픽 메달리스트들 사진들을 잠시 보더니 달리기와 스트레칭으로 몸을 풀었다.

한쪽	한쪽/NNG
벽에	벽/NNG+에/JKB
붙여진	붙이/VV+어/EC+지/VX+ㄴ/ETM
역대	역대/NNG
올림픽	올림픽/NNG
메달리스트들	메달리스트/NNG+들/XSN
사진들을	사진/NNG+들/XSN+을/JKO
잠시	잠시/MAG
보더니	보/VV+더니/EC
달리기와	달리기/NNG+와/JC
스트레칭으로	스트레칭/NNG+으로/JKB
몸을	몸/NNG+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.192.5.1
지난 연말 어머니, 누나와 일본 오사카로 2박3일간 여행을 다녀왔다는 그는 "가족 여행은 처음이라 재미있었어요. 새해에도 열심히 해야죠"라고 말했다.

지난	지나/VV+ㄴ/ETM
연말	연말/NNG
어머니,	어머니/NNG+,/SP
누나와	누나/NNG+와/JKB
일본	일본/NNP
오사카로	오사카/NNP+로/JKB
2박3일간	2/SN+박/NNB+3/SN+일/NNB+간/XSN
여행을	여행/NNG+을/JKO
다녀왔다는	다녀오/VV+았/EP+다는/ETM
그는	그/NP+는/JX
"가족	"/SS+가족/NNG
여행은	여행/NNG+은/JX
처음이라	처음/NNG+이/VCP+라/EC
재미있었어요.	재미있/VA+었/EP+어요/EF+./SF
새해에도	새해/NNG+에/JKB+도/JX
열심히	열심히/MAG
해야죠"라고	하/VV+아야지/EF+요/JX+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.6.1
올 7월엔 중국 상하이에서 세계선수권대회가 열린다.

올	올/NNG
7월엔	7/SN+월/NNB+에/JKB+ㄴ/JX
중국	중국/NNP
상하이에서	상하이/NNP+에서/JKB
세계선수권대회가	세계/NNG+선수/NNG+권/XSN+대회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.192.6.2
박태환은 "또 웃을 수 있도록 하겠다"고 말했다.

박태환은	박태환/NNP+은/JX
"또	"/SS+또/MAG
웃을	웃/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.6.3
그에겐 2007 멜버른 세계선수권에서 금 1, 동 1개를 따낸 좋은 기억과 2009 로마 대회 노메달이라는 아픈 기억도 있다.

그에겐	그/NP+에게/JKB+ㄴ/JX
2007	2007/SN
멜버른	멜버른/NNP
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
금	금/NNG
1,	1/SN+,/SP
동	동/NNG
1개를	1/SN+개/NNB+를/JKO
따낸	따내/VV+ㄴ/ETM
좋은	좋/VA+은/ETM
기억과	기억/NNG+과/JC
2009	2009/SN
로마	로마/NNP
대회	대회/NNG
노메달이라는	노메달/NNG+이/VCP+라는/ETM
아픈	아프/VA+ㄴ/ETM
기억도	기억/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.192.6.4
그래서인지 "올해는 꼭 평균 성적을 보여 드리고 싶다"고 말했다.

그래서인지	그렇/VA+어서/EC+이/VCP+ㄴ지/EC
"올해는	"/SS+올해/NNG+는/JX
꼭	꼭/MAG
평균	평균/NNG
성적을	성적/NNG+을/JKO
보여	보이/VV+어/EC
드리고	드리/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.6.5
세계정상권의 기량을 유지해 나가면서 메달도 놓치지 않겠다는 뜻이다.

세계정상권의	세계/NNG+정상/NNG+권/XSN+의/JKG
기량을	기량/NNG+을/JKO
유지해	유지/NNG+하/XSV+아/EC
나가면서	나가/VX+면서/EC
메달도	메달/NNG+도/JX
놓치지	놓치/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.192.7.1
박태환은 당분간 태릉에서 합숙훈련하고 나서 다음 달 7일쯤 호주 브리즈번으로 떠나 8주간 머문다.

박태환은	박태환/NNP+은/JX
당분간	당분간/MAG
태릉에서	태릉/NNP+에서/JKB
합숙훈련하고	합숙/NNG+훈련/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
다음	다음/NNG
달	달/NNG
7일쯤	7/SN+일/NNB+쯤/XSN
호주	호주/NNP
브리즈번으로	브리즈번/NNP+으로/JKB
떠나	떠나/VV+아/EC
8주간	8/SN+주/NNB+간/XSN
머문다.	머물/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.192.7.2
마이클 볼 코치의 지도를 받고 4월 초에 귀국했다가 4월 16일부터 5월 29일까지 호주에서 2차 전지훈련을 한다.

마이클	마이클/NNP
볼	볼/NNP
코치의	코치/NNG+의/JKG
지도를	지도/NNG+를/JKO
받고	받/VV+고/EC
4월	4/SN+월/NNB
초에	초/NNB+에/JKB
귀국했다가	귀국/NNG+하/XSV+았/EP+다가/EC
16일부터	16/SN+일/NNB+부터/JX
5월	5/SN+월/NNB
29일까지	29/SN+일/NNB+까지/JX
