# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.221
metadata : {}


# id : NWRW1800000041.221.1.1
여중생 임신시킨 40대, 성폭행혐의 무죄 논란

여중생	여중/NNG+생/XSN
임신시킨	임신/NNG+시키/XSV+ㄴ/ETM
40대,	40/SN+대/NNB+,/SP
성폭행혐의	성폭행/NNG+혐의/NNG
무죄	무죄/NNG
논란	논란/NNG


# id : NWRW1800000041.221.2.1
15세 소녀가 보낸 ‘애정 편지’에 대법 “연인 관계”… 원심 파기 환송

15세	15/SN+세/NNB
소녀가	소녀/NNG+가/JKS
보낸	보내/VV+ㄴ/ETM
‘애정	‘/SS+애정/NNG
편지’에	편지/NNG+’/SS+에/JKB
대법	대법/NNG
“연인	“/SS+연인/NNG
관계”…	관계/NNG+”/SS+…/SE
원심	원심/NNG
파기	파기/NNG
환송	환송/NNG


# id : NWRW1800000041.221.3.1
대법원이 “27세 연하의 여중생과 연인 관계였다”는 40대 남성의 주장을 받아들여 1, 2심과 달리 성폭행 혐의를 무죄 취지로 판단했다.

대법원이	대/XPN+법원/NNG+이/JKS
“27세	“/SS+27/SN+세/NNB
연하의	연하/NNG+의/JKG
여중생과	여중/NNG+생/XSN+과/JKB
연인	연인/NNG
관계였다”는	관계/NNG+이/VCP+었/EP+다/EF+”/SS+는/ETM
40대	40/SN+대/NNB
남성의	남성/NNG+의/JKG
주장을	주장/NNG+을/JKO
받아들여	받아들이/VV+어/EC
1,	1/SN+,/SP
2심과	2심/NNG+과/JKB
달리	달리/MAG
성폭행	성폭행/NNG
혐의를	혐의/NNG+를/JKO
무죄	무죄/NNG
취지로	취지/NNG+로/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.221.4.1
대법원 3부(주심 김신 대법관)는 병원에서 우연히 만난 여중생을 수차례 성폭행하고 가출을 유도한 혐의 등으로 구속 기소된 연예기획사 대표 조모 씨(45)에게 징역 9년을 선고한 2심을 깨고 사건을 서울고법으로 돌려보냈다고 24일 밝혔다.

대법원	대/XPN+법원/NNG
3부(주심	3/SN+부/NNG+(/SS+주심/NNG
김신	김신/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
병원에서	병원/NNG+에서/JKB
우연히	우연히/MAG
만난	만나/VV+ㄴ/ETM
여중생을	여중/NNG+생/XSN+을/JKO
수차례	수차례/NNG
성폭행하고	성폭행/NNG+하/XSV+고/EC
가출을	가출/NNG+을/JKO
유도한	유도/NNG+하/XSV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
구속	구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
연예기획사	연예/NNG+기획사/NNG
대표	대표/NNG
조모	조/NNP+모/NP
씨(45)에게	씨/NNB+(/SS+45/SN+)/SS+에게/JKB
징역	징역/NNG
9년을	9/SN+년/NNB+을/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
2심을	2심/NNG+을/JKO
깨고	깨/VV+고/EC
사건을	사건/NNG+을/JKO
서울고법으로	서울고법/NNP+으로/JKB
돌려보냈다고	돌려보내/VV+었/EP+다고/EC
24일	24/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.221.5.1
조 씨는 2011년 8월 아들(당시 13세)이 입원해 있던 서울 강서구의 한 병원에서 A 양(당시 15세)을 만났다.

조	조/NNP
씨는	씨/NNB+는/JX
2011년	2011/SN+년/NNB
8월	8/SN+월/NNB
아들(당시	아들/NNG+(/SS+당시/NNG
13세)이	13/SN+세/NNB+)/SS+이/JKS
입원해	입원/NNG+하/XSV+아/EC
있던	있/VX+던/ETM
서울	서울/NNP
강서구의	강서구/NNP+의/JKG
한	한/MMN
병원에서	병원/NNG+에서/JKB
A	A/SL
양(당시	양/NNB+(/SS+당시/NNG
15세)을	15/SN+세/NNB+)/SS+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.221.5.2
이어 같은 달 A 양에게 “연예인을 시켜주겠다”며 승용차와 집으로 유인한 뒤 성폭행한 혐의로 기소됐다.

이어	이어/MAG
같은	같/VA+은/ETM
달	달/NNG
A	A/SL
양에게	양/NNB+에게/JKB
“연예인을	“/SS+연예인/NNG+을/JKO
시켜주겠다”며	시키/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+며/EC
승용차와	승용차/NNG+와/JC
집으로	집/NNG+으로/JKB
유인한	유인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.221.5.3
조 씨는 이듬해 A 양이 임신하자 가출하도록 한 뒤 한 달가량 동거하기도 했다.

조	조/NNP
씨는	씨/NNB+는/JX
이듬해	이듬해/NNG
A	A/SL
양이	양/NNB+이/JKS
임신하자	임신/NNG+하/XSV+자/EC
가출하도록	가출/NNG+하/XSV+도록/EC
한	한/MMN
뒤	뒤/NNG
달가량	달/NNB+가량/XSN
동거하기도	동거/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.221.6.1
조 씨는 1, 2심 당시 “A 양과 결혼을 전제로 한 연인 관계였다”고 주장하며 A 양이 구치소로 매일 자신을 면회 온 기록과 ‘보고 싶다’는 등의 애정 표현이 담긴 편지를 증거로 냈지만 받아들여지지 않았다.

조	조/NNP
씨는	씨/NNB+는/JX
1,	1/SN+,/SP
2심	2심/NNG
당시	당시/NNG
“A	“/SS+A/SL
양과	양/NNB+과/JKB
결혼을	결혼/NNG+을/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
연인	연인/NNG
관계였다”고	관계/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
주장하며	주장/NNG+하/XSV+며/EC
A	A/SL
양이	양/NNB+이/JKS
구치소로	구치소/NNG+로/JKB
매일	매일/MAG
자신을	자신/NNG+을/JKO
면회	면회/NNG
온	오/VV+ㄴ/ETM
기록과	기록/NNG+과/JC
‘보고	‘/SS+보/VV+고/EC
싶다’는	싶/VX+다/EF+’/SS+는/ETM
등의	등/NNB+의/JKG
애정	애정/NNG
표현이	표현/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
편지를	편지/NNG+를/JKO
증거로	증거/NNG+로/JKB
냈지만	내/VV+었/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.221.6.2
1, 2심 재판부는 “(편지가 성폭행 이후 한참 지나 쓰인 것이라) 범행 후의 사정에 불과하고 피해자가 임신까지 한 상태에서 마지못해 (조 씨를) 추종하게 된 것”이라고 판단했다.

1,	1/SN+,/SP
2심	2심/NNG
재판부는	재판부/NNG+는/JX
“(편지가	“/SS+(/SS+편지/NNG+가/JKS
성폭행	성폭행/NNG
이후	이후/NNG
한참	한참/MAG
지나	지나/VV+아/EC
쓰인	쓰이/VV+ㄴ/ETM
것이라)	것/NNB+이/VCP+라/EC+)/SS
범행	범행/NNG
후의	후/NNG+의/JKG
사정에	사정/NNG+에/JKB
불과하고	불과/MAG+하/XSA+고/EC
피해자가	피해자/NNG+가/JKS
임신까지	임신/NNG+까지/JX
한	하/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
마지못해	마지못하/VA+아/EC
(조	(/SS+조/NNP
씨를)	씨/NNB+를/JKO+)/SS
추종하게	추종/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.221.7.1
그러나 대법원은 “A 양이 감정을 솔직하게 표현한 것으로 보인다.

그러나	그러나/MAJ
대법원은	대/XPN+법원/NNG+은/JX
“A	“/SS+A/SL
양이	양/NNB+이/JKS
감정을	감정/NNG+을/JKO
솔직하게	솔직하/VA+게/EC
표현한	표현/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
