# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.351
metadata : {}


# id : NWRW1800000054.351.1.1
[최순실 국정농단 중간 점검] (4·끝) 朴대통령 비선진료 논란

[최순실	[/SS+최순실/NNP
국정농단	국정/NNG+농단/NNG
중간	중간/NNG
점검]	점검/NNG+]/SS
(4·끝)	(/SS+4/SN+·/SP+끝/NNG+)/SS
朴대통령	朴/SH+대통령/NNG
비선진료	비선/NNG+진료/NNG
논란	논란/NNG


# id : NWRW1800000054.351.2.1
필러·보톡스 중독설 돌았지만… 특검이 확인한 건 3년간 8차례

필러·보톡스	필러/NNG+·/SP+보톡스/NNG
중독설	중독설/NNG
돌았지만…	돌/VV+았/EP+지만/EC+…/SE
특검이	특검/NNG+이/JKS
확인한	확인/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
3년간	3/SN+년/NNB+간/XSN
8차례	8/SN+차례/NNG


# id : NWRW1800000054.351.3.1
박근혜 대통령이 청와대에서 비선 의료진에 수시로 미용 시술을 받았다는 의혹은 탄핵 심판 사건에서도 잠시 쟁점이 됐다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
청와대에서	청와대/NNP+에서/JKB
비선	비선/NNG
의료진에	의료진/NNG+에/JKB
수시로	수시로/MAG
미용	미용/NNG
시술을	시술/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
의혹은	의혹/NNG+은/JX
탄핵	탄핵/NNG
심판	심판/NNG
사건에서도	사건/NNG+에서/JKB+도/JX
잠시	잠시/MAG
쟁점이	쟁점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.351.3.2
국회의 탄핵소추 사유는 아니었지만 '세월호 7시간' 동안 박 대통령이 뭘 했는지가 헌재의 심판 과정에서 다뤄졌기 때문이다.

국회의	국회/NNG+의/JKG
탄핵소추	탄핵/NNG+소추/NNG
사유는	사유/NNG+는/JX
아니었지만	아니/VCN+었/EP+지만/EC
'세월호	'/SS+세월호/NNP
7시간'	7/SN+시간/NNB+'/SS
동안	동안/NNG
박	박/NNP
대통령이	대통령/NNG+이/JKS
뭘	뭐/NP+ㄹ/JKO
했는지가	하/VV+았/EP+는지/EF+가/JKS
헌재의	헌재/NNG+의/JKG
심판	심판/NNG
과정에서	과정/NNG+에서/JKB
다뤄졌기	다루/VV+어/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.351.3.3
특히 박 대통령이 향정신성의약품 처방까지 받은 것 아니냐는 루머가 돌면서 논란이 커졌다.

특히	특히/MAG
박	박/NNP
대통령이	대통령/NNG+이/JKS
향정신성의약품	향정신/NNG+성/XSN+의약품/NNG
처방까지	처방/NNG+까지/JX
받은	받/VV+은/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
루머가	루머/NNG+가/JKS
돌면서	돌/VV+면서/EC
논란이	논란/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.351.3.4
하지만 현재까지 드러난 사실을 보면 그동안 제기된 의혹과는 차이가 있다.

하지만	하지만/MAJ
현재까지	현재/NNG+까지/JX
드러난	드러나/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
보면	보/VV+면/EC
그동안	그동안/NNG
제기된	제기/NNG+되/XSV+ㄴ/ETM
의혹과는	의혹/NNG+과/JKB+는/JX
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.351.3.5
또 특검은 지난 28일 김영재씨 등 박 대통령을 비선 진료했다는 의혹을 받은 의사들을 진료기록부 허위 기재 등의 혐의로 기소하면서도 박 대통령이 이들로부터 진료를 받은 행위는 법적으로 문제 삼기 어렵다고 결론 내렸다.

또	또/MAG
특검은	특검/NNG+은/JX
지난	지나/VV+ㄴ/ETM
28일	28/SN+일/NNB
김영재씨	김영재/NNP+씨/NNB
등	등/NNB
박	박/NNP
대통령을	대통령/NNG+을/JKO
비선	비선/NNG
진료했다는	진료/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받은	받/VV+은/ETM
의사들을	의사/NNG+들/XSN+을/JKO
진료기록부	진료/NNG+기록부/NNG
허위	허위/NNG
기재	기재/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
기소하면서도	기소/NNG+하/XSV+면서/EC+도/JX
대통령이	대통령/NNG+이/JKS
이들로부터	이/NP+들/XSN+로부터/JKB
진료를	진료/NNG+를/JKO
행위는	행위/NNG+는/JX
법적으로	법/NNG+적/XSN+으로/JKB
문제	문제/NNG
삼기	삼/VV+기/ETN
어렵다고	어렵/VA+다고/EC
결론	결론/NNG
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.351.4.1
◇미용 시술, 프로포폴 처방 의혹=박영수 특검은 지난 28일 대통령 자문의였던 정기양 세브란스병원 교수와 최순실씨 단골 병원 의사인 김영재씨가 2013년 3월부터 2016년 7월까지 3년 4개월 동안 박 대통령에게 총 8차례 필러·보톡스 시술을 했다고 밝혔다.

◇미용	◇/SW+미용/NNG
시술,	시술/NNG+,/SP
프로포폴	프로포폴/NNG
처방	처방/NNG
의혹=박영수	의혹/NNG+=/SW+박영수/NNP
특검은	특검/NNG+은/JX
지난	지나/VV+ㄴ/ETM
28일	28/SN+일/NNB
대통령	대통령/NNG
자문의였던	자문의/NNG+이/VCP+었/EP+던/ETM
정기양	정기양/NNP
세브란스병원	세브란스병원/NNP
교수와	교수/NNG+와/JC
최순실씨	최순실/NNP+씨/NNB
단골	단골/NNG
병원	병원/NNG
의사인	의사/NNG+이/VCP+ㄴ/ETM
김영재씨가	김영재/NNP+씨/NNB+가/JKS
2013년	2013/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
2016년	2016/SN+년/NNB
7월까지	7/SN+월/NNB+까지/JX
3년	3/SN+년/NNB
4개월	4/SN+개월/NNB
동안	동안/NNG
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
총	총/MMA
8차례	8/SN+차례/NNG
필러·보톡스	필러/NNG+·/SP+보톡스/NNG
시술을	시술/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.351.4.2
특검은 박 대통령이 이것 외에 더 미용 시술을 받았는지는 밝히지 못했다.

