# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.400
metadata : {}


# id : NWRW1800000029.400.1.1
뻥 뚫린 軍, 만약 실전에서 이랬다면…

뻥	뻥/MAG
뚫린	뚫리/VV+ㄴ/ETM
軍,	軍/SH+,/SP
만약	만약/MAG
실전에서	실전/NNG+에서/JKB
이랬다면…	이러/VV+었/EP+다면/EC+…/SE


# id : NWRW1800000029.400.2.1
어제 새벽 경기북부-강원지역 예고 없이 敵가장 대항군 침투

어제	어제/NNG
새벽	새벽/NNG
경기북부-강원지역	경기/NNP+북부/NNG+-/SO+강원지역/NNP
예고	예고/NNG
없이	없이/MAG
敵가장	敵/SH+가장/NNG
대항군	대항군/NNG
침투	침투/NNG


# id : NWRW1800000029.400.3.1
특전사 20명중 1명도 못잡아

특전사	특전사/NNG
20명중	20/SN+명/NNB+중/NNB
1명도	1/SN+명/NNB+도/JX
못잡아	못/MAG+잡/VV+아/EF


# id : NWRW1800000029.400.4.1
6일 오전 1시경 강원 철원과 춘천, 경기 북부 등 중동부 전선의 모든 예하 부대에 훈련 상황으로 ‘진돗개 하나’가 발령됐다.

6일	6/SN+일/NNB
오전	오전/NNG
1시경	1/SN+시/NNB+경/XSN
강원	강원/NNP
철원과	철원/NNP+과/JC
춘천,	춘천/NNP+,/SP
경기	경기/NNP
북부	북부/NNG
등	등/NNB
중동부	중동부/NNG
전선의	전선/NNG+의/JKG
모든	모든/MMN
예하	예하/NNG
부대에	부대/NNG+에/JKB
훈련	훈련/NNG
상황으로	상황/NNG+으로/JKB
‘진돗개	‘/SS+진돗개/NNG
하나’가	하나/NR+’/SS+가/JKS
발령됐다.	발령/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.400.4.2
‘진돗개 하나’는 북한 특수부대의 기습침투 때 군 당국이 발령하는 국지도발 상황의 최고 대비태세다.

‘진돗개	‘/SS+진돗개/NNG
하나’는	하나/NR+’/SS+는/JX
북한	북한/NNP
특수부대의	특수/NNG+부대/NNG+의/JKG
기습침투	기습/NNG+침투/NNG
때	때/NNG
군	군/NNG
당국이	당국/NNG+이/JKS
발령하는	발령/NNG+하/XSV+는/ETM
국지도발	국지/NNG+도발/NNG
상황의	상황/NNG+의/JKG
최고	최고/NNG
대비태세다.	대비/NNG+태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.400.5.1
합동참모본부 핵심 간부와 위기조치반 소속 전 장교의 휴대전화 문자메시지로도 이 상황이 동시에 전파됐다.

합동참모본부	합동/NNG+참모/NNG+본부/NNG
핵심	핵심/NNG
간부와	간부/NNG+와/JC
위기조치반	위기/NNG+조치/NNG+반/NNG
소속	소속/NNG
전	전/MMN
장교의	장교/NNG+의/JKG
휴대전화	휴대/NNG+전화/NNG
문자메시지로도	문자/NNG+메시지/NNG+로/JKB+도/JX
이	이/MMD
상황이	상황/NNG+이/JKS
동시에	동시/NNG+에/JKB
전파됐다.	전파/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.400.5.2
합참 관계자는 “이번 훈련은 김관진 국방부 장관과 정승조 합참의장의 특별지시로 예하 부대의 대비태세를 불시 점검하는 차원에서 실시됐다”면서 “이번 대비태세 점검은 9일까지 이뤄지며 앞으로도 이런 불시 점검은 계속될 것”이라고 전했다.

합참	합참/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
훈련은	훈련/NNG+은/JX
김관진	김관진/NNP
국방부	국방부/NNG
장관과	장관/NNG+과/JC
정승조	정승조/NNP
합참의장의	합참/NNG+의장/NNG+의/JKG
특별지시로	특별/NNG+지시/NNG+로/JKB
예하	예하/NNG
부대의	부대/NNG+의/JKG
대비태세를	대비/NNG+태세/NNG+를/JKO
불시	불시/NNG
점검하는	점검/NNG+하/XSV+는/ETM
차원에서	차원/NNG+에서/JKB
실시됐다”면서	실시/NNG+되/XSV+었/EP+다/EF+”/SS+면서/EC
대비태세	대비/NNG+태세/NNG
점검은	점검/NNG+은/JX
9일까지	9/SN+일/NNB+까지/JX
이뤄지며	이뤄지/VV+며/EC
앞으로도	앞/NNG+으로/JKB+도/JX
이런	이런/MMD
계속될	계속/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
