# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.377
metadata : {}


# id : NWRW1800000024.377.1.1
독감백신 접종 2명 중태

독감백신	독감/NNG+백신/NNG
접종	접종/NNG
2명	2/SN+명/NNB
중태	중태/NNG


# id : NWRW1800000024.377.2.1
계절 인플루엔자(독감) 예방접종을 받은 할머니 두 사람이 뇌경색 등 중태에 빠져 치료를 받고 있다.

계절	계절/NNG
인플루엔자(독감)	인플루엔자/NNG+(/SS+독감/NNG+)/SS
예방접종을	예방/NNG+접종/NNG+을/JKO
받은	받/VV+은/ETM
할머니	할머니/NNG
두	두/MMN
사람이	사람/NNG+이/JKS
뇌경색	뇌경색/NNG
등	등/NNB
중태에	중태/NNG+에/JKB
빠져	빠지/VV+어/EC
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.377.3.1
질병관리본부는 지난 13일 수도권에 사는 77살 할머니가 보건소에서 독감 예방주사를 맞은 뒤 30분 만에 마비 증상 등으로 근처 병원 응급실로 옮겨졌으며, 뇌졸중의 한 종류인 뇌경색으로 진단돼 입원치료를 받고 있다고 15일 밝혔다.

질병관리본부는	질병/NNG+관리/NNG+본부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
수도권에	수도/NNG+권/XSN+에/JKB
사는	살/VV+는/ETM
77살	77/SN+살/NNB
할머니가	할머니/NNG+가/JKS
보건소에서	보건소/NNG+에서/JKB
독감	독감/NNG
예방주사를	예방/NNG+주사/NNG+를/JKO
맞은	맞/VV+은/ETM
뒤	뒤/NNG
30분	30/SN+분/NNB
만에	만/NNB+에/JKB
마비	마비/NNG
증상	증상/NNG
등으로	등/NNB+으로/JKB
근처	근처/NNG
병원	병원/NNG
응급실로	응급실/NNG+로/JKB
옮겨졌으며,	옮기/VV+어/EC+지/VX+었/EP+으며/EC+,/SP
뇌졸중의	뇌졸중/NNG+의/JKG
한	한/MMN
종류인	종류/NNG+이/VCP+ㄴ/ETM
뇌경색으로	뇌경색/NNG+으로/JKB
진단돼	진단/NNG+되/XSV+어/EC
입원치료를	입원/NNG+치료/NNG+를/JKO
받고	받/VV+고/EC
있다고	있/VX+다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.377.3.2
평소 고혈압과 치매를 앓아온 것으로 알려진 이 할머니는 입원 다음날인 14일 오전 상태가 위급해져 중환자실에서 치료를 받고 있다.

평소	평소/NNG
고혈압과	고/XPN+혈압/NNG+과/JC
치매를	치매/NNG+를/JKO
앓아온	앓/VV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
이	이/MMD
할머니는	할머니/NNG+는/JX
입원	입원/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
14일	14/SN+일/NNB
오전	오전/NNG
상태가	상태/NNG+가/JKS
위급해져	위급/NNG+하/XSA+아/EC+지/VX+어/EC
중환자실에서	중환자실/NNG+에서/JKB
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.377.3.3
질병관리본부는 역학조사관을 보내 이 할머니가 중태에 빠진 경위, 백신과의 관련성 등을 조사하고 있다.

질병관리본부는	질병/NNG+관리/NNG+본부/NNG+는/JX
역학조사관을	역학/NNG+조사관/NNG+을/JKO
보내	보내/VV+어/EC
이	이/MMD
할머니가	할머니/NNG+가/JKS
중태에	중태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
경위,	경위/NNG+,/SP
백신과의	백신/NNG+과/JKB+의/JKG
관련성	관련/NNG+성/XSN
등을	등/NNB+을/JKO
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.377.3.4
또 식품의약품안전청에는 백신에 대한 검정을 의뢰했다.

또	또/MAG
식품의약품안전청에는	식품/NNG+의약품/NNG+안전청/NNG+에/JKB+는/JX
백신에	백신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검정을	검정/NNG+을/JKO
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.377.4.1
또 12일 오전에는 91살 할머니가 수도권의 한 보건소에서 예방접종을 하고 집에 돌아온 뒤 쓰러져 뇌졸중으로 입원치료를 받고 있다고 질병관리본부는 밝혔다.

또	또/MAG
12일	12/SN+일/NNB
오전에는	오전/NNG+에/JKB+는/JX
91살	91/SN+살/NNB
할머니가	할머니/NNG+가/JKS
수도권의	수도/NNG+권/XSN+의/JKG
한	한/MMN
보건소에서	보건소/NNG+에서/JKB
예방접종을	예방/NNG+접종/NNG+을/JKO
하고	하/VV+고/EC
집에	집/NNG+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
뒤	뒤/NNG
쓰러져	쓰러지/VV+어/EC
뇌졸중으로	뇌졸중/NNG+으로/JKB
입원치료를	입원/NNG+치료/NNG+를/JKO
받고	받/VV+고/EC
있다고	있/VX+다고/EC
질병관리본부는	질병/NNG+관리/NNG+본부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.377.4.2
하지만 예방접종이상반응대책협의회는 지난 14일 이 할머니에 대해 백신 부작용으로 보기는 어렵다며 고혈압에 의한 뇌졸중으로 결론을 냈다.

하지만	하지만/MAJ
예방접종이상반응대책협의회는	예방/NNG+접종/NNG+이상/NNG+반응/NNG+대책/NNG+협의회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
이	이/MMD
할머니에	할머니/NNG+에/JKB
대해	대하/VV+아/EC
백신	백신/NNG
부작용으로	부작용/NNG+으로/JKB
보기는	보/VV+기/ETN+는/JX
어렵다며	어렵/VA+다며/EC
고혈압에	고/XPN+혈압/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
뇌졸중으로	뇌졸중/NNG+으로/JKB
결론을	결론/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.377.5.1
이에 앞서 지난 5일부터 14일까지 전국에서 5명이 독감 예방접종을 한 뒤 숨졌으나, 이 가운데 4명은 예방접종 부작용보다는 평소 앓고 있던 질환이 갑자기 악화돼 사망한 것으로 판정된 바 있다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
지난	지나/VV+ㄴ/ETM
5일부터	5/SN+일/NNB+부터/JX
14일까지	14/SN+일/NNB+까지/JX
전국에서	전국/NNG+에서/JKB
5명이	5/SN+명/NNB+이/JKS
독감	독감/NNG
예방접종을	예방/NNG+접종/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
숨졌으나,	숨지/VV+었/EP+으나/EC+,/SP
이	이/MMD
가운데	가운데/NNG
4명은	4/SN+명/NNB+은/JX
예방접종	예방/NNG+접종/NNG
부작용보다는	부작용/NNG+보다/JKB+는/JX
평소	평소/NNG
앓고	앓/VV+고/EC
있던	있/VX+던/ETM
질환이	질환/NNG+이/JKS
갑자기	갑자기/MAG
악화돼	악화/NNG+되/XSV+어/EC
사망한	사망/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판정된	판정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


