# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.126
metadata : {}


# id : NWRW1800000053.126.1.1
‘음악 국가대표’ 키운 예원학교, 개교 50주년 기념 음악회 연다

‘음악	‘/SS+음악/NNG
국가대표’	국가/NNG+대표/NNG+’/SS
키운	키우/VV+ㄴ/ETM
예원학교,	예원학교/NNP+,/SP
개교	개교/NNG
50주년	50/SN+주년/NNB
기념	기념/NNG
음악회	음악회/NNG
연다	열/VV+ㄴ다/EF


# id : NWRW1800000053.126.2.1
6회 졸업생 김대진 교수가 지휘… 총동문 오케스트라-재학생 등 참여

6회	6/SN+회/NNB
졸업생	졸업/NNG+생/XSN
김대진	김대진/NNP
교수가	교수/NNG+가/JKS
지휘…	지휘/NNG+…/SE
총동문	총동문/NNG
오케스트라-재학생	오케스트라/NNG+-/SO+재학/NNG+생/XSN
등	등/NNB
참여	참여/NNG


# id : NWRW1800000053.126.3.1
쇼팽 국제피아노콩쿠르 한국인 최초 우승 피아니스트 조성진, 퀸엘리자베스 콩쿠르 한국인 바이올리니스트 최초 우승 임지영, 밴 클라이번 국제피아노콩쿠르 한국인 최초 우승 피아니스트 선우예권, 독일 베를린 콘체르트하우스 오케스트라 플루트 종신 수석연주자 김유빈, 리즈 피아노콩쿠르 최연소 및 아시아인 최초 우승 피아니스트 김선욱, 쇤펠드 국제현악콩쿠르 우승 바이올리니스트 김봄소리….

쇼팽	쇼팽/NNP
국제피아노콩쿠르	국제/NNG+피아노/NNG+콩쿠르/NNG
한국인	한국인/NNG
최초	최초/NNG
우승	우승/NNG
피아니스트	피아니스트/NNG
조성진,	조성진/NNP+,/SP
퀸엘리자베스	퀸엘리자베스/NNP
콩쿠르	콩쿠르/NNG
바이올리니스트	바이올리니스트/NNG
임지영,	임지영/NNP+,/SP
밴	밴/NNP
클라이번	클라이번/NNP
선우예권,	선우예권/NNP+,/SP
독일	독일/NNP
베를린	베를린/NNP
콘체르트하우스	콘체르트하우스/NNP
오케스트라	오케스트라/NNG
플루트	플루트/NNG
종신	종신/NNG
수석연주자	수석/NNG+연주자/NNG
김유빈,	김유빈/NNP+,/SP
리즈	리즈/NNP
피아노콩쿠르	피아노/NNG+콩쿠르/NNG
최연소	최/XPN+연소/NNG
및	및/MAG
아시아인	아시아인/NNG
김선욱,	김선욱/NNP+,/SP
쇤펠드	쇤펠드/NNP
국제현악콩쿠르	국제/NNG+현악/NNG+콩쿠르/NNG
김봄소리….	김봄소리/NNP+…/SE+./SF


# id : NWRW1800000053.126.4.1
이뿐만이 아니다.

이뿐만이	이/NP+뿐/JX+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.126.4.2
피아니스트 손정범 김태형, 바이올리니스트 백주영 조윤진, 첼리스트 이정란 조영창, 플루티스트 최나경, 오보이스트 함경 등 국내외에서 활발하게 활동하는 수많은 음악가들에게 공통점이 하나 있다.

피아니스트	피아니스트/NNG
손정범	손정범/NNP
김태형,	김태형/NNP+,/SP
바이올리니스트	바이올리니스트/NNG
백주영	백주영/NNP
조윤진,	조윤진/NNP+,/SP
첼리스트	첼리스트/NNG
이정란	이정란/NNP
조영창,	조영창/NNP+,/SP
플루티스트	플루티스트/NNG
최나경,	최나경/NNP+,/SP
오보이스트	오보이스트/NNG
함경	함경/NNP
등	등/NNB
국내외에서	국내외/NNG+에서/JKB
활발하게	활발하/VA+게/EC
활동하는	활동/NNG+하/XSV+는/ETM
수많은	수많/VA+은/ETM
