# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.297
metadata : {}


# id : NWRW1800000026.297.1.1
[충청] 청주~오사카·방콕 취항

[충청]	[/SS+충청/NNP+]/SS
청주~오사카·방콕	청주/NNP+~/SO+오사카/NNP+·/SP+방콕/NNP
취항	취항/NNG


# id : NWRW1800000026.297.2.1
대한항공이 청주~오사카, 청주~방콕 노선을 동시에 취항한다.

대한항공이	대한항공/NNP+이/JKS
청주~오사카,	청주/NNP+~/SO+오사카/NNP+,/SP
청주~방콕	청주/NNP+~/SO+방콕/NNP
노선을	노선/NNG+을/JKO
동시에	동시/NNG+에/JKB
취항한다.	취항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.297.3.1
대한항공은 1일 청주공항에서 조원태 대한항공 여객사업본부장, 김종록 충북도 정무부지사 등이 참석한 가운데 청주~오사카, 청주~방콕 정기편 취항행사를 가졌다.

대한항공은	대한항공/NNP+은/JX
1일	1/SN+일/NNB
청주공항에서	청주공항/NNP+에서/JKB
조원태	조원태/NNP
대한항공	대한항공/NNP
여객사업본부장,	여객/NNG+사업/NNG+본부장/NNG+,/SP
김종록	김종록/NNP
충북도	충북도/NNP
정무부지사	정무/NNG+부지사/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
청주~오사카,	청주/NNP+~/SO+오사카/NNP+,/SP
청주~방콕	청주/NNP+~/SO+방콕/NNP
정기편	정기편/NNG
취항행사를	취항/NNG+행사/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.297.4.1
청주~오사카 노선은 주 4회(월·수·금·일) 운항한다.

청주~오사카	청주/NNP+~/SO+오사카/NNP
노선은	노선/NNG+은/JX
주	주/NNG
4회(월·수·금·일)	4/SN+회/NNB+(/SS+월/NNG+·/SP+수/NNG+·/SP+금/NNG+·/SP+일/NNG+)/SS
운항한다.	운항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.297.4.2
오전 10시 청주에서 출발해 오전 11시 30분 오사카 간사이공항에 도착하고, 오후 12시 30분 오사카에서 출발해 오후 2시 10분 청주에 도착한다.

오전	오전/NNG
10시	10/SN+시/NNB
청주에서	청주/NNP+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
11시	11/SN+시/NNB
30분	30/SN+분/NNB
오사카	오사카/NNP
간사이공항에	간사이공항/NNP+에/JKB
도착하고,	도착/NNG+하/XSV+고/EC+,/SP
오후	오후/NNG
12시	12/SN+시/NNB
오사카에서	오사카/NNP+에서/JKB
2시	2/SN+시/NNB
10분	10/SN+분/NNB
청주에	청주/NNP+에/JKB
도착한다.	도착/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.297.5.1
청주~방콕 노선은 주 2회(목·일) 운항한다.

청주~방콕	청주/NNP+~/SO+방콕/NNP
노선은	노선/NNG+은/JX
주	주/NNG
2회(목·일)	2/SN+회/NNB+(/SS+목/NNG+·/SP+일/NNG+)/SS
운항한다.	운항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.297.5.2
오후 8시 10분 청주에서 출발한다.

오후	오후/NNG
8시	8/SN+시/NNB
10분	10/SN+분/NNB
청주에서	청주/NNP+에서/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


