# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.35
metadata : {}


# id : NWRW1800000037.35.1.1
빅2 中의 힘… 서방국 티베트문제 언급 꺼려

빅2	빅/NNG+2/SN
中의	中/SH+의/JKG
힘…	힘/NNG+…/SE
서방국	서방국/NNG
티베트문제	티베트/NNP+문제/NNG
언급	언급/NNG
꺼려	꺼리/VV+어/EF


# id : NWRW1800000037.35.2.1
■ 티베트사태 왜 해결 안되나

■	■/SW
티베트사태	티베트/NNP+사태/NNG
왜	왜/MAG
해결	해결/NNG
안되나	안/MAG+되/XSV+나/EC


# id : NWRW1800000037.35.3.1
세계 독립운동사에서 티베트 사태에서처럼 많은 분신이 발생한 사례를 찾기 어렵다.

세계	세계/NNG
독립운동사에서	독립운동사/NNG+에서/JKB
티베트	티베트/NNP
사태에서처럼	사태/NNG+에서/JKB+처럼/JKB
많은	많/VA+은/ETM
분신이	분신/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
사례를	사례/NNG+를/JKO
찾기	찾/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000037.35.3.2
게다가 티베트처럼 처절한 호소에도 불구하고 국제사회의 주목을 끌지 못하는 것도 흔치 않다.

게다가	게다가/MAG
티베트처럼	티베트/NNP+처럼/JKB
처절한	처절/NNG+하/XSA+ㄴ/ETM
호소에도	호소/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
주목을	주목/NNG+을/JKO
끌지	끌/VV+지/EC
못하는	못하/VX+는/ETM
것도	것/NNB+도/JX
흔치	흔하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.35.3.3
이는 티베트의 맞상대가 미국과 함께 세계 양대 강국으로 떠오른 중국이라는 ‘운명’과 깊은 관련이 있다.

이는	이/NP+는/JX
티베트의	티베트/NNP+의/JKG
맞상대가	맞상대/NNG+가/JKS
미국과	미국/NNP+과/JKB
함께	함께/MAG
세계	세계/NNG
양대	양대/MMA
강국으로	강국/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
중국이라는	중국/NNP+이/VCP+라는/ETM
‘운명’과	‘/SS+운명/NNG+’/SS+과/JKB
깊은	깊/VA+은/ETM
관련이	관련/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.35.4.1
티베트 문제는 사회주의 중국 건국(1949년) 직후인 1950년으로 거슬러 올라간다.

티베트	티베트/NNP
문제는	문제/NNG+는/JX
사회주의	사회주의/NNG
중국	중국/NNP
건국(1949년)	건국/NNG+(/SS+1949/SN+년/NNB+)/SS
직후인	직후/NNG+이/VCP+ㄴ/ETM
1950년으로	1950/SN+년/NNB+으로/JKB
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.35.4.2
신해혁명(1911년)으로 청나라가 멸망한 뒤 티베트는 잠시나마 독립의 봄을 누렸다.

신해혁명(1911년)으로	신해혁명/NNG+(/SS+1911/SN+년/NNB+)/SS+으로/JKB
청나라가	청나라/NNP+가/JKS
멸망한	멸망/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
티베트는	티베트/NNP+는/JX
잠시나마	잠시/NNG+나마/JX
독립의	독립/NNG+의/JKG
봄을	봄/NNG+을/JKO
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.35.4.3
하지만 1950년 10월 중국은 티베트를 무력으로 침공해 이듬해 5월 자국령으로 삼았다.

하지만	하지만/MAJ
1950년	1950/SN+년/NNB
10월	10/SN+월/NNB
중국은	중국/NNP+은/JX
티베트를	티베트/NNP+를/JKO
