# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.247
metadata : {}


# id : NWRW1800000036.247.1.1
의정부·군포 뉴타운해제 요청 잇따라

의정부·군포	의정부/NNP+·/SP+군포/NNP
뉴타운해제	뉴타운/NNG+해제/NNG
요청	요청/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000036.247.2.1
[한겨레] 금의2구역 등 “추가분담금 늘어”

[한겨레]	[/SS+한겨레/NNP+]/SS
금의2구역	금의/NNP+2/SN+구역/NNG
등	등/NNB
“추가분담금	“/SS+추가/NNG+분담금/NNG
늘어”	늘/VV+어/EF+”/SS


# id : NWRW1800000036.247.3.1
경기도가 10일 뉴타운 지구에 대한 개인별 추정분담금 공개를 앞둔 가운데, 주민 의견 조사를 통해 사업 추진이 결정된 의정부와 군포 등 뉴타운 지구 주민들의 정비구역 해제 요청이 잇따르고 있다.

경기도가	경기도/NNP+가/JKS
10일	10/SN+일/NNB
뉴타운	뉴타운/NNG
지구에	지구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개인별	개인/NNG+별/XSN
추정분담금	추정/NNG+분담금/NNG
공개를	공개/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
주민	주민/NNG
의견	의견/NNG
조사를	조사/NNG+를/JKO
통해	통하/VV+아/EC
사업	사업/NNG
추진이	추진/NNG+이/JKS
결정된	결정/NNG+되/XSV+ㄴ/ETM
의정부와	의정부/NNP+와/JC
군포	군포/NNP
등	등/NNB
지구	지구/NNG
주민들의	주민/NNG+들/XSN+의/JKG
정비구역	정비/NNG+구역/NNG
해제	해제/NNG
요청이	요청/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.247.4.1
9일 경기도와 경기뉴타운재개발반대연합 등의 말을 종합하면, 의정부시 금의2지구 토지 등 소유자 1401명의 30%인 423명은 이날 경기도에 정비구역 해제 요청서를 제출했다.

9일	9/SN+일/NNB
경기도와	경기도/NNP+와/JC
경기뉴타운재개발반대연합	경기뉴타운재개발반대연합/NNP
등의	등/NNB+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
의정부시	의정부시/NNP
금의2지구	금의/NNP+2/SN+지구/NNG
토지	토지/NNG
등	등/NNB
소유자	소유자/NNG
1401명의	1401/SN+명/NNB+의/JKG
30%인	30/SN+%/SW+이/VCP+ㄴ/ETM
423명은	423/SN+명/NNB+은/JX
이날	이날/NNG
경기도에	경기도/NNP+에/JKB
정비구역	정비/NNG+구역/NNG
해제	해제/NNG
요청서를	요청서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.247.4.2
반대 주민들은 “경기도의 조사 결과 금의2구역의 추정분담금은 미분양이 없고 사업이 정상 추진된다는 가정 아래서도 1억~2억원으로 나타났다”며 “향후 분담금이 더 늘어날 수밖에 없어 정상적인 사업 추진이 불가능하다”고 주장했다.

반대	반대/NNG
주민들은	주민/NNG+들/XSN+은/JX
“경기도의	“/SS+경기도/NNP+의/JKG
조사	조사/NNG
결과	결과/NNG
금의2구역의	금의/NNP+2/SN+구역/NNG+의/JKG
추정분담금은	추정/NNG+분담금/NNG+은/JX
미분양이	미/XPN+분양/NNG+이/JKS
없고	없/VA+고/EC
사업이	사업/NNG+이/JKS
정상	정상/NNG
추진된다는	추진/NNG+되/XSV+ㄴ다는/ETM
가정	가정/NNG
아래서도	아래/NNG+서/JKB+도/JX
1억~2억원으로	1/SN+억/NR+~/SO+2/SN+억/NR+원/NNB+으로/JKB
나타났다”며	나타나/VV+았/EP+다/EF+”/SS+며/EC
“향후	“/SS+향후/NNG
분담금이	분담금/NNG+이/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없어	없/VA+어/EC
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
사업	사업/NNG
추진이	추진/NNG+이/JKS
불가능하다”고	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.247.5.1
지난 2월 개정된 ‘도시 및 주거환경 정비법’은 뉴타운사업구역으로 지정됐어도 추진위원회가 미구성된 경우 해당 구역 토지 등 소유자 30% 이상의 동의를 받으면 해제 요청이 가능하다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
개정된	개정/NNG+되/XSV+ㄴ/ETM
‘도시	‘/SS+도시/NNG
및	및/MAG
주거환경	주거/NNG+환경/NNG
정비법’은	정비법/NNG+’/SS+은/JX
뉴타운사업구역으로	뉴타운/NNG+사업/NNG+구역/NNG+으로/JKB
지정됐어도	지정/NNG+되/XSV+었/EP+어도/EC
추진위원회가	추진/NNG+위원회/NNG+가/JKS
미구성된	미/XPN+구성/NNG+되/XSV+ㄴ/ETM
경우	경우/NNG
해당	해당/NNG
구역	구역/NNG
토지	토지/NNG
등	등/NNB
소유자	소유자/NNG
30%	30/SN+%/SW
이상의	이상/NNG+의/JKG
동의를	동의/NNG+를/JKO
받으면	받/VV+으면/EC
해제	해제/NNG
요청이	요청/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.247.5.2
해제 요청을 받은 도지사는 도시계획위원회의 심의를 거쳐 해제할 수 있다.

해제	해제/NNG
요청을	요청/NNG+을/JKO
받은	받/VV+은/ETM
도지사는	도지사/NNG+는/JX
도시계획위원회의	도시/NNG+계획/NNG+위원회/NNG+의/JKG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
해제할	해제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


