# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.133
metadata : {}


# id : NWRW1800000046.133.1.1
'청와대 문건 유출' 출구전략 찾는 검찰

'청와대	'/SS+청와대/NNP
문건	문건/NNG
유출'	유출/NNG+'/SS
출구전략	출구/NNG+전략/NNG
찾는	찾/VV+는/ETM
검찰	검찰/NNG


# id : NWRW1800000046.133.2.1
조응천 영장 기각되고 최 경위 자살로 '삐걱'… 5일쯤 중간 수사결과 발표

조응천	조응천/NNP
영장	영장/NNG
기각되고	기각/NNG+되/XSV+고/EC
최	최/NNP
경위	경위/NNG
자살로	자살/NNG+로/JKB
'삐걱'…	'/SS+삐걱/MAG+'/SS+…/SE
5일쯤	5/SN+일/NNB+쯤/XSN
중간	중간/NNG
수사결과	수사/NNG+결과/NNG
발표	발표/NNG


# id : NWRW1800000046.133.3.1
청와대 문건 유출 사건을 수사 중인 서울중앙지검이 '출구전략'을 찾기 위한 고민으로 새해를 시작했다.

청와대	청와대/NNP
문건	문건/NNG
유출	유출/NNG
사건을	사건/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검이	서울중앙지검/NNP+이/JKS
'출구전략'을	'/SS+출구/NNG+전략/NNG+'/SS+을/JKO
찾기	찾/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고민으로	고민/NNG+으로/JKB
새해를	새해/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.133.3.2
조응천(52) 전 청와대 공직기강비서관에 대해 청구한 구속영장이 지난 31일 새벽에 기각됐기 때문이다.

조응천(52)	조응천/NNP+(/SS+52/SN+)/SS
전	전/MMD
청와대	청와대/NNP
공직기강비서관에	공직/NNG+기강/NNG+비서관/NNG+에/JKB
대해	대하/VV+아/EC
청구한	청구/NNG+하/XSV+ㄴ/ETM
구속영장이	구속/NNG+영장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
31일	31/SN+일/NNB
새벽에	새벽/NNG+에/JKB
기각됐기	기각/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.133.4.1
검찰은 조 전 비서관과 박관천(48·구속) 경정을 구속하고, 박 경정이 청와대 밖으로 반출한 문건을 복사해 외부에 유출한 한모 경위까지 모두 세 사람을 구속하는 선에서 이 사건을 마무리하려는 계획이었다.

검찰은	검찰/NNG+은/JX
조	조/NNP
전	전/MMD
비서관과	비서관/NNG+과/JC
박관천(48·구속)	박관천/NNP+(/SS+48/SN+·/SP+구속/NNG+)/SS
경정을	경정/NNG+을/JKO
구속하고,	구속/NNG+하/XSV+고/EC+,/SP
박	박/NNP
경정이	경정/NNG+이/JKS
청와대	청와대/NNP
밖으로	밖/NNG+으로/JKB
반출한	반출/NNG+하/XSV+ㄴ/ETM
문건을	문건/NNG+을/JKO
복사해	복사/NNG+하/XSV+아/EC
외부에	외부/NNG+에/JKB
유출한	유출/NNG+하/XSV+ㄴ/ETM
한모	한/NNP+모/NP
경위까지	경위/NNG+까지/JX
모두	모두/MAG
세	세/MMN
사람을	사람/NNG+을/JKO
구속하는	구속/NNG+하/XSV+는/ETM
선에서	선/NNG+에서/JKB
이	이/MMD
사건을	사건/NNG+을/JKO
마무리하려는	마무리/NNG+하/XSV+려는/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.133.4.2
하지만 청와대 행정관을 지낸 박 경정이 청와대에서 반출한 문건을 복사·유포한 혐의로 최모·한모 경위에 대해 청구됐던 구속영장이 기각되고, 최 경위가 스스로 목숨을 끊은 데 이어 조 전 비서관 구속영장까지 기각되면서 수사가 당초 계획에서 벗어나고 있다.

하지만	하지만/MAJ
청와대	청와대/NNP
행정관을	행정관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
박	박/NNP
경정이	경정/NNG+이/JKS
청와대에서	청와대/NNP+에서/JKB
반출한	반출/NNG+하/XSV+ㄴ/ETM
문건을	문건/NNG+을/JKO
복사·유포한	복사/NNG+·/SP+유포/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
최모·한모	최/NNP+모/NP+·/SP+한/NNP+모/NP
경위에	경위/NNG+에/JKB
대해	대하/VV+아/EC
청구됐던	청구/NNG+되/XSV+었/EP+던/ETM
구속영장이	구속/NNG+영장/NNG+이/JKS
기각되고,	기각/NNG+되/XSV+고/EC+,/SP
최	최/NNP
경위가	경위/NNG+가/JKS
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
조	조/NNP
전	전/MMD
비서관	비서관/NNG
구속영장까지	구속/NNG+영장/NNG+까지/JX
기각되면서	기각/NNG+되/XSV+면서/EC
수사가	수사/NNG+가/JKS
당초	당초/NNG
계획에서	계획/NNG+에서/JKB
벗어나고	벗어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.133.4.3
일각에선 "수사가 실패로 끝나는 거 아니냐"는 말까지 나오고 있다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
"수사가	"/SS+수사/NNG+가/JKS
실패로	실패/NNG+로/JKB
끝나는	끝나/VV+는/ETM
거	거/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
말까지	말/NNG+까지/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.133.5.1
하지만 검찰은 "조 전 비서관의 혐의를 입증하는 데 문제가 없다"며 애써 침착한 모습을 보이고 있다.

하지만	하지만/MAJ
검찰은	검찰/NNG+은/JX
"조	"/SS+조/NNP
전	전/MMD
비서관의	비서관/NNG+의/JKG
혐의를	혐의/NNG+를/JKO
입증하는	입증/NNG+하/XSV+는/ETM
데	데/NNB
문제가	문제/NNG+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
애써	애쓰/VV+어/EC
침착한	침착/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.133.5.2
법원도 영장은 기각했지만 조 전 비서관의 혐의는 인정했다고 주장한다.

법원도	법원/NNG+도/JX
영장은	영장/NNG+은/JX
기각했지만	기각/NNG+하/XSV+았/EP+지만/EC
조	조/NNP
전	전/MMD
비서관의	비서관/NNG+의/JKG
혐의는	혐의/NNG+는/JX
인정했다고	인정/NNG+하/XSV+았/EP+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.133.6.1
검찰은 예정대로 오는 5일쯤 중간 수사 결과를 발표하겠다는 입장이다.

검찰은	검찰/NNG+은/JX
예정대로	예정/NNG+대로/JX
오는	오/VV+는/ETM
5일쯤	5/SN+일/NNB+쯤/XSN
중간	중간/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표하겠다는	발표/NNG+하/XSV+겠/EP+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.133.6.2
검찰은 조 전 비서관을 불구속 기소하는 쪽으로 가닥을 잡은 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
조	조/NNP
전	전/MMD
비서관을	비서관/NNG+을/JKO
불구속	불/XPN+구속/NNG
기소하는	기소/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡은	잡/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.133.6.3
검찰은 지난해 11월 28일 세계일보가 보도한 '정윤회 문건'이 정씨와 청와대 비서관 등에 대한 명예훼손에 해당하는지에 대해서도 결론을 낼 예정이다.

검찰은	검찰/NNG+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
28일	28/SN+일/NNB
세계일보가	세계일보/NNP+가/JKS
보도한	보도/NNG+하/XSV+ㄴ/ETM
'정윤회	'/SS+정윤회/NNP
문건'이	문건/NNG+'/SS+이/JKS
정씨와	정/NNP+씨/NNB+와/JC
청와대	청와대/NNP
비서관	비서관/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
명예훼손에	명예/NNG+훼손/NNG+에/JKB
해당하는지에	해당/NNG+하/XSV+는지/EF+에/JKB
대해서도	대하/VV+아서/EC+도/JX
결론을	결론/NNG+을/JKO
낼	내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.133.6.4
검찰은 박 경정이 작성한 '정윤회 문건'은 이미 허위라고 결론을 낸 상태다.

검찰은	검찰/NNG+은/JX
박	박/NNP
경정이	경정/NNG+이/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
'정윤회	'/SS+정윤회/NNP
문건'은	문건/NNG+'/SS+은/JX
이미	이미/MAG
허위라고	허위/NNG+이/VCP+라고/EC
결론을	결론/NNG+을/JKO
낸	내/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.133.7.1
검찰은 새정치민주연합이 제기한 정윤회씨의 문화체육관광부 국·과장 인사 개입 의혹과 관련한 고발 사건과, 정씨가 문희상 대표를 무고죄(誣告罪)로 고소한 사건 등은 수사 발표 이후에 추가로 수사를 진행할 방침이다.

검찰은	검찰/NNG+은/JX
새정치민주연합이	새정치민주연합/NNP+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
정윤회씨의	정윤회/NNP+씨/NNB+의/JKG
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
국·과장	국·과장/NNG
인사	인사/NNG
개입	개입/NNG
의혹과	의혹/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
고발	고발/NNG
사건과,	사건/NNG+과/JC+,/SP
정씨가	정/NNP+씨/NNB+가/JKS
문희상	문희상/NNP
대표를	대표/NNG+를/JKO
무고죄(誣告罪)로	무고죄/NNG+(/SS+誣告罪/SH+)/SS+로/JKB
고소한	고소/NNG+하/XSV+ㄴ/ETM
사건	사건/NNG
등은	등/NNB+은/JX
수사	수사/NNG
발표	발표/NNG
이후에	이후/NNG+에/JKB
추가로	추가/NNG+로/JKB
수사를	수사/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


