# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.424
metadata : {}


# id : NWRW1800000032.424.1.1
‘보좌관 7억’ 옥죄어 오는 수사 이상득 “총선 불출마”

‘보좌관	‘/SS+보좌관/NNG
7억’	7/SN+억/NR+’/SS
옥죄어	옥죄/VV+어/EC
오는	오/VX+는/ETM
수사	수사/NNG
이상득	이상득/NNP
“총선	“/SS+총선/NNG
불출마”	불/XPN+출마/NNG+”/SS


# id : NWRW1800000032.424.2.1
이상득(76·경북 포항남구·울릉군) 한나라당 의원이 11일 내년 총선 불출마를 선언했다.

이상득(76·경북	이상득/NNP+(/SS+76/SN+·/SP+경북/NNP
포항남구·울릉군)	포항남구/NNP+·/SP+울릉군/NNP+)/SS
한나라당	한나라당/NNP
의원이	의원/NNG+이/JKS
11일	11/SN+일/NNB
내년	내년/NNG
총선	총선/NNG
불출마를	불/XPN+출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.424.2.2
이명박 대통령의 친형으로 현 정권 최고 실세로 꼽혀온 그의 불출마 결심엔, 최근의 검찰 수사가 결정타가 된 것으로 보인다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
친형으로	친형/NNG+으로/JKB
현	현/MMD
정권	정권/NNG
최고	최고/NNG
실세로	실세/NNG+로/JKB
꼽혀온	꼽히/VV+어/EC+오/VX+ㄴ/ETM
그의	그/NP+의/JKG
불출마	불/XPN+출마/NNG
결심엔,	결심/NNG+에/JKB+ㄴ/JX+,/SP
최근의	최근/NNG+의/JKG
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
결정타가	결정타/NNG+가/JKC
된	되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.424.2.3
그의 선언은 4월 총선을 앞두고 다른 한나라당 현역의원들의 ‘불출마 도미노’를 불러올 가능성이 높다.

그의	그/NP+의/JKG
선언은	선언/NNG+은/JX
4월	4/SN+월/NNB
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
다른	다른/MMD
한나라당	한나라당/NNP
현역의원들의	현역/NNG+의원/NNG+들/XSN+의/JKG
