# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.240
metadata : {}


# id : NWRW1800000025.240.1.1
韓-페루 FTA 타결… 10년내 모든 교역품 관세 철폐

韓-페루	韓/SH+-/SO+페루/NNP
FTA	FTA/SL
타결…	타결/NNG+…/SE
10년내	10/SN+년/NNB+내/NNB
모든	모든/MMN
교역품	교역품/NNG
관세	관세/NNG
철폐	철폐/NNG


# id : NWRW1800000025.240.2.1
한-페루 자유무역협정(FTA) 협상이 지난달 30일(현지 시간) 페루 리마에서 타결됐다.

한-페루	한/NNP+-/SO+페루/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
협상이	협상/NNG+이/JKS
지난달	지난달/NNG
30일(현지	30/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
페루	페루/NNP
리마에서	리마/NNP+에서/JKB
타결됐다.	타결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.240.2.2
2008년 11월 양국이 FTA 추진에 합의한 뒤 1년 9개월 만이다.

2008년	2008/SN+년/NNB
11월	11/SN+월/NNB
양국이	양국/NNG+이/JKS
FTA	FTA/SL
추진에	추진/NNG+에/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1년	1/SN+년/NNB
9개월	9/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.240.2.3
이로써 양국은 협정 발효 후 10년 이내에 현재 교역하는 품목의 관세를 모두 철폐하기로 했다.

이로써	이/NP+로써/JKB
양국은	양국/NNG+은/JX
협정	협정/NNG
발효	발효/NNG
후	후/NNG
10년	10/SN+년/NNB
이내에	이내/NNG+에/JKB
현재	현재/MAG
교역하는	교역/NNG+하/XSV+는/ETM
품목의	품목/NNG+의/JKG
관세를	관세/NNG+를/JKO
모두	모두/MAG
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.3.1
