# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.363
metadata : {}


# id : NWRW1800000054.363.1.1
"지금도 국가빚 年 30조 느는데… 나라살림 악화될 것"

"지금도	"/SS+지금/NNG+도/JX
국가빚	국가빚/NNG
年	年/SH
30조	30/SN+조/NR
느는데…	늘/VV+는데/EC+…/SE
나라살림	나라/NNG+살림/NNG
악화될	악화/NNG+되/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.363.2.1
전문가들·국민의당의 비판 "2%대 저성장 속 7% 예산증가율 국민 부담 가중시킬 수밖에 없어… 일본도 재정으로 경제 못 살려"

전문가들·국민의당의	전문가/NNG+들/XSN+·/SP+국민의당/NNP+의/JKG
비판	비판/NNG
"2%대	"/SS+2/SN+%/SW+대/XSN
저성장	저/XPN+성장/NNG
속	속/NNG
7%	7/SN+%/SW
예산증가율	예산/NNG+증가/NNG+율/XSN
국민	국민/NNG
부담	부담/NNG
가중시킬	가중/NNG+시키/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없어…	없/VA+어/EF+…/SE
일본도	일본/NNP+도/JX
재정으로	재정/NNG+으로/JKB
경제	경제/NNG
못	못/MAG
살려"	살리/VV+어/EC+"/SS


# id : NWRW1800000054.363.3.1
문재인 더불어민주당 대선 후보가 12일 발표한 경제 공약에 대해 전문가들은 "나라 살림이 악화될 가능성이 있다"고 했다.

문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
12일	12/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
경제	경제/NNG
공약에	공약/NNG+에/JKB
대해	대하/VV+아/EC
전문가들은	전문가/NNG+들/XSN+은/JX
"나라	"/SS+나라/NNG
살림이	살림/NNG+이/JKS
악화될	악화/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.3.2
정부 씀씀이는 대폭 늘리는 것인데 뚜렷한 재원 조달 방안이 뒷받침되지 않아 매년 적자 폭이 늘어날 공산이 크다는 것이다.

정부	정부/NNG
씀씀이는	씀씀이/NNG+는/JX
대폭	대폭/MAG
늘리는	늘리/VV+는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
뚜렷한	뚜렷하/VA+ㄴ/ETM
재원	재원/NNG
조달	조달/NNG
방안이	방안/NNG+이/JKS
뒷받침되지	뒷받침/NNG+되/XSV+지/EC
않아	않/VX+아/EC
매년	매년/MAG
적자	적자/NNG
폭이	폭/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
크다는	크/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.363.4.1
문 후보는 일자리 창출과 성장 기반 구축 등을 위해 연평균 재정을 7%씩 늘리겠다고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
일자리	일자리/NNG
창출과	창출/NNG+과/JC
성장	성장/NNG
기반	기반/NNG
구축	구축/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
연평균	연평균/NNG
재정을	재정/NNG+을/JKO
7%씩	7/SN+%/SW+씩/XSN
