# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.92
metadata : {}


# id : NWRW1800000040.92.1.1
중, 반독점법으로 다국적기업 압박

중,	중/NNP+,/SP
반독점법으로	반/XPN+독점법/NNG+으로/JKB
다국적기업	다국적/NNG+기업/NNG
압박	압박/NNG


# id : NWRW1800000040.92.2.1
제약사 등 벌금·체포·조사 잇따라

제약사	제약사/NNG
등	등/NNB
벌금·체포·조사	벌금/NNG+·/SP+체포/NNG+·/SP+조사/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000040.92.3.1
‘자국산업 보호 위한 경고’ 해석

‘자국산업	‘/SS+자국/NNG+산업/NNG
보호	보호/NNG
위한	위하/VV+ㄴ/ETM
경고’	경고/NNG+’/SS
해석	해석/NNG


# id : NWRW1800000040.92.4.1
중국이 최근 다국적 기업에 대한 가격 담합 조사 등 반독점법 적용을 부쩍 강화하자 서구 언론들이 경계심을 표출하고 있다.

중국이	중국/NNP+이/JKS
최근	최근/MAG
다국적	다국적/NNG
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가격	가격/NNG
담합	담합/NNG
조사	조사/NNG
등	등/NNB
반독점법	반/XPN+독점법/NNG
적용을	적용/NNG+을/JKO
부쩍	부쩍/MAG
강화하자	강화/NNG+하/XSV+자/EC
서구	서구/NNG
언론들이	언론/NNG+들/XSN+이/JKS
경계심을	경계심/NNG+을/JKO
표출하고	표출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.92.4.2
하지만 중국 정부는 “정상적인 법 집행”이라고 일축했다.

하지만	하지만/MAJ
중국	중국/NNP
정부는	정부/NNG+는/JX
“정상적인	“/SS+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
법	법/NNG
집행”이라고	집행/NNG+”/SS+이라고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.92.5.1
중국의 경제계획을 총괄하는 국가발전개혁위원회(발개위)는 7일 미국의 미드존슨, 뉴질랜드의 폰테라 등 6개 다국적 분유 업체에 6억7000만위안(1220억원)의 벌금을 추징했다.

중국의	중국/NNP+의/JKG
경제계획을	경제/NNG+계획/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
국가발전개혁위원회(발개위)는	국가발전개혁위원회/NNP+(/SS+발개위/NNP+)/SS+는/JX
7일	7/SN+일/NNB
미국의	미국/NNP+의/JKG
미드존슨,	미드존슨/NNP+,/SP
뉴질랜드의	뉴질랜드/NNP+의/JKG
폰테라	폰테라/NNP
등	등/NNB
6개	6/SN+개/NNB
다국적	다국적/NNG
분유	분유/NNG
업체에	업체/NNG+에/JKB
6억7000만위안(1220억원)의	6/SN+억/NR+7000/SN+만/NR+위안/NNB+(/SS+1220/SN+억/NR+원/NNB+)/SS+의/JKG
벌금을	벌금/NNG+을/JKO
추징했다.	추징/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.92.5.2
발개위는 “이 기업들이 가격을 담합하고 반독점법을 위반해 시장질서를 어지럽혔다”고 밝혔다.

발개위는	발개위/NNP+는/JX
“이	“/SS+이/MMD
기업들이	기업/NNG+들/XSN+이/JKS
가격을	가격/NNG+을/JKO
담합하고	담합/NNG+하/XSV+고/EC
반독점법을	반/XPN+독점법/NNG+을/JKO
위반해	위반/NNG+하/XSV+아/EC
시장질서를	시장/NNG+질서/NNG+를/JKO
어지럽혔다”고	어지럽히/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.92.6.1
중국이 가격 담합과 반독점법 위반을 적용한 다국적기업은 분유 업체에만 국한되지 않는다.

중국이	중국/NNP+이/JKS
가격	가격/NNG
담합과	담합/NNG+과/JC
반독점법	반/XPN+독점법/NNG
위반을	위반/NNG+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
다국적기업은	다국적/NNG+기업/NNG+은/JX
분유	분유/NNG
업체에만	업체/NNG+에/JKB+만/JX
국한되지	국한/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.92.6.2
중국 공안당국은 지난달 영국계 다국적 제약회사인 글락소스미스클라인과 아스트라제네카의 간부들이 정부 관료와 의사들에게 뇌물을 주고 약값을 올려 받은 혐의로 이들을 체포·조사하고 있다.

중국	중국/NNP
공안당국은	공안/NNG+당국/NNG+은/JX
지난달	지난달/NNG
