# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.225
metadata : {}


# id : NWRW1800000049.225.1.1
‘대타’ 대호, 또 대포

‘대타’	‘/SS+대타/NNG+’/SS
대호,	대호/NNP+,/SP
또	또/MAG
대포	대포/NNG


# id : NWRW1800000049.225.2.1
3점홈런 등 3안타 4타점… 팀 역전승 구단 첫 한시즌 신인 대타 2홈런 기록 박병호, 데뷔 첫 3안타… 볼넷도 추가

3점홈런	3/SN+점/NNB+홈런/NNG
등	등/NNB
3안타	3/SN+안타/NNG
4타점…	4/SN+타점/NNG+…/SE
팀	팀/NNG
역전승	역전승/NNG
구단	구단/NNG
첫	첫/MMN
한시즌	한/MMN+시즌/NNG
신인	신인/NNG
대타	대타/NNG
2홈런	2/SN+홈런/NNG
기록	기록/NNG
박병호,	박병호/NNP+,/SP
데뷔	데뷔/NNG
3안타…	3/SN+안타/NNG+…/SE
볼넷도	볼넷/NNG+도/JX
추가	추가/NNG


# id : NWRW1800000049.225.3.1
‘빅보이’ 이대호(34)가 메이저리그 시애틀 구단 역사상 처음으로 한 시즌에 대타 홈런을 2개 터뜨린 신인 타자가 됐다.

‘빅보이’	‘/SS+빅보이/NNP+’/SS
이대호(34)가	이대호/NNP+(/SS+34/SN+)/SS+가/JKS
메이저리그	메이저리그/NNG
시애틀	시애틀/NNP
구단	구단/NNG
역사상	역사/NNG+상/XSN
처음으로	처음/NNG+으로/JKB
한	한/MMN
시즌에	시즌/NNG+에/JKB
대타	대타/NNG
홈런을	홈런/NNG+을/JKO
2개	2/SN+개/NNB
터뜨린	터뜨리/VV+ㄴ/ETM
신인	신인/NNG
타자가	타자/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.4.1
이대호는 3일 샌디에이고 방문경기에서 4-12로 뒤진 6회초 1사 2, 3루에 대타로 나와 왼쪽 담장을 넘기는 3점 홈런(시즌 8호)을 터뜨렸다.

이대호는	이대호/NNP+는/JX
3일	3/SN+일/NNB
샌디에이고	샌디에이고/NNP
방문경기에서	방문/NNG+경기/NNG+에서/JKB
4-12로	4/SN+-/SO+12/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
6회초	6/SN+회/NNB+초/NNB
1사	1/SN+사/NNG
2,	2/SN+,/SP
